,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Sagade, AA; Palma-Behnke, R",Experimental feasibility study of multipurpose low-cost solar thermal device for different applications including inactivation of SARS CoV-2,2023,Sustainable Energy Technologies and Assessments,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.seta.2023.103034,10.1016/j.seta.2023.103034
1,"Galvan, A; Haas, J; Moreno-Leiva, S; Osorio-Aravena, JC; Nowak, W; Palma-Benke, R; Breyer, C",Exporting sunshine: Planning South America's electricity transition with green hydrogen,2022,APPLIED ENERGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.apenergy.2022.119569,10.1016/j.apenergy.2022.119569
2,"Espin-Sarzosa, D; Palma-Behnke, R; Valencia, F",Integration of Small Productive Processes Into an Energy Management System for Microgrids,2022,IEEE ACCESS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/ACCESS.2022.3185656,10.1109/ACCESS.2022.3185656
3,"Sagade A.A., Palma-Behnke R.",Novel design of the solar disinfectant closet (device) for inactivation of COVID-19 virus,2022,AIP Conference Proceedings,SCOPUS/UCH/VID,http://dx.doi.org/10.1063/5.0085676,10.1063/5.0085676
4,"Sen Sarma, D; Warendorf, T; Espin-Sarzosa, D; Valencia-Arroyave, F; Rehtanz, C; Myrzik, J; Palma-Behnke, R",Multi-objective energy management for modern distribution power systems considering industrial flexibility mechanisms,2022,SUSTAINABLE ENERGY GRIDS & NETWORKS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.segan.2022.100825,10.1016/j.segan.2022.100825
5,"Gacitua, JA; Palma-Behnke, R; Cardemil, JM; Cerda, MT; Godoy, F; Dinter, F",Assessing the synergy between a seawater pumping system for mining facilities and the cooling system of a CSP plant in Northern Chile,2022,JOURNAL OF CLEANER PRODUCTION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jclepro.2022.131052,10.1016/j.jclepro.2022.131052
6,"Palma-Behnke, R; Wu, QW; Vahidinasab, V; Myrzik, J; Lehtonen, M",Guest Editorial: Microgrids as Part of Cellular Energy Systems,2022,IET GENERATION TRANSMISSION & DISTRIBUTION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1049/gtd2.12371,10.1049/gtd2.12371
7,"Tawfik, MA; Sagade, AA; Palma-Behnke, R; Allah, WEAM; El-Shal, H",Performance evaluation of solar cooker with tracking type bottom reflector retrofitted with a novel design of thermal storage incorporated absorber plate,2022,JOURNAL OF ENERGY STORAGE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.est.2022.104432,10.1016/j.est.2022.104432
8,"Moraga-Contreras, C; Cornejo-Ponce, L; Vilca-Salinas, P; Estupinan, E; Zuniga, A; Palma-Behnke, R; Tapia-Caroca, H",Evolution of Solar Energy in Chile: Residential Opportunities in Arica and Parinacota,2022,ENERGIES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/en15020551,10.3390/en15020551
9,"Palma-Behnke, R; Vega-Herrera, J; Valencia, F; Nunez-Mata, O",Synthetic Time Series Generation Model for Analysis of Power System Operation and Expansion with High Renewable Energy Penetration,2021,JOURNAL OF MODERN POWER SYSTEMS AND CLEAN ENERGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.35833/MPCE.2020.000747,10.35833/MPCE.2020.000747
