,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,11230872,Conformal geometry and minimal surfaces: an approach via partial differential equations,01/03/2023,01/03/2026,R. Aires de Lima Caju,Centro de Modelamiento Matemático,FONDECYT,Iniciación en Investigación
1,1241950,Flow groups and Lyapunov exponents of the Kontsevich-Zorich cocycle: the interplay between topology and dynamics,01/08/2023,01/08/2023,R. Gutiérrez,Centro de Modelamiento Matemático,FONDECYT,Regular
2,1221934,Arithmetic subbundles and infinite periodic translation surfaces,01/04/2022,01/04/2026,R. Gutiérrez,,FONDECYT,Regular
3,11190034,Dynamics and geometry of the Kontsevich-Zorich monodromy groups,01/10/2019,01/10/2022,R. Gutiérrez,Centro de Modelamiento Matemático,FONDECYT,Iniciación en Investigación
4,1242042,Efficient use of medical and hospital resources to support decision-making in epidemiologically critical periods,01/07/2023,01/07/2023,H. Ramírez,Centro de Modelamiento Matemático,FONDECYT,Regular
5,ID23I10423,Sistema informático en base a inteligencia artificial para predecir peak de hospitalizaciones pediátricas por causas respiratorias,01/05/2023,01/05/2025,H. Ramírez,Centro de Modelamiento Matemático,FONDEF,IDEA
6,IT23I0122,"Plataforma tecnológica para la gestión eficiente de citas médicas ambulatorias
",01/04/2023,01/04/2023,H. Ramírez,Centro de Modelamiento Matemático,FONDEF,IDEA
7,IT21I0090,Plataforma tecnológica para reducir el ausentismo en citasmédicas usando inteligencia artificial,01/11/2021,01/11/2021,H. Ramírez,Centro de Modelamiento Matemático,FONDEF,IDEA
8,FB210005,Center for Mathematical Modeling,01/11/2021,01/11/2026,"H. Ramírez / J. San Martín, S. Martínez, C. Conca, A. Maass, J. San Martín, J. Correa, I. Rapaport, M. Kiwi, P. Felmer, S. Martínez, A. Osses, M. Clerc, J. Fontbona, M. Matamala, J. Ortega, M. Latorre, J. Soto, D. Remenik, S. Donoso, F. Tobar, C. Muñoz, A. Daniilidis, H. Van Den Bosch, M. Stein, M. Kowalczyk",Centro de Modelamiento Matemático,Programa Financiamiento Basal,Basal
9,3200881,Algoritmos para problemas de cuasi-equilibrio y condiciones de optimalidad y de calificación de restricciones para problemas de programación de dos niveles con restricciones cónicas,01/01/2020,01/01/2020,H. Ramírez,Centro de Modelamiento Matemático,FONDECYT,Postdoctorado
10,1200355,"Sustainable thresholds, viability, and optimization",01/03/2020,01/03/2024,H. Ramírez,UTFSM,FONDECYT,Regular
11,1201982,Qualification constraints and second order analysis in conic programming: their applications to stability and algorithms,01/03/2020,01/03/2024,H. Ramírez,Departamento de Ingeniería Matemática,FONDECYT,Regular
12,COVID0565,"""Modelamiento matemático para el apoyo a la toma de decisiones y la gestión territorial del Covid-19 en Chile"" 
",01/06/2020,01/06/2021,H. Ramírez,Departamento de Ingeniería Matemática,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
13,ID19I10271,"Soluciones tecnológicas, basadas en técnicas matemáticas avanzadas de aprendizaje de máquinas, para aumentar la eficiencia en la gestión hospitalaria",01/08/2019,01/08/2021,H. Ramírez,Departamento de Ingeniería Matemática,FONDEF,IDEA
14,REDES180032,Stability of optimization and variational systems with applications to natural resources management,01/10/2018,01/10/2020,"H. Ramírez / R. Jofré, J. Amaya, A. Daniilidis",Centro de Modelamiento Matemático,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
15,ID18I10091,"Soluciones tecnológicas, basadas en técnicas matemáticas avanzadas de aprendizajes de máquinas, para aumentar la eficiencia en la gestión hospitalaria",01/04/2018,01/04/2018,H. Ramírez,Centro de Modelamiento Matemático,FONDEF,IDEA
16,SA17I0130,Diseño óptimo de programas de tamizaje de sífilis basado en test rápido en población privada de libertad usando modelos matemáticos compartimentales,01/06/2017,01/06/2017,H. Ramírez,Facultad de Ciencias de la Salud,CONICYT/MINSAL,FONIS-Proyectos I&D
17,AFB170001,Centro de Modelamiento Matemático,01/01/2018,01/01/2021,"A. Maass / S. Martínez, A. Daniilidis, M. Stein, M. Kowalczyk, C. Muñoz, D. Remenik, H. Ramírez, S. Martínez, A. Osses, J. Fontbona, J. Ortega, M. Matamala, M. Kiwi, I. Rapaport, P. Felmer, R. Jofré, J. San Martín, C. Conca",Centro de Modelamiento Matemático,Programa de Investigación Asociativa,Apoyo Centros Científicos y Tecn. de Excelencia con Financ. Basal
18,18-MATH05,"Modeling, Optimization and Viability for Epidemics Control",01/03/2018,01/03/2019,H. Ramírez,Departamento de Ingeniería Matemática,Cooperación Internacional: Multilateral y vinculación,Programa Regional MATH-AMSUD
19,1160204,Sensitivity Analysis of Parametric Generalized Equations with Conic Constraints,01/04/2016,01/04/2020,H. Ramírez,Departamento de Ingeniería Matemática,FONDECYT,Regular
20,1160567,"Control of constrained dynamical systems: optimal and viable approaches, in continuous and discrete time, motivated by natural resource management issues",01/04/2016,01/04/2020,H. Ramírez,UTFSM,FONDECYT,Regular
21,REDES150011,Bioremediation of natural environments through mathematical modeling and control theory tools,01/12/2015,01/06/2017,H. Ramírez,Centro de Modelamiento Matemático,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
22,1151439,Sensitivity analysis of parametric generalized equations with conic constraints,01/03/2015,01/03/2015,H. Ramírez,Departamento de Ingeniería Matemática,FONDECYT,Regular
23,3140019,Stability and control of nonsmooth Lagrange dynamical systems,01/11/2013,01/11/2013,H. Ramírez,Departamento de Ingeniería Matemática,FONDECYT,Postdoctorado
24,REDES130067,Centro de Modelamiento Matemático (Chile) Meditérranée (Francia),01/10/2013,01/04/2015,H. Ramírez,Centro de Modelamiento Matemático,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
25,3130347,Optimal control and applications in biotechnologies,01/10/2012,01/10/2015,H. Ramírez,Centro de Modelamiento Matemático,FONDECYT,Postdoctorado
26,CA13I10017,Aplicación de Máquinas de Vectores de Soporte para el análisis de la estructura poblacional del bacalao de profundidad en base a la microquímica de otolitos,01/06/2013,01/06/2013,H. Ramírez,Departamento de Ingeniería Matemática,FONDEF,IDEA
27,294629,ComMoDE,01/01/2011,01/01/2011,H. Ramírez,Departamento de Ingeniería Matemática,Unión Europea,FP7-PEOPLE-IRSES
28,1110888,Second-order optimality conditions for conic programming; Their implications in sensitivity and algorithmic aspects,01/03/2011,01/03/2015,H. Ramírez,Departamento de Ingeniería Matemática,FONDECYT,Regular
29,ACT-1106,Análisis de problemas de control y aplicaciones,01/10/2012,01/10/2015,"A. Osses, H. Ramírez",UTFSM,Programa de Investigación Asociativa,Concurso Anillos en Ciencia y Tecnologia
30,D09I1023,Recursos pedagógicos para la implementación de los estándares de formación inicial de profesores de enseñanza básica en matemáticas,01/12/2009,01/12/2012,"S. Martínez / P. Felmer, P. Dartnell, H. Ramírez",Departamento de Ingeniería Matemática,FONDEF,Investigación y Desarrollo (I+D)
31,ANR5,"Bioprocédés de traitement des déchets et de production d'energie renouvelable- Modélisation, Optimisation et prise de Décision",01/12/2009,01/12/2009,H. Ramírez,U. Católica de Valparaiso,ANR,ANR-Francia
32,208-7321,BIOCOMSA,01/12/2008,01/12/2013,"A. Piazza, C. de la Maza, Ã. Urzúa, R. Carmona, S. Donoso, H. Hernández, H. Bown, J. Fuentes, H. Ramírez, A. Huerta",Departamento de Desarrollo en Productos Forestales,INNOVA,Consorcios Tecnológicos Empresariales
