,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Cobo, M; Gutierrez-Romo, R; Maass, A",Wandering intervals in affine extensions of self-similar interval exchange maps: The cubic Arnoux-Yoccoz map,2018,ERGODIC THEORY AND DYNAMICAL SYSTEMS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/etds.2016.143,10.1017/etds.2016.143
1,"Cobo, M; Gutierrez-Romo, R; Maass, A",Characterization of minimal sequences associated with self-similar interval exchange maps,2018,NONLINEARITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1088/1361-6544/aa9a87,10.1088/1361-6544/aa9a87
2,"Andreani, R; Haeser, G; Mito, LM; Ramirez, H",Sequential Constant Rank Constraint Qualifications for Nonlinear Semidefinite Programming with Algorithmic Applications,2023,SET-VALUED AND VARIATIONAL ANALYSIS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11228-023-00666-3,10.1007/s11228-023-00666-3
3,"Molina, E; Rapaport, A; Ramirez, H",Equivalent Formulations of Optimal Control Problems with Maximum Cost and Applications,2022,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10957-022-02094-z,10.1007/s10957-022-02094-z
4,"Andreani, R; Haeser, G; Mito, LM; Ramirez, CH; Silveira, TP",Global Convergence of Algorithms Under Constant Rank Conditions for Nonlinear Second-Order Cone Programming,2022,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10957-022-02056-5,10.1007/s10957-022-02056-5
5,"Andreani, R; Fukuda, EH; Haeser, G; Ramirez, H; Santos, DO; Silva, PJS; Silveira, TP",Erratum to: New Constraint Qualifications and Optimality Conditions for Second Order Cone Programs,2022,SET-VALUED AND VARIATIONAL ANALYSIS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11228-021-00573-5,10.1007/s11228-021-00573-5
6,"Andreani, R; Haeser, G; Mito, LM; Ramirez, H; Santos, DO; Silveira, TP",Naive constant rank-type constraint qualifications for multifold second-order cone programming and semidefinite programming,2022,OPTIMIZATION LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11590-021-01737-w,10.1007/s11590-021-01737-w
7,"Castillo-Laborde, C; de Wolff, T; Gajardo, P; Lecaros, R; Olivar-Tost, G; Ramirez, CH",Assessment of event-triggered policies of nonpharmaceutical interventions based on epidemiological indicators,2021,JOURNAL OF MATHEMATICAL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00285-021-01669-0,10.1007/s00285-021-01669-0
8,"Gajardo, P; Ramirez, H",Editorial,2021,NATURAL RESOURCE MODELING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/nrm.12335,10.1111/nrm.12335
9,"Ugalde-Salas, P; Ramirez, CH; Harmand, J; Desmond-Le Quemener, E",Microbial interactions as drivers of a nitrification process in a chemostat,2021,BIOENGINEERING-BASEL,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3390/bioengineering8030031,10.3390/bioengineering8030031
