,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,UCH 1305,Fortalecimiento de la capacidad de innovación en la enseñanza y aprendizaje en la FCFM,01/01/2014,01/01/2016,P. Poblete,Escuela de Ingeniería y Ciencias,MECESUP,MECESUP
1,UCH1102,Innovación en la formación en ingeniería y ciencias usando el enfoque CDIO,01/12/2011,01/06/2014,H. Vargas / P. Poblete,Escuela de Ingeniería y Ciencias,MECESUP,MECESUP
2,UCH0808,Red de unidades para la enseñanza y el aprendizaje,01/11/2009,01/11/2012,M. Barba / P. Poblete,Departamento de Pregrado,MECESUP,MECESUP
3,1000938,"Análisis probabilístico de Algoritmos
",01/03/2000,01/03/2000,P. Poblete,Centro de Computación (eliminado),FONDECYT,Regular
4,1981029,Análisis de Algoritmos: Métodos y Aplicaciones,01/03/1998,01/03/2000,P. Poblete,Departamento de Ciencias de la Computación,FONDECYT,Regular
5,001-1998,Análisis de algoritmos: métodos y aplicaciones,01/03/1998,01/03/1998,P. Poblete,Departamento de Ciencias de la Computación,FONDECYT,Cooperación Internacional
6,D97F1030,Laboratorio de Aplicaciones y Protocolos para Redes de Alta Velocidad,01/12/1997,01/12/1998,P. Poblete,Departamento de Ciencias de la Computación,FONDEF,Infraestructura Científica y Tecnológica
7,1960881,"Búsqueda exacta y de similaridad: algoritmos, métodos de análisis y visualización",01/03/1996,01/03/1998,"P. Poblete / R. Baeza, G. Navarro",Departamento de Ciencias de la Computación,FONDECYT,Regular
8,1950622,"Estructuras de datos: diseño, análisis y aplicaciones",01/03/1995,01/03/1998,R. Baeza / P. Poblete,Departamento de Ciencias de la Computación,FONDECYT,Regular
9,1940271,Análisis y visualización de estructuras de datos,01/03/1994,01/03/1996,P. Poblete,Departamento de Ciencias de la Computación,FONDECYT,Regular
10,1911252,Análisis de algoritmos para estructuras de datos,01/03/1991,01/03/1993,P. Poblete / J. Pino,Departamento de Ciencias de la Computación,FONDECYT,Regular
