,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240318,Enzymatic Synthesis of a Biolubricant Using Biomass Derivatives as Raw Material,01/07/2023,01/07/2023,M. Lienqueo,Universidad Tecnológica Metropolitana,FONDECYT,Regular
1,1231140,Biomaterial from renewable sources to design biobased food packaging obtained by extrusion and 3D printing/molded,01/08/2022,01/08/2022,"L. Abugoch / C. Tapia, M. Yazdani-Pedram, C. Char, M. Lienqueo",Departamento de Ciencia de los Alimentos y Tecnología Química,FONDECYT,Regular
2,1221489,"Development of quinoa protein/hydrocolloids, biomaterials using extrusion, intended for biobased food packaging obtained by 3D printing and molded",01/09/2021,01/09/2021,"L. Abugoch / M. Yazdani-Pedram, M. Lienqueo, C. Tapia",Departamento de Ciencia de los Alimentos y Tecnología Química,FONDECYT,Regular
3,1211331,Studying the potentialities of free flying satellite swarms for space research,01/08/2020,01/08/2020,"M. Díaz / D. Dulic, M. Lienqueo",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
4,3210793,Development of a multicomponent fractionation procedure for the extraction of agar and other value-added compounds from red seaweed for algal waste valorization,01/08/2020,01/08/2020,M. Lienqueo,"Departamento de Ingeniería Química, Biotecnología y Materiales",FONDECYT,Postdoctorado
5,ID20I10268,"Desarrollo de un alimento funcional proteico con base en macroalgas y hongos comestibles con características nutraceúticas y prebióticas, utilizando fermentación en dos etapas",01/05/2020,01/05/2020,"M. Lienqueo / I. Martínez, M. Salazar","Departamento de Ingeniería Química, Biotecnología y Materiales",FONDEF,IDEA
6,3200382,Degrading enzymes of algal complex carbohydrates for industrial applications from Chilean marine microbiota,01/01/2020,01/01/2020,M. Lienqueo,"Departamento de Ingeniería Química, Biotecnología y Materiales",FONDECYT,Postdoctorado
7,1200558,Chemo-enzymatic oxidation of unestable furans to produce furans derivatives compounds in eco-friendly solvents,01/03/2020,01/03/2024,M. Lienqueo,Universidad Tecnologica Metropolitana,FONDECYT,Regular
8,1191405,Biocatalytic Oxidation of Unstable Furan Substrates as a Sustainable Valorization Route to Obtain Furans Derivatives Compounds,01/08/2018,01/08/2018,M. Lienqueo,Universidad Tecnologica Metropolitana,FONDECYT,Regular
9,IM19IMTE,Instituto Milenio para la Transformación Energética,01/11/2019,01/11/2019,"M. Orchard / F. Gracia, W. Calderón, P. Moraga, M. Lienqueo, S. Cespedes, M. Olivares, R. Palma",Departamento de Ingeniería Eléctrica,Iniciativa científica Milenio,Institutos Milenios
10,VIU19P0149,Desarrollo de un método integrado para la utilización de biomasa macroalgal para crecer biomasa fúngica para obtención de bioproductos,01/09/2019,01/12/2019,M. Lienqueo,"Departamento de Ingeniería Química, Biotecnología y Materiales",FONDEF,VIU-etapa 1
11,1191121,Metabolic engineering to alleviate metabolic imbalances induced by the consumption of alginate and mannitol from brown macroalgae as carbon sources in Escherichia coli to increase yields in the industrial production of high-added value chemicals,01/08/2018,01/08/2018,"Ã. Olivera / M. Lienqueo, J. Asenjo de Leuze","Departamento de Ingeniería Química, Biotecnología y Materiales",FONDECYT,Regular
12,ID18I10164,Diseño de una tecnología mejorada para el procesamientos de residuos agrícolas y forestales para la producción de solventes mediante fermentación,01/04/2018,01/04/2018,"R. Carmona / M. Lienqueo, M. Salazar",Departamento de Desarrollo en Productos Forestales,FONDEF,IDEA
