,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Uribe, J; Lienqueo, ME; Guajardo, N",Optimization and Determination of Kinetic Parameters of the Synthesis of 5-Lauryl-hydroxymethylfurfural Catalyzed by Lipases,2023,CATALYSTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/catal13010019,10.3390/catal13010019
1,"Brain-Isasi, S; Correa, S; Amado-Hinojosa, J; Buschmann, AH; Camus, C; Lienqueo, ME","Combined extraction methodology for simultaneous recovery of phycobiliproteins and agar from the red alga Gracilaria chilensis C. J. Bird, McLachlan & E. C. Oliveira",2022,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.algal.2022.102821,10.1016/j.algal.2022.102821
2,"Balboa, C; Schrebler, RA; Lienqueo, ME; Guajardo, N","Effect of Operational Variables on the Yield of Chemoenzymatic Oxidation of 2,5-Furandicarboxaldehyde to 2,5-Furandicarboxylic Acid in Fed-Batch and Continuous Packed-Bed Millibioreactor",2022,PROCESSES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/pr10102095,10.3390/pr10102095
3,"Hurtado, A; Flores-Santos, JC; Flores-Fernandez, CN; Saavedra, S; Santos, JHPM; Pessoa, A; Lienqueo, ME; Bayro, MJ; Zavaleta, AI",A Novel L-Asparaginase from Enterobacter sp. Strain M55 from Maras Salterns in Peru,2022,CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.15255/CABEQ.2022.2064,10.15255/CABEQ.2022.2064
4,"Brain-Isasi, S; Lienqueo, ME; Caru, C",UTILIZATION OF GREEN SEAWEED WASTE FROM ALGAL BLOOMS USING A TERRESTRIAL FUNGI FOR PRODUCTION OF PROTEIN-ENRICHED FEEDS,2021,PHYCOLOGIA,ISI/UCH/VID,http://dx.doi.org/10.1080/00318884.2021.1922050,10.1080/00318884.2021.1922050
5,"Lienqueo, ME; Brain, S; Correa-Rivas, S; Buschmann, AH; Camus, C",SEQUENTIAL EXTRACTION OF PHYCOBILIPROTEINS AND AGAR FROM AGAROPHYTON CHILENSE,2021,PHYCOLOGIA,ISI/UCH/VID,http://dx.doi.org/10.1080/00318884.2021.1922050,10.1080/00318884.2021.1922050
6,"Landeta-Salgado, C; Cicatiello, P; Stanzione, I; Medina, D; Mora, IB; Gomez, C; Lienqueo, ME",The growth of marine fungi on seaweed polysaccharides produces cerato-platanin and hydrophobin self-assembling proteins,2021,MICROBIOLOGICAL RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.micres.2021.126835,10.1016/j.micres.2021.126835
7,"Brain-Isasi, S; Caru, C; Lienqueo, ME",Valorization of the green seaweed Ulva rigida for production of fungal biomass protein using a hypercellulolytic terrestrial fungus,2021,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.algal.2021.102457,10.1016/j.algal.2021.102457
8,"Rodríguez-Seeger C., Sáez-Hueichapan D., Fuenzalida-Artigas A., Ñancupil-Quirilao I., Lienqueo M.E., Contreras-Painemal C., Díaz-Alvarado F.",Decolonizing the training of engineers and scientists: The case of the Faculty of Physical Sciences and Mathematics at Universidad de Chile,2021,SOTL in the South,SCOPUS/UCH/VID,http://dx.doi.org/10.36615/SOTLS.V5I1.154,10.36615/SOTLS.V5I1.154
9,"Landeta-Salgado, C; Cicatiello, P; Lienqueo, ME",Mycoprotein and hydrophobin like protein produced from marine fungi Paradendryphiella salina in submerged fermentation with green seaweed Ulva spp.,2021,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.algal.2021.102314,10.1016/j.algal.2021.102314
10,"Leyton, A; Araya, M; Tala, F; Flores, L; Lienqueo, ME; Shene, C",Macrocystis pyrifera Extract Residual as Nutrient Source for the Production of Sophorolipids Compounds by Marine Yeast Rhodotorula rubra,2021,MOLECULES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/molecules26082355,10.3390/molecules26082355
11,"Salgado, CL; Munoz, R; Blanco, A; Lienqueo, ME",Valorization and upgrading of the nutritional value of seaweed and seaweed waste using the marine fungi Paradendryphiella salina to produce mycoprotein,2021,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.algal.2020.102135,10.1016/j.algal.2020.102135
12,"Leyton, A; Lienqueo, ME; Shene, C",Macrocystis pyrifera: substrate for the production of bioactive compounds,2020,JOURNAL OF APPLIED PHYCOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10811-019-02018-x,10.1007/s10811-019-02018-x
