,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,3240201,Solving the Abundance Discrepancy Problem using IFU Observations of Local Volume HII Regions,01/06/2023,01/06/2023,G. Blanc,Departamento de Astronomía,FONDECYT,Postdoctorado
1,3220598,Assembling and Exploiting the Largest Catalog of Ionized Nebulae in Nearby Galaxies to Study the Small-scale Physics of the Interstellar Medium,01/04/2022,01/04/2025,G. Blanc,Departamento de Astronomía,FONDECYT,Postdoctorado
2,3210585,Assembling and Exploiting the Largest Database of Ionized Nebulae in Nearby Galaxies using Bayesian and Machine Learning Methods,01/08/2020,01/08/2020,G. Blanc,Departamento de Astronomía,FONDECYT,Postdoctorado
3,FB210003,Centro de Astrofísica y Tecnologías Afines,01/11/2021,01/11/2026,"G. Garay / A. Escala, G. Blanc, V. González, R. Muñoz, R. Finger, W. Max-Moerbeck, C. Fuentes, F. Forster, L. Pérez, L. Bronfman, M. Rubio, D. Mardones",Departamento de Astronomía,Programa Financiamiento Basal,Basal
4,3200723,H II Regions as Drivers of Galaxy Evolution,01/01/2020,01/01/2020,G. Blanc,Departamento de Astronomía,FONDECYT,Postdoctorado
5,31190024,Testing Feedback and Star Formation Models with PHANGS-ALMA and PHANGS-MUSE,01/06/2019,01/06/2019,G. Blanc,Departamento de Astronomía,Astronomía,Fondo ALMA
6,3190912,Quantifying star formation timescales for galaxies in the PHANGS ALMA and MUSE Large Programs,01/10/2018,01/10/2018,G. Blanc,Departamento de Astronomía,FONDECYT,Postdoctorado
7,3170302,Understanding the effects of gas dynamics on the star formation efficiency: Connecting cloud scale physics with galaxy scale processes,01/08/2016,01/08/2016,G. Blanc,Departamento de Astronomía,FONDECYT,Postdoctorado
8,3160049,The evolution of the star formation rate - metallicity - stellar mass relation of galaxies,01/11/2015,01/11/2018,G. Blanc,Departamento de Astronomía,FONDECYT,Postdoctorado
9,11150220,Star formation and ISM physics across different envrionments: Dissecting nearby galaxies with 3D Multi-wavelength spectroscopy,01/11/2015,01/11/2018,G. Blanc,Departamento de Astronomía,FONDECYT,Iniciación en Investigación
10,1150185,A 3D multi-wavelenght study of star formation and the multiphase interstellar medium in nearby galaxies,01/03/2015,01/03/2015,G. Blanc,Departamento de Astronomía,FONDECYT,Regular
11,EQM220009,"Mejorando la instrumentación astronómica y desarrollo aeroespacial nacional: un analizador vectorial de redes con capacidad de medir en la banda W extendida (67 a 116 GHz), y posibilidad de extensión hasta 1.1 THz",01/06/2022,01/06/2022,L. Bronfman,Departamento de Astronomía,FONDEQUIP,Concurso de Equipamiento Científico
