,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Congiu, E; Blanc, GA; Belfiore, F; Santoro, F; Scheuermann, F; Kreckel, K; Emsellem, E; Groves, B; Pan, HA; Bigiel, F; Dale, DA; Glover, SCO; Grasha, K; Egorov, OV; Leroy, A; Schinnerer, E; Watkins, EJ; Williams, TG",PHANGS-MUSE: Detection and Bayesian classification of similar to 40 000 ionised nebulae in nearby spiral galaxies,2023,ASTRONOMY & ASTROPHYSICS,ISI/UCH/VID,http://dx.doi.org/10.1051/0004-6361/202245153,10.1051/0004-6361/202245153
1,"Rodriguez, MJ; Lee, JC; Whitmore, BC; Thilker, DA; Maschmann, D; Chandar, R; Deger, S; Boquien, M; Dale, DA; Larson, KL; Williams, TG; Kim, H; Schinnerer, E; Rosolowsky, E; Leroy, AK; Emsellem, E; Sandstrom, KM; Kruijssen, JMD; Grasha, K; Watkins, EJ; Barnes, AT; Sormani, MC; Kim, J; Anand, GS; Chevance, M; Bigiel, F; Klessen, RS; Hassani, H; Liu, DZ; Faesi, CM; Cao, YX; Belfiore, F; Pessa, I; Kreckel, K; Groves, B; Pety, J; Indebetouw, R; Egorov, OV; Blanc, GA; Saito, T; Hughes, A",PHANGS-JWST First Results: Dust-embedded Star Clusters in NGC 7496 Selected via 3.3 mu m PAH Emission,2023,ASTROPHYSICAL JOURNAL LETTERS,ISI/UCH/VID,http://dx.doi.org/10.3847/2041-8213/aca653,10.3847/2041-8213/aca653
2,"Hoyer, N; Pinna, F; Kamlah, AWH; Nogueras-Lara, F; Feldmeier-Krause, A; Neumayer, N; Sormani, MC; Boquien, M; Emsellem, E; Seth, AC; Klessen, RS; Williams, TG; Schinnerer, E; Barnes, AT; Leroy, AK; Bonoli, S; Kruijssen, JMD; Neumann, J; Sanchez-Blazquez, P; Dale, DA; Watkins, EJ; Thilker, DA; Rosolowsky, E; Bigiel, F; Grasha, K; Egorov, OV; Liu, DZ; Sandstrom, KM; Larson, KL; Blanc, GA; Hassani, H",PHANGS-JWST First Results: A Combined HST and JWST Analysis of the Nuclear Star Cluster in NGC 628,2023,ASTROPHYSICAL JOURNAL LETTERS,ISI/UCH/VID,http://dx.doi.org/10.3847/2041-8213/aca53e,10.3847/2041-8213/aca53e
3,"Sun, JY; Leroy, AK; Schinnerer, E; Hughes, A; Rosolowsky, E; Querejeta, M; Schruba, A; Liu, DZ; Saito, T; Herrera, CN; Faesi, C; Usero, A; Pety, J; Kruijssen, JMD; Ostriker, EC; Bigiel, F; Blanc, GA; Bolatto, AD; Boquien, M; Chevance, M; Dale, DA; Deger, S; Emsellem, E; Glover, SCO; Grasha, K; Groves, B; Henshaw, J; Jimenez-Donaire, MJ; Kim, JJ; Klessen, RS; Kreckel, K; Lee, JC; Meidt, S; Sandstrom, K; Sardone, AE; Utomo, D; Williams, TG","Erratum: Molecular Gas Properties on Cloud Scales across the Local Star-forming Galaxy Population [vol 901, L8, 2020]",2023,ASTROPHYSICAL JOURNAL LETTERS,ISI/UCH/VID,http://dx.doi.org/10.3847/2041-8213/acc84c,10.3847/2041-8213/acc84c
4,"Watkins E.J., Barnes A.T., Henny K., Kim H., Kreckel K., Meidt S.E., Klessen R.S., Glover S.C.O., Williams T.G., Keller B.W., Leroy A.K., Rosolowsky E., Lee J.C., Anand G.S., Belfiore F., Bigiel F., Blanc G.A., Boquien M., Cao Y., Chandar R., Chen N.M., Chevance M., Congiu E., Dale D.A., Deger S., Egorov O.V., Emsellem E., Faesi C.M., Grasha K., Groves B., Hassani H., Henshaw J.D., Herrera C., Hughes A., Jeffreson S., Jiménez-Donaire M.J., Koch E.W., Kruijssen J.M.D., Larson K.L., Liu D., Lopez L.A., Pessa I., Pety J., Querejeta M., Saito T., Sandstrom K., Scheuermann F., Schinnerer E., Sormani M.C., Stuber S.K., Thilker D.A., Usero A., Whitmore B.C.",PHANGS-JWST First Results: A Statistical View on Bubble Evolution in NGC 628,2023,ASTROPHYSICAL JOURNAL LETTERS,SCOPUS/UCH/VID,http://dx.doi.org/10.3847/2041-8213/aca6e4,10.3847/2041-8213/aca6e4
5,"Meidt, SE; Rosolowsky, E; Sun, JY; Koch, EW; Klessen, RS; Leroy, AK; Schinnerer, E; Barnes, AT; Glover, SCO; Lee, JC; van der Wel, A; Watkins, EJ; Williams, TG; Bigiel, F; Boquien, M; Blanc, GA; Cao, YX; Chevance, M; Dale, DA; Egorov, OV; Emsellem, E; Grasha, K; Henshaw, JD; Kruijssen, JMD; Larson, KL; Liu, DZ; Murphy, EJ; Pety, J; Querejeta, M; Saito, T; Sandstrom, KM; Smith, RJ; Sormani, MC; Thilker, DA",PHANGS-JWST First Results: Interstellar Medium Structure on the Turbulent Jeans Scale in Four Disk Galaxies Observed by JWST and the Atacama Large Millimeter/submillimeter Array,2023,ASTROPHYSICAL JOURNAL LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3847/2041-8213/acaaa8,10.3847/2041-8213/acaaa8
6,"Leroy, AK; Sandstrom, K; Rosolowsky, E; Belfiore, F; Bolatto, AD; Cao, YX; Koch, EW; Schinnerer, E; Barnes, AT; Beslic, I; Bigiel, F; Blanc, GA; Chastenet, J; Chen, NM; Chevance, M; Chown, R; Congiu, E; Dale, DA; Egorov, OV; Emsellem, E; Eibensteiner, C; Faesi, CM; Glover, SCO; Grasha, K; Groves, B; Hassani, H; Henshaw, JD; Hughes, A; Jimenez-Donaire, MJ; Kim, J; Klessen, RS; Kreckel, K; Kruijssen, JMD; Larson, KL; Lee, JC; Levy, RC; Liu, DZ; Lopez, LA; Meidt, SE; Murphy, EJ; Neumann, J; Pessa, I; Pety, J; Saito, T; Sardone, A; Sun, JY; Thilker, DA; Usero, A; Watkins, EJ; Whitcomb, CM; Williams, TG",PHANGS-JWST First Results: Mid-infrared Emission Traces Both Gas Column Density and Heating at 100 pc Scales,2023,ASTROPHYSICAL JOURNAL LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3847/2041-8213/acaf85,10.3847/2041-8213/acaf85
7,"Sandstrom K.M., Koch E.W., Leroy A.K., Rosolowsky E., Emsellem E., Smith R.J., Egorov O.V., Williams T.G., Larson K.L., Lee J.C., Schinnerer E., Thilker D.A., Barnes A.T., Belfiore F., Bigiel F., Blanc G.A., Bolatto A.D., Boquien M., Cao Y., Chastenet J., Chevance M., Chiang I.-D., Dale D.A., Faesi C.M., Glover S.C.O., Grasha K., Groves B., Hassani H., Henshaw J.D., Hughes A., Kim J., Klessen R.S., Kreckel K., Kruijssen J.M.D., Lopez L.A., Liu D., Meidt S.E., Murphy E.J., Pan H.-A., Querejeta M., Saito T., Sardone A., Sormani M.C., Sutter J., Usero A., Watkins E.J.",PHANGS-JWST First Results: Tracing the Diffuse Interstellar Medium with JWST Imaging of Polycyclic Aromatic Hydrocarbon Emission in Nearby Galaxies,2023,ASTROPHYSICAL JOURNAL LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3847/2041-8213/aca972,10.3847/2041-8213/aca972
8,"Kim, J; Chevance, M; Kruijssen, JMD; Barnes, AT; Bigiel, F; Blanc, GA; Boquien, M; Cao, YX; Congiu, E; Dale, DA; Egorov, OV; Faesi, CM; Glover, SCO; Grasha, K; Groves, B; Hassani, H; Hughes, A; Klessen, RS; Kreckel, K; Larson, KL; Lee, JC; Leroy, AK; Liu, DZ; Longmore, SN; Meidt, SE; Pan, HA; Pety, J; Querejeta, M; Rosolowsky, E; Saito, T; Sandstrom, K; Schinnerer, E; Smith, RJ; Usero, A; Watkins, EJ; Williams, TG",PHANGS-JWST First Results: Duration of the Early Phase of Massive Star Formation in NGC 628,2023,ASTROPHYSICAL JOURNAL LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3847/2041-8213/aca90a,10.3847/2041-8213/aca90a
9,"Sun, JY; Leroy, AK; Ostrfiker, EC; Meidt, S; Rosolowsky, E; Schinnerer, E; Wilson, CD; Utomo, D; Belfiore, F; Blanc, GA; Emsellem, E; Faesi, C; Groves, B; Hughes, A; Koch, EW; Kreckel, K; Liu, DZ; Pan, HA; Pety, J; Querejeta, M; Razza, A; Saito, T; Sardone, A; Usero, A; Williams, TG; Bigiel, F; Bolatto, AD; Chevance, M; Dale, DA; Gensior, J; Glover, SCO; Grasha, K; Henshaw, JD; Jimenez-Donaire, MJ; Klessen, RS; Kruijssen, JMD; Murphy, EJ; Neumann, L; Teng, YH; Thilker, DA",Star Formation Laws and Efficiencies across 80 Nearby Galaxies,2023,ASTROPHYSICAL JOURNAL LETTERS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3847/2041-8213/acbd9c,10.3847/2041-8213/acbd9c
