,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,11240305,Mitigating Feedback Loop Bias in Recommendation Systems: A Framework Based on Structural Complexity and Fair Ranking Algorithms,01/05/2023,01/05/2023,A. Abeliuk,Departamento de Ciencias de la Computación,FONDECYT,Iniciación en Investigación
1,11221284,Identifying and Quantifying Polarized Topics in news using unsupervised word embeddings,01/05/2021,01/05/2021,A. Abeliuk,Departamento de Ciencias de la Computación,FONDECYT,Iniciación en Investigación
2,EQM210098,Sistema de inteligencia artificial basado en un clúster de GPUs,01/08/2021,01/08/2021,A. Abeliuk,Departamento de Ciencias de la Computación,FONDEQUIP,Concurso de Equipamiento Científico
3,UI- 004/21,Identificación y cuantificación no-supervisada de temas polarizados en las noticias mediante word embeddings,01/11/2021,01/11/2023,A. Abeliuk,Departamento de Ciencias de la Computación,Fondo Central de Investigación,U-INICIA
4,PAI77200126,Optimizando la Inteligencia Colectiva en Sistemas Socio-técnicos,01/11/2020,01/11/2020,A. Abeliuk / M. Munizaga,Departamento de Ingeniería Civil,Programa de Capital Humano Avanzado,Subvención a la Instalación en la Academia
5,1200032,Understanding The Gender Divide Using Mobile Traces,01/08/2019,01/08/2019,R. Baeza,Facultad de Ciencias de la Salud,FONDECYT,Regular
6,1190640,Understanding The Gender Divide Using Mobile Traces,01/08/2018,01/08/2018,R. Baeza,Facultad de Economía y Negocios,FONDECYT,Regular
7,8-2004,"Difusión, desarrollo y masificación de soluciones basadas en Software libre Orientadas a la modernización del país basada en las TI en base a la neutralidad tecnológica y disminución de la brecha digital",01/12/2004,01/12/2004,R. Baeza / J. Piquer,Departamento de Ciencias de la Computación,Programa Bicentario de Ciencia y Tecnología,Consorcios Tecnológicos Empresariales
8,1020803,Buscadores y Minería de datos en la web,01/03/2002,01/03/2004,R. Baeza,Departamento de Ciencias de la Computación,FONDECYT,Regular
9,P01-059F,Centro de Investigación de la web (CIW),01/01/2002,01/12/2007,"G. Navarro / J. Ruiz del Solar, C. Gutiérrez, R. Baeza, J. Piquer",Departamento de Ciencias de la Computación,Iniciativa científica Milenio,Núcleos Milenio
10,G02P1001,Genómica Funcional en Nectarines: Plataforma para Potenciar la Competitividad de Chile en Exportación de Frutas,01/03/2002,01/03/2005,"R. Baeza, L. Cambiazo, H. Silva, M. González, L. Meisel, R. Campos",Departamento de Biología,FONDEF,Genómica de recursos naturales
