,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Benjamin, DM; Morstatter, F; Abbas, AE; Abeliuk, A; Atanasov, P; Bennett, S; Beger, A; Birari, S; Budescu, DV; Catasta, M; Ferrara, E; Haravitch, L; Himmelstein, M; Hossain, KSMT; Huang, YZ; Jin, WJ; Joseph, R; Leskovec, J; Matsui, A; Mirtaheri, M; Ren, X; Satyukov, G; Sethi, R; Singh, A; Sosic, R; Steyvers, M; Szekely, PA; Ward, MD; Galstyan, A",Hybrid forecasting of geopolitical events(dagger),2023,AI MAGAZINE,ISI/UCH/VID,http://dx.doi.org/10.1002/aaai.12085,10.1002/aaai.12085
1,Barros J.; Rojas M.; Dunstan J.; Abeliuk A.,Divide and Conquer: An Extreme Multi-Label Classification Approach for Coding Diseases and Procedures in Spanish,2022,"LOUHI 2022 - 13th International Workshop on Health Text Mining and Information Analysis, Proceedings of the Workshop",/UCH/VID,,
2,"He Z., Mokhberian N., Câmara A., Abeliuk A., Lerman K.",Detecting Polarized Topics Using Partisanship-aware Contextualized Topic Embeddings,2021,"Findings of the Association for Computational Linguistics, Findings of ACL: EMNLP 2021",SCOPUS/UCH/VID,http://dx.doi.org/10.48550/arXiv.2104.07814,10.48550/arXiv.2104.07814
3,"Yang, AM; Choi, IM; Abeliuk, A; Saffer, A",The Influence of Interdependence in Networked Publics Spheres: How Community-Level Interactions Affect the Evolution of Topics in Online Discourse,2021,JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/jcmc/zmab002,10.1093/jcmc/zmab002
4,"Bartley N., Abeliuk A., Ferrara E., Lerman K.",Auditing Algorithmic Bias on Twitter,2021,ACM International Conference Proceeding Series,SCOPUS/UCH/VID,http://dx.doi.org/10.1145/3447535.3462491,10.1145/3447535.3462491
5,"Alfonseca, M; Cebrian, M; Anta, AF; Coviello, L; Abeliuk, A; Rahwan, I",Superintelligence Cannot be Contained: Lessons from Computability Theory,2021,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1613/jair.1.12202,10.1613/jair.1.12202
6,"Abeliuk, A; Huang, ZS; Ferrara, E; Lerman, K",Predictability limit of partially observed systems,2020,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-020-77091-1,10.1038/s41598-020-77091-1
7,"Abeliuk Kimelman, Andrés; Cánovas, Rodrigo; Navarro, Gonzalo",Practical compressed suffix trees,2013,ALGORITHMS,SCOPUS/UCH/VID,http://dx.doi.org/10.3390/a6020319,10.3390/a6020319
8,"Payacan, I; Gutierrez, F; Bachmann, O; Parada, MA","Differentiation of an upper crustal magma reservoir via crystal- melt separation recorded in the San Gabriel pluton, central Chile",2023,GEOSPHERE,ISI/UCH/VID,http://dx.doi.org/10.1130/GES02535.1,10.1130/GES02535.1
9,"Bachmann I., Bustos-Jiménez J.",Using Localized Attacks with Probabilistic Failures to Model Seismic Events over Physical-Logical Interdependent Networks,2022,Lecture Notes in Computer Science,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-030-97240-0_1,10.1007/978-3-030-97240-0_1
