,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1230353,From bare NN interactions to nuclear bound and scattering states,01/07/2022,01/07/2022,H. Arellano,Departamento de Física,FONDECYT,Regular
1,1221473,Strongly interacting many-nucleon systems from bare NN interactions,01/10/2021,01/10/2021,H. Arellano,Departamento de Física,FONDECYT,Regular
2,1211024,"Bridging bare NN interactions with nuclear matter, finite nuclei and neutron stars",01/08/2020,01/08/2020,H. Arellano,Departamento de Física,FONDECYT,Regular
3,1200313,From the bare NN interaction to finite nuclei and neutron stars,01/08/2019,01/08/2019,H. Arellano,Departamento de Física,FONDECYT,Regular
4,1180883,Bridging the bare NN interaction with nuclear matter and finite nuclei,01/07/2017,01/07/2017,H. Arellano,Departamento de Física,FONDECYT,Regular
5,1170187,Bridging realistic bare NN interactions with finite nuclei and nuclear matter,01/08/2016,01/08/2016,H. Arellano,Departamento de Física,FONDECYT,Regular
6,1160351,Bridging internucleon bare interactions with finite nuclei and neutron stars,01/06/2015,01/06/2015,H. Arellano,Departamento de Física,FONDECYT,Regular
7,ANM-40,Núcleo milenio en física nuclear básica y aplicada,01/01/2013,01/01/2013,H. Arellano,Comisión Chilena de Energía Núclear,Iniciativa científica Milenio,Núcleos Milenio
8,1120396,Open issues in folding models for nucleon scattering from nuclei,01/03/2012,01/03/2015,H. Arellano,Departamento de Física,FONDECYT,Regular
9,1110961,Theoretical developments for nucleon-nucleus collisions,01/03/2011,01/03/2011,H. Arellano,Departamento de Física,FONDECYT,Regular
10,1080471,Theoretical approach for hadron-nucleus collisions and reactions,01/03/2008,01/03/2011,H. Arellano,Departamento de Física,FONDECYT,Regular
11,ENL07/04,Further developments toward parameter-free descriptions of hadron-nucleus scattering and reactions,01/04/2007,01/04/2008,H. Arellano,Departamento de Física,Fondo Central de Investigación,Enlace con FONDECYT
12,1070284,"Nuclear masses, phase transitions and quantum chaos in nuclear physics",01/03/2007,01/03/2009,H. Arellano,Departamento de Física,FONDECYT,Regular
13,008,"Nuclear masses, phase transitions and critical points and quantum chaos in nuclear physics",01/03/2006,01/03/2006,H. Arellano,Departamento de Física,FONDECYT,Postdoctorado
14,1040938,Theoretical developments toward parameter-free descriptions of hadron-nucleus scattering and reactions,01/03/2004,01/03/2007,H. Arellano,Departamento de Física,FONDECYT,Regular
15,1030939,"Microscopic full-folding approach for hadron-nucleons reactions
",01/03/2003,01/03/2003,H. Arellano,Departamento de Física,FONDECYT,Regular
16,1020136,Hadronic reactions in isospin asymmetric nuclear matter,01/06/2002,01/06/2002,H. Arellano,Departamento de Física,FONDECYT,Regular
17,1970508,Hadronic Ractions In Nuclear Medium,01/03/1997,01/03/2000,H. Arellano,Departamento de Física,FONDECYT,Regular
18,3940008,Teoría microscópica de potenciales ópticos núcleares,01/03/1994,01/03/1997,H. Arellano / F. Brieva,Departamento de Física,FONDECYT,Postdoctorado
19,1240310,"Spin waves in ferromagnetic nanostructures: effects of surfaces-interfaces, theory vs. experiments",01/07/2023,01/07/2023,R. Arias,Departamento de Física,FONDECYT,Regular
20,3240558,Propagation of magnetic excitations in 1D and 2D chiral magnonic superlattices and their potential implementation in emerging technologies,01/06/2023,01/06/2023,R. Arias,Departamento de Física,FONDECYT,Postdoctorado
21,1200829,"Ferromagnetic oscillators, theoretical models focused on experimental results",01/03/2020,01/03/2024,R. Arias,Departamento de Física,FONDECYT,Regular
22,1170781,Magnonics and the Green-Extinction theorems,01/04/2017,01/04/2020,R. Arias,Departamento de Física,FONDECYT,Regular
23,1160363,Ferromagnetic spin torque oscillators and spin wave modes,01/06/2015,01/06/2015,R. Arias,Departamento de Física,FONDECYT,Regular
24,314-029,Spin wave modes in ferromagnetic stripe waveguides,01/10/2013,01/10/2013,R. Arias,Departamento de Física,FONDECYT,Postdoctorado
25,1130192,"Spin torque nano-oscillators, a model that goes beyond the macro-spin approximation",01/03/2013,01/03/2016,R. Arias,Departamento de Física,FONDECYT,Regular
26,1100213,Geometry and dynamics of traveling and bound oscillations in ferromagnetic and dielectric wave-guides,01/03/2010,01/03/2013,R. Arias,Departamento de Física,FONDECYT,Regular
27,3090047,Domain walls in ferromagnetic nano-wires and nano-tubes.,01/11/2008,01/11/2010,R. Arias,Departamento de Física,FONDECYT,Postdoctorado
28,1085028,"Spin wave modes at the nano-scale, roles of oersted fields and geometry",01/03/2008,01/03/2010,R. Arias,Departamento de Física,FONDECYT,Regular
29,1061106,Spin waves and microwave response of ferromagnetic nano-wires and particles,01/03/2006,01/03/2008,R. Arias,Departamento de Física,FONDECYT,Regular
30,C06U02,Dinámica y radiación de fracturas en geometrías complejas,01/01/2007,01/01/2010,R. Arias,Departamento de Física,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/ECOS-Francia
31,7050148,Influence of size and shape in the dynamical and statical response o ferromagnetic particles,01/03/2005,01/03/2006,R. Arias,Departamento de Física,FONDECYT,Cooperación Internacional
32,1040788,Influence of size and shape in the dynamical and statical response o ferromagnetic particles,01/03/2004,01/03/2006,R. Arias,Departamento de Física,FONDECYT,Regular
33,1020359,"Inestabilidad en fluidos, en elasticidad, en arena y en espumas: experimento y teoría",01/03/2002,01/03/2006,"F. Barra, R. Arias",Departamento de Física,FONDECYT,Regular
34,1000869,Influencia de esfuerzos externos en la inestabilidad mecánica de un ensemble estadístico de dislocaciones,01/03/2000,01/03/2002,R. Arias,Departamento de Física,FONDECYT,Regular
35,3950011,Física de singularidades en medios contimuos y sus aplicaciones a la fractura de solidos,01/03/1995,01/03/1997,R. Arias / F. Lund,Departamento de Física,FONDECYT,Postdoctorado
36,3240583,Quantum thermal machines under limited controller resources,01/06/2023,01/06/2023,F. Barra,Departamento de Física,FONDECYT,Postdoctorado
37,1231210,Quantum thermodynamics of energy extraction processes,01/03/2023,01/03/2027,F. Barra,Departamento de Física,FONDECYT,Regular
38,3210342,Fundamentos termodinámicos de nadadores y baños activos,01/08/2020,01/08/2020,F. Barra,Departamento de Física,FONDECYT,Postdoctorado
39,IM21_11501_en,Millenium Institute for Quantum Science and Technologies,01/03/2023,01/03/2023,"L. Foa Torres, F. Barra, Ã. Núñez",Departamento de Física,Iniciativa Científica Milenio,Institutos Milenios en Ciencias Exactas y Naturales
40,3200936,Fundamentos termodinámicos de nadadores y baños activos,01/01/2020,01/01/2020,F. Barra,Departamento de Física,FONDECYT,Postdoctorado
41,3190551,Aplicación de la termodinámica estocástica y la teoría de información en la materia activa,01/10/2018,01/10/2018,F. Barra,Departamento de Física,FONDECYT,Postdoctorado
42,1191441,Quantum Thermodynamics: collisional processes and engineered dissipation,01/04/2019,01/04/2023,F. Barra,Departamento de Física,FONDECYT,Regular
43,NC160041,Núcleo Milenio física de la materia activa,01/05/2017,01/09/2023,"R. Soto / F. Barra, M. Cordero, F. Guzmán",Departamento de Física,Iniciativa científica Milenio,Núcleos Milenio
44,1151390,Steady states of open quantum systems and temporal behavior of isolated spatially extended quantum systems driven by a local time dependent parameter,01/03/2015,01/03/2019,F. Barra,Departamento de Física,FONDECYT,Regular
