,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Arellano, H. F.; Blanchon, G.",On the separability of microscopic optical model potentials and emerging bell-shape Perey-Buck nonlocality,2022,EUROPEAN PHYSICAL JOURNAL A,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1140/epja/s10050-022-00777-9,10.1140/epja/s10050-022-00777-9
1,"Nasri, A; Dupuis, M; Blanchon, G; Arellano, HF; Tamagno, P",Following J. Raynal's DWBA and ECIS codes: coupled channels with microscopic non-local potential,2021,EUROPEAN PHYSICAL JOURNAL A,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1140/epja/s10050-021-00585-7,10.1140/epja/s10050-021-00585-7
2,"Arellano, HF; Blanchon, G",Ultraviolet suppression and nonlocality in optical model potentials for nucleon-nucleus scattering,2021,EUROPEAN PHYSICAL JOURNAL A,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1140/epja/s10050-020-00328-0,10.1140/epja/s10050-020-00328-0
3,"Blanchon, G; Dupuis, M; Arellano, HF; Bernard, RN; Morillon, B; Romain, P",Diving into Raynal's DWBA code,2021,EUROPEAN PHYSICAL JOURNAL A,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1140/epja/s10050-020-00331-5,10.1140/epja/s10050-020-00331-5
4,"Arellano H.F., Blanchon G.",SWANLOP: Scattering waves off nonlocal optical potentials in the presence of Coulomb interactions,2021,COMPUTER PHYSICS COMMUNICATIONS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.cpc.2020.107543,10.1016/j.cpc.2020.107543
5,"Blanchon, G; Dupuis, M; Arellano, HF; Bernard, RN; Morillon, B",SIDES: Nucleon-nucleus elastic scattering code for nonlocal potential,2020,COMPUTER PHYSICS COMMUNICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.cpc.2020.107340,10.1016/j.cpc.2020.107340
6,"Arellano, HF; Blanchon, G",Exact scattering waves off nonlocal potentials under Coulomb interaction within Schrodinger's integro-differential equation,2019,PHYSICS LETTERS B,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.physletb.2018.12.004,10.1016/j.physletb.2018.12.004
7,"Nasri A., Dupuis M., Blanchon G., Arellano H.F., Bauge E.",Microscopic description of the two-step direct pre-equilibrium process with non-local potentials and collective states,2018,"Proceedings of the 15th International Conference on Nuclear Reaction Mechanisms, NRM 2018",SCOPUS/UCH/VID,,
8,"Arenano, HF; Blanchon, G",Irreducible nonlocality of optical model potentials based on realistic NN interactions,2018,PHYSICAL REVIEW C,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.98.054616,10.1103/PhysRevC.98.054616
9,"Nasri A., Dupuis M., Blanchon G., Bauge E., Arellano H.F.",Non-local microscopic potentials for calculation of scattering observables of nucleons on deformed nuclei,2017,EPJ Web of Conferences,SCOPUS/UCH/VID,http://dx.doi.org/10.1051/epjconf/201714612019,10.1051/epjconf/201714612019
10,"Nasri A., Dupuis M., Blanchon G., Bauge E., Arellano H.F.",Non local microscopic potentials for calculation of scattering observables of nucleons on deformed nuclei,2017,EPJ Web of Conferences,SCOPUS/UCH/VID,http://dx.doi.org/10.1051/epjconf/201714612036,10.1051/epjconf/201714612036
11,"Molina, F; Aguilera, P; Romero-Barrientos, J; Arellano, HF; Agramunt, J; Medel, J; Morales, JR; Zambra, M",Energy distribution of the neutron flux measurements at the Chilean Reactor RECH-1 using multi-foil neutron activation and the Expectation Maximization unfolding algorithm,2017,APPLIED RADIATION AND ISOTOPES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.apradiso.2017.08.001,10.1016/j.apradiso.2017.08.001
12,"Blanchon, G; Dupuis, M; Bernard, RN; Arellano, HF",Asymmetry dependence of Gogny-based optical potential,2017,EUROPEAN PHYSICAL JOURNAL A,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1140/epja/i2017-12268-7,10.1140/epja/i2017-12268-7
13,"Arellano, HF; Isaule, F; Rios, A",Di-nucleon structures in homogeneous nuclear matter based on two- and three-nucleon interactions,2016,EUROPEAN PHYSICAL JOURNAL A,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1140/epja/i2016-16299-2,10.1140/epja/i2016-16299-2
14,"Isaule, F; Arellano, HF; Rios, A",Di-neutrons in neutron matter within a Brueckner-Hartree-Fock approach,2016,PHYSICAL REVIEW C,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.94.034004,10.1103/PhysRevC.94.034004
15,"Romero-Barrientos J., Arellano H.F.",Effects of angular correlations on particle-particle propagation in infinite nuclear matter,2016,Journal of Physics: Conference Series,SCOPUS/UCH/VID,http://dx.doi.org/10.1088/1742-6596/720/1/012022,10.1088/1742-6596/720/1/012022
16,"Isaule F., Arellano H.F.",Structure and cooling of neutron stars: Nuclear pairing and superfluid effects,2016,Journal of Physics: Conference Series,SCOPUS/UCH/VID,http://dx.doi.org/10.1088/1742-6596/720/1/012021,10.1088/1742-6596/720/1/012021
17,"Romero-Barrientos J., Molina F., Aguilera P., Arellano H.F.",Calculation of self-shielding factor for neutron activation experiments using GEANT4 and MCNP,2016,AIP Conference Proceedings,SCOPUS/UCH/VID,http://dx.doi.org/10.1063/1.4955388,10.1063/1.4955388
18,"Blanchon, G; Dupuis, M; Arellano, HF",Prospective study on microscopic potential with Gogny interaction,2015,EUROPEAN PHYSICAL JOURNAL A,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1140/epja/i2015-15165-1,10.1140/epja/i2015-15165-1
19,"Arellano, HF; Delaroche, JP",Low-density homogeneous symmetric nuclear matter: Disclosing dinucleons in coexisting phases,2015,EUROPEAN PHYSICAL JOURNAL A,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1140/epja/i2015-15007-2,10.1140/epja/i2015-15007-2
20,"Blanchon, G; Dupuis, M; Arellano, HF; Mau, NV",Microscopic positive-energy potential based on the Gogny interaction,2015,PHYSICAL REVIEW C,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.91.014612,10.1103/PhysRevC.91.014612
21,"Arellano H.F., Delaroche J.-P., Rios A.",Coexisting single-particle solutions in low-density symmetric nuclear matter,2013,Proceedings of Science,SCOPUS/UCH/VID,,
22,"Arellano H.F., Bauge E.",On the unabridged 7D-folding structure of the optical model potential for nucleon-nucleus scattering,2012,EPJ Web of Conferences,SCOPUS/UCH/VID,http://dx.doi.org/10.1051/epjconf/20122107005,10.1051/epjconf/20122107005
23,Arellano H.F; Bauge E.,The unabridged momentum-space optical potential for nucleon-nucleus scattering with non-local density dependent effective interactions,2012,AIP Conference Proceedings,SCOPUS/UCH/VID,http://dx.doi.org/10.1063/1.3688790,10.1063/1.3688790
24,"Arellano, HF ; Bauge, E",7D-folding integral in a density-dependent microscopic optical model potential for nucleon-nucleus scattering,2011,PHYSICAL REVIEW C,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.84.034606,10.1103/PhysRevC.84.034606
25,"Arellano, HF ; Delaroche, JP",Toward an actual account for the angular dependence of the Brueckner-Bethe-Goldstone propagator in nuclear matter,2011,PHYSICAL REVIEW C,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.83.044306,10.1103/PhysRevC.83.044306
26,"Arellano, H.F.; Aguayo, F.J.; Bauge, E.",Surface-peaked medium sensitivity of the optical potential: An exact result,2010,CERN-Proceedings,SCOPUS/UCH/VID,,
27,Arellano H.F; Delaroche J.-P.,Angular correlations from pArticulo-pArticulo propagation in symmetric nuclear matter,2010,AIP Conference Proceedings,SCOPUS/UCH/VID,http://dx.doi.org/10.1063/1.3480257,10.1063/1.3480257
28,Alarcon R; Arellano H.F; Cole P.L; Kreiner A.J.,AIP Conference Proceedings: Preface,2010,AIP Conference Proceedings,SCOPUS/UCH/VID,,
29,"Aguayo, FJ;Arellano, HF",Surface-peaked medium effects in the interaction of nucleons with finite nuclei,2008,PHYSICAL REVIEW C,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.78.014608,10.1103/PhysRevC.78.014608
30,Arellano H.F; Bauge E.,Disentanglement of nuclear medium effects in the optical model potential,2007,AIP Conference Proceedings,SCOPUS/UCH/VID,http://dx.doi.org/10.1063/1.2813816,10.1063/1.2813816
31,"Arellano, HF ; Girod, M",Reaction cross sections for proton scattering from stable and unstable nuclei based on a microscopic approach,2007,PHYSICAL REVIEW C,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.76.034602,10.1103/PhysRevC.76.034602
32,"Arellano, HF ; Love, WG","In-medium full-folding model approach to quasielastic (p,n) charge-exchange reactions",2007,PHYSICAL REVIEW C,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.76.014616,10.1103/PhysRevC.76.014616
33,"Arellano, HF ; Bauge, E",Functional medium dependence of the nonrelativistic optical model potential,2007,PHYSICAL REVIEW C,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.76.014613,10.1103/PhysRevC.76.014613
34,"Arellano, HF; von Geramb, HV",Microscopic analysis of K+-nucleus elastic scattering based on K+-nucleon phase shifts,2005,PHYSICAL REVIEW C,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.72.025203,10.1103/PhysRevC.72.025203
35,"Arellano, H; Love, WG",Nuclear halo structure from quasielastic charge-exchange reactions,2005,NUCLEAR PHYSICS A,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.nuclphysa.2005.03.069,10.1016/j.nuclphysa.2005.03.069
36,"Arellano, HF;von Geramb, HV",Extension of the full-folding optical model for nucleon-nucleus scattering with applications up to 1.5 GeV,2002,PHYSICAL REVIEW C,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1103/PhysRevC.66.024602,10.1103/PhysRevC.66.024602
37,"Nakayama, K; Arellano, HF; Durso, JW; Speth, J",eta ' meson production in proton-proton collisions,2000,PHYSICAL REVIEW C,SCOPUS/ISI/UCH/VID,,
38,"Yang, L; Jara, AA; Duan, Z; Smith, A; Youngblood, B; Arias, RE; Krivorotov, IN",Parametric resonance of spin waves in ferromagnetic nanowires tuned by spin Hall torque,2022,PHYSICAL REVIEW B,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.106.144410,10.1103/PhysRevB.106.144410
39,"Shlomai, H; Kammer, DS; Adda-Bedia, M; Arias, RE; Fineberg, J",Unstable cracks trigger asymptotic rupture modes in bimaterial friction,2021,JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jmps.2021.104330,10.1016/j.jmps.2021.104330
40,"Barsukov I., Lee H.K., Jara A.A., Chen Y.-J., Goncalves A.M., Sha C., Katine J.A., Arias R.E., Ivanov B.A., Krivorotov I.N.",Inversion of the spin-torque effect in MTJs via resonant magnon scattering,2020,"2020 IEEE 31st Magnetic Recording Conference, TMRC 2020",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/TMRC49521.2020.9366713,10.1109/TMRC49521.2020.9366713
41,"Shlomai H., Adda-Bedia M., Arias R.E., Fineberg J.",Supershear Frictional Ruptures Along Bimaterial Interfaces,2020,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1029/2020JB019829,10.1029/2020JB019829
42,"Barsukov, I; Lee, HK; Jara, AA; Chen, YJ; Goncalves, AM; Sha, C; Katine, JA; Arias, RE; Ivanov, BA; Krivorotov, IN",Giant nonlinear damping in nanoscale ferromagnets,2019,SCIENCE ADVANCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1126/sciadv.aav6943,10.1126/sciadv.aav6943
43,"Mancilla-Almonacid, D; Leon, AO; Arias, RE; Allende, S; Altbir, D",Synchronization of two spin-transfer-driven nano-oscillators coupled via magnetostatic fields,2019,PHYSICAL REVIEW E,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevE.99.032210,10.1103/PhysRevE.99.032210
44,"Armijo, IA; Arias, RE",Spin wave modes of multilayered ferromagnetic films,2019,PHYSICAL REVIEW B,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.99.014432,10.1103/PhysRevB.99.014432
45,"Mancilla-Almonacid, D; Arias, RE; Escobar, RA; Altbir, D; Allende, S",Spin wave modes of two magnetostatic coupled spin transfer torque nano-oscillators,2018,JOURNAL OF APPLIED PHYSICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1063/1.5040262,10.1063/1.5040262
46,"Mancilla-Almonacid, D; Arias, RE; Oyarzun, S; Altbir, D; Allende, S",Tuning the frequencies of the normal modes of a nanopillar oscillator through the magnetostatic interaction,2017,PHYSICAL REVIEW B,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.96.184424,10.1103/PhysRevB.96.184424
47,"Mancilla-Almonacid D., Arias R.E.","Spin-wave modes in ferromagnetic nanodisks, their excitation via alternating currents and fields, and auto-oscillations",2017,PHYSICAL REVIEW B,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.95.214424,10.1103/PhysRevB.95.214424
48,"Langer, M; Wagner, K; Sebastian, T; Hubner, R; Grenzer, J; Wang, YT; Kubota, T; Schneider, T; Stienen, S; Lenz, K; Schultheiss, H; Lindner, J; Takanashi, K; Arias, RE; Fassbender, J",Parameter-free determination of the exchange constant in thin films using magnonic patterning,2016,APPLIED PHYSICS LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1063/1.4943228,10.1063/1.4943228
49,"Mancilla-Almonacid, D; Arias, RE",Instabilities of spin torque driven auto-oscillations of a ferromagnetic disk magnetized in plane,2016,PHYSICAL REVIEW B,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.93.224416,10.1103/PhysRevB.93.224416
50,"Arias, RE",Spin-wave modes of ferromagnetic films,2016,PHYSICAL REVIEW B,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.94.134408,10.1103/PhysRevB.94.134408
51,"Arias, RE",Magnetostatic Modes in Samples With Inhomogeneous Internal Fields,2015,IEEE MAGNETICS LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/LMAG.2015.2497325,10.1109/LMAG.2015.2497325
52,"Duan, Z; Krivorotov, IN; Arias, RE; Reckers, N; Stienen, S; Lindner, J",Spin wave eigenmodes in transversely magnetized thin film ferromagnetic wires,2015,PHYSICAL REVIEW B,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.92.104424,10.1103/PhysRevB.92.104424
53,"Barsukov, I;Fu, Y;Goncalves, AM;Spasova, M;Farle, M;Sampaio, LC;Arias, RE;Krivorotov, IN",Field-dependent perpendicular magnetic anisotropy in CoFeB thin films,2014,APPLIED PHYSICS LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1063/1.4897939,10.1063/1.4897939
54,"Arias, RE;Maradudin, AA",Scattering of a surface plasmon polariton by a localized dielectric surface defect,2013,OPTICS EXPRESS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1364/OE.21.009734,10.1364/OE.21.009734
55,Katzav E;Adda-Bedia M;Arias RE;Bouchbinder E,Dynamic Stability of Crack Fronts: Out-Of-Plane Corrugations,2013,PHYSICAL REVIEW LETTERS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1103/PhysRevLett.110.014302,10.1103/PhysRevLett.110.014302
56,"Jarufe, C;Arias, RE",Magnonic and plasmonic band gaps in films with periodically modified surfaces,2012,PHYSICAL REVIEW B,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.85.205411,10.1103/PhysRevB.85.205411
57,"Arias, R;Madariaga, R;Adda-Bedia, M",Singular Elasto-Static Field Near a Fault Kink,2011,PURE AND APPLIED GEOPHYSICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00024-011-0298-y,10.1007/s00024-011-0298-y
58,"Allende, S ; Arias, R",Transverse domain wall propagation in modulated cylindrical nanostructures and possible geometric control,2011,PHYSICAL REVIEW B,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.83.174452,10.1103/PhysRevB.83.174452
59,"Jara, A; Arias, RE; Mills, DL",Plasmons and the electromagnetic response of nanowires,2010,PHYSICAL REVIEW B,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.81.085422,10.1103/PhysRevB.81.085422
60," Arias, RE ; Mills, DL ",Theory of ferromagnetic resonance in perpendicularly magnetized nanodisks: Excitation by the Oersted field,2009,PHYSICAL REVIEW B,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.79.144404,10.1103/PhysRevB.79.144404
61,"Landeros, P ; Arias, RE ; Mills, DL",Two magnon scattering in ultrathin ferromagnets: The case where the magnetization is out of plane,2008,PHYSICAL REVIEW B,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1103/PhysRevB.77.214405,10.1103/PhysRevB.77.214405
