,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Alvarez-Garreton C., Boisier J.P., Billi M., Lefort I., Marinao R., Barría P.",Protecting environmental flows to achieve long-term water security,2023,JOURNAL OF ENVIRONMENTAL MANAGEMENT,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jenvman.2022.116914,10.1016/j.jenvman.2022.116914
1,"Hernandez, D; Mendoza, PA; Boisier, JP; Ricchetti, F",Hydrologic Sensitivities and ENSO Variability Across Hydrological Regimes in Central Chile (28 degrees-41 degrees S),2022,WATER RESOURCES RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1029/2021WR031860,10.1029/2021WR031860
2,"Alvarez-Garreton, C; Boisier, JP; Garreaud, R; Seibert, J; Vis, M",Progressive water deficits during multiyear droughts in basins with long hydrological memory in Chile,2021,HYDROLOGY AND EARTH SYSTEM SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5194/hess-25-429-2021,10.5194/hess-25-429-2021
3,"Damiani, A; Cordero, RR; Llanillo, PJ; Feron, S; Boisier, JP; Garreaud, R; Rondanelli, R; Irie, H; Watanabe, S",Connection between Antarctic Ozone and Climate: Interannual Precipitation Changes in the Southern Hemisphere,2020,ATMOSPHERE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/atmos11060579,10.3390/atmos11060579
4,"Garreaud, RD; Boisier, JP; Rondanelli, R; Montecinos, A; Sepulveda, HH; Veloso-Aguila, D",The Central Chile Mega Drought (2010-2018): A climate dynamics perspective,2020,INTERNATIONAL JOURNAL OF CLIMATOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/joc.6219,10.1002/joc.6219
5,"Bozkurt, D; Rojas, M; Boisier, JP; Rondanelli, R; Garreaud, R; Gallardo, L",Dynamical downscaling over the complex terrain of southwest South America: present climate conditions and added value analysis,2019,CLIMATE DYNAMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00382-019-04959-y,10.1007/s00382-019-04959-y
6,"Alvarez-Garreton, C; Lara, A; Boisier, JP; Galleguillos, M",The Impacts of Native Forests and Forest Plantations on Water Supply in Chile,2019,FORESTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/f10060473,10.3390/f10060473
7,"Boisier, JP; Alvarez-Garreton, C; Cordero, RR; Damiani, A; Gallardo, L; Garreaud, RD; Lambert, F; Ramallo, C; Rojas, M; Rondanelli, R",Anthropogenic drying in central-southern Chile evidenced by long-term observations and climate model simulations,2018,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1525/elementa.328,10.1525/elementa.328
8,"Alvarez-Garreton, C; Mendoza, PA; Boisier, JP; Addor, N; Galleguillos, M; Zambrano-Bigiarini, M; Lara, A; Puelma, C; Cortes, G; Garreaud, R; McPhee, J; Ayala, A",The CAMELS-CL dataset: catchment attributes and meteorology for large sample studies - Chile dataset,2018,HYDROLOGY AND EARTH SYSTEM SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5194/hess-22-5817-2018,10.5194/hess-22-5817-2018
9,"Bozkurt, D; Rojas, M; Boisier, JP; Valdivieso, J",Projected hydroclimate changes over Andean basins in central Chile from downscaled CMIP5 models under the low and high emission scenarios,2018,CLIMATIC CHANGE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10584-018-2246-7,10.1007/s10584-018-2246-7
