,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,3230102,"Using platinum group elements to evaluate the chalcophile element fertility of arc magmas in the Cretaceous metallogenic belt of the Coastal Cordillera, northern Chile",01/03/2023,01/03/2026,L. Barra,Departamento de Geología,FONDECYT,Postdoctorado
1,1230161,"Timing and tempo of supergene enrichment of copper deposits in the Coastal Cordillera metallogenic province, north-central Chile",01/03/2023,01/03/2027,"M. Reich / A. Pérez, L. Barra",Departamento de Geología,FONDECYT,Regular
2,3220410,"Using platinum group elements to evaluate the chalcophile element fertility of arc magmas in the Cretaceous metallogenic belt of the Coastal Cordillera, northern Chile",01/09/2021,01/09/2021,L. Barra,Departamento de Geología,FONDECYT,Postdoctorado
3,IM21_11446_en,Millennium Institute for Georesources,01/03/2023,01/03/2023,"M. Reich / L. Barra, D. Morata, D. Daniele, P. Larrea",Departamento de Geología,Iniciativa Científica Milenio,Institutos Milenios en Ciencias Exactas y Naturales
4,EQM200003,Un sistema de ablación láser (LA) de duración de pulso ultracorto (femtosegundo) para el análisis a nivel micrométrico de materiales naturales y sintético,01/03/2021,01/03/2021,L. Barra,Departamento de Geología,FONDEQUIP,Concurso de Equipamiento Científico
5,EQM190043,Concurso Fondequip Equipamiento Mediano 2019 Barra Pantoja,01/06/2019,01/06/2019,L. Barra,Departamento de Geología,FONDEQUIP,Concurso de Equipamiento Científico
6,1190105,"Source and Metal Fertility of Magmas from the Early Jurassic to Late Cretaceous Continental Magmatic Arc, Coastal Cordillera of Northern Chile (26° to 30°S)",01/04/2019,01/04/2023,L. Barra / M. Reich,Departamento de Geología,FONDECYT,Regular
7,1181217,"Source and Metal Fertility of Magmas from the Early Jurassic to Late Cretaceous Continental Magmatic Arc, Coastal Cordillera of Northern Chile (26° to 30°S)",01/07/2017,01/07/2017,L. Barra / M. Reich,Departamento de Geología,FONDECYT,Regular
8,3140353,Crystal deformation in continental arc volcanism and relationships with regional tectonic settings of the Chilean Southern Volcanic Zone,01/11/2013,01/11/2016,L. Barra,Departamento de Geología,FONDECYT,Postdoctorado
9,1140780,Metallogenesis of the Mesozoic magmatic arc of northern Chile: Testing the IOCG connection using a multi-proxy geochemical approach,01/03/2014,01/03/2018,L. Barra / M. Reich,Departamento de Geología,FONDECYT,Regular
10,EQM140009,Equipo de microtermometría,01/11/2014,01/11/2015,M. Reich / L. Barra,Departamento de Geología,FONDEQUIP,Concurso de Equipamiento Científico
