,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Maureira, I; Barra, F; Reich, M; Palma, G","Geology of the Altamira and Las Luces deposits, Coastal Cordillera, northern Chile: implications for the origin of stratabound Cu-(Ag) deposits",2023,MINERALIUM DEPOSITA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00126-022-01132-0,10.1007/s00126-022-01132-0
1,"Tassara, S; Rooney, AD; Ague, JJ; Guido, D; Reich, M; Barra, F; Navarrete, C",Osmium isotopes fingerprint mantle controls on the genesis of an epithermal gold province,2022,GEOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1130/G50045.1,10.1130/G50045.1
2,"Reich, M; Simon, AC; Barra, F; Palma, G; Hou, T; Bilenker, LD",Formation of iron oxide-apatite deposits,2022,NATURE REVIEWS EARTH & ENVIRONMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s43017-022-00335-3,10.1038/s43017-022-00335-3
3,"Ovalle J.T., Reich M., Barra F., Simon A.C., Deditius A.P., Le Vaillant M., Neill O.K., Palma G., Romero R., Román N., La Cruz N.L., Roberts M.P., Morata D.",Magmatic-hydrothermal evolution of the El Laco iron deposit revealed by trace element geochemistry and high-resolution chemical mapping of magnetite assemblages,2022,GEOCHIMICA ET COSMOCHIMICA ACTA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.gca.2022.03.012,10.1016/j.gca.2022.03.012
4,"Del Real, I; Reich, M; Simon, AC; Deditius, A; Barra, F; Rodriguez-Mustafa, MA; Thompson, JFH; Roberts, MP","Formation of giant iron oxide-copper-gold deposits by superimposed, episodic hydrothermal pulses (vol 2, 192, 2021)",2022,COMMUNICATIONS EARTH & ENVIRONMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s43247-022-00525-3,10.1038/s43247-022-00525-3
5,"Ishida, M; Romero, R; Leisen, M; Yasukawa, K; Nakamura, K; Barra, F; Reich, M; Kato, Y","Auriferous pyrite formed by episodic fluid inputs in the Akeshi and Kasuga high-sulfidation deposits, Southern Kyushu, Japan",2022,MINERALIUM DEPOSITA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00126-021-01053-4,10.1007/s00126-021-01053-4
6,"Sanhueza, J; Yanez, G; Barra, F; Maringue, J; Figueroa, R; Saez, E","Rheological, petrophysical and geometrical constraints of a subduction channel from a numerical model perspective: Insights from La Cabana Paleozoic peridotites, Coastal Cordillera of south-central Chile",2022,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jsames.2021.103706,10.1016/j.jsames.2021.103706
7,"Palma, G; Reich, M; Barra, F; Ovalle, JT; del Real, I; Simon, AC",Thermal evolution of Andean iron oxide-apatite (IOA) deposits as revealed by magnetite thermometry,2021,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-021-97883-3,10.1038/s41598-021-97883-3
8,"Del Real, I; Reich, M; Simon, AC; Deditius, A; Barra, F; Rodriguez-Mustafa, MA; Thompson, JFH; Roberts, MP","Formation of giant iron oxide-copper-gold deposits by superimposed, episodic hydrothermal pulses",2021,COMMUNICATIONS EARTH & ENVIRONMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s43247-021-00265-w,10.1038/s43247-021-00265-w
9,"Jara, JJ; Barra, F; Reich, M; Leisen, M; Romero, R; Morata, D",Episodic construction of the early Andean Cordillera unravelled by zircon petrochronology,2021,NATURE COMMUNICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41467-021-25232-z,10.1038/s41467-021-25232-z
10,"Rivas-Romero, C; Reich, M; Barra, F; Gregory, D; Pichott, S","The Relation between Trace Element Composition of Cu-(Fe) Sulfides and Hydrothermal Alteration in a Porphyry Copper Deposit: Insights from the Chuquicamata Underground Mine, Chile",2021,MINERALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/min11070671,10.3390/min11070671
11,"Herazo, A; Reich, M; Barra, F; Morata, D; del Real, I","Trace Element Geochemistry of Pyrite from Bitumen-Bearing Stratabound Cu-(Ag) Deposits, Northern Chile",2021,ACS EARTH AND SPACE CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acsearthspacechem.0c00321,10.1021/acsearthspacechem.0c00321
12,"Tibaldi, AM; Otamendi, JE; Demichelis, AH; Barzola, MG; Barra, F; Rabbia, OM; Cristofolini, EA; Benito, MP","Early Cambrian multiple-sourced plutonism in the Eastern Sierras Pampeanas, Cordoba, Argentina: Implications for the evolution of the early Paleozoic Gondwana margin",2021,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jsames.2020.103048,10.1016/j.jsames.2020.103048
13,"Jara, JJ; Barra, F; Reich, M; Morata, D; Leisen, M; Romero, R",Geochronology and petrogenesis of intrusive rocks in the Coastal Cordillera of northern Chile: Insights from zircon U-Pb dating and trace element geochemistry,2021,GONDWANA RESEARCH,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.gr.2021.01.007,10.1016/j.gr.2021.01.007
14,"Armas, P; Cristofolini, E; Escribano, F; Camilletti, G; Barzola, M; Otamendi, J; Cisterna, C; Leisen, M; Romero, R; Barra, F; Tibaldi, A","Lower-middle ordovician sedimentary environment and provenance of the surf formation in the northern region of the Famatina belt, Catamarca, Argentina",2021,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jsames.2020.102948,10.1016/j.jsames.2020.102948
15,"Crespo, J; Reich, M; Barra, F; Verdugo, JJ; Martinez, C; Leisen, M; Romero, R; Morata, D; Marquardt, C","Occurrence and Distribution of Silver in the World-Class Rio Blanco Porphyry Cu-Mo Deposit, Central Chile",2020,ECONOMIC GEOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5382/econgeo.4778,10.5382/econgeo.4778
16,"Childress, T; Simon, AC; Reich, M; Barra, F; Bilenker, LD; La Cruz, NL; Bindeman, IN; Ovalle, JT","Triple Oxygen (delta O-18, Delta O-17), Hydrogen (delta H-2), and Iron (delta Fe-56) Stable Isotope Signatures Indicate a Silicate Magma Source and Magmatic-Hydrothermal Genesis for Magnetite Orebodies at El Laco, Chile",2020,ECONOMIC GEOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.5387/econgeo.4760,10.5387/econgeo.4760
17,"Rodriguez-Mustafa, MA; Simon, AC; del Real, I; Thompson, JFH; Bilenker, LD; Barra, F; Bindeman, I; Cadwell, D",A Continuum from Iron Oxide Copper-Gold to Iron Oxide-Apatite Deposits: Evidence from Fe and O Stable Isotopes and Trace Element Chemistry of Magnetite,2020,ECONOMIC GEOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5382/econgeo.4752,10.5382/econgeo.4752
18,"La Cruz, NL; Ovalle, JT; Simon, AC; Konecke, BA; Barra, F; Reich, M; Leisen, M; Childress, TM","The Geochemistry of Magnetite and Apatite from the El Laco Iron Oxide-Apatite Deposit, Chile: Implications for Ore Genesis",2020,ECONOMIC GEOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5382/econgeo.4753,10.5382/econgeo.4753
19,"Childress, TM; Simon, AC; Reich, M; Barra, F; Arce, M; Lundstrom, CC; Bindeman, IN","Formation of the Mantoverde iron oxide-copper-gold (IOCG) deposit, Chile: insights from Fe and O stable isotopes and comparisons with iron oxide-apatite (IOA) deposits",2020,MINERALIUM DEPOSITA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00126-019-00936-x,10.1007/s00126-019-00936-x
20,"Palma, G; Barra, F; Reich, M; Simon, AC; Romero, R",A review of magnetite geochemistry of Chilean iron oxide-apatite (IOA) deposits and its implications for ore-forming processes,2020,ORE GEOLOGY REVIEWS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.oregeorev.2020.103748,10.1016/j.oregeorev.2020.103748
21,"Herazo, A; Reich, M; Barra, F; Morata, D; del Real, I; Pages, A","Assessing the role of bitumen in the formation of stratabound Cu-(Ag) deposits: Insights from the Lorena deposit, Las Luces district, northern Chile",2020,ORE GEOLOGY REVIEWS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.oregeorev.2020.103639,10.1016/j.oregeorev.2020.103639
22,"Reich, M; Roman, N; Barra, F; Morata, D","Silver-Rich Chalcopyrite from the Active Cerro Pabellon Geothermal System, Northern Chile",2020,MINERALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/min10020113,10.3390/min10020113
23,"Tassara, S; Reich, M; Konecke, BA; Gonzalez-Jimenez, JM; Simon, AC; Morata, D; Barra, F; Fiege, A; Schilling, ME; Corgne, A",Unraveling the Effects of Melt-Mantle Interactions on the Gold Fertility of Magmas,2020,FRONTIERS IN EARTH SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/feart.2020.00029,10.3389/feart.2020.00029
24,"Tassara, S; Reich, M; Cannatelli, C; Konecke, BA; Kausel, D; Morata, D; Barra, F; Simon, AC; Fiege, A; Morgado, E; Leisen, M",Post-melting oxidation of highly primitive basalts from the southern Andes,2020,GEOCHIMICA ET COSMOCHIMICA ACTA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.gca.2020.01.042,10.1016/j.gca.2020.01.042
25,"Romero, R; Barra, F; Leisen, M; Salazar, E; Gonzalez-Jimenez, JM; Reich, M","Sedimentary provenance of the Late Paleozoic metamorphic basement, south-central Chile: Implications for the evolution of the western margin of Gondwana",2020,INTERNATIONAL GEOLOGY REVIEW,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/00206814.2019.1627589,10.1080/00206814.2019.1627589
26,"Salazar, E; Barra, F; Reich, M; Leisen, ASM; Palma, G; Romero, R; Rojo, M","Trace element geochemistry of magnetite from the Cerro Negro Norte iron oxide-apatite deposit, northern Chile",2020,MINERALIUM DEPOSITA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00126-019-00879-3,10.1007/s00126-019-00879-3
27,"Camilletti, G; Otamendi, J; Tibaldi, A; Cristofolini, E; Leisen, M; Romero, R; Barra, F; Armas, P; Barzola, M","Geology, petrology and geochronology of sierra Valle Fertil - La Huerta batholith: Implications for the construction of a middle-crust magmatic-arc section",2020,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jsames.2019.102423,10.1016/j.jsames.2019.102423
