,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,ID16I10133,Observatorio minero,01/08/2016,01/08/2016,F. Acosta,Departamento de Ingeniería de Minas,FONDEF,IDEA Bietapa
1,ID17I10152,"Aumento de la eficiencia en plantas de producción electrolítica de cobre mediante el rediseño de procesos, utilizando tecnologías basadas en a transferenca simultánea de calor y carga eléctrica así como también en estrategias de operación no convencionales",01/06/2017,01/06/2017,G. Montes / P. Aylwin,Departamento de Ingeniería de Minas,FONDEF,IDEA Bietapa
2,1200696,"Gravel bed rivers contaminated by metal mining. Experiments, field campaigns and numerical simulations",01/08/2019,01/08/2019,Y. Niño / M. Caraballo,Departamento de Ingeniería Civil,FONDECYT,Regular
3,3200260,Exploración de elementos de valor mediante la obtención de la huella geoquímica de residuos mineros gracias al uso combinado de metodologías analíticas de terreno (plibs) y laboratorio (icp-oes e icp-ms),01/01/2020,01/01/2020,M. Caraballo,Departamento de Ingeniería de Minas,FONDECYT,Postdoctorado
4,3190318,Detección y caracterización de micro/nanoplásticos en matrices acuosas ambientales para la determinación de sus capacidades de adsorción/desorción de otros contaminantes emergentes,01/03/2019,01/03/2022,M. Caraballo,Departamento de Ingeniería de Minas,FONDECYT,Postdoctorado
5,EQM190045,Fortalecimiento de capacidades para la caracterizacion de multi-metales en aerosoles atmosfericos en tiempo real: red de investigacion interdisciplinaria por un aire limpio,01/09/2019,01/03/2021,"M. Leiva / R. Toro, M. Caraballo, C. Manzano, N. Huneeus, L. Gallardo, D. Cáceres, R. Seguel",Departamento de Química,FONDEQUIP,Concurso de Equipamiento Científico
6,REDES190123,Future impacts of climate change on global water quality due to mineral exploitation,01/10/2019,01/10/2021,"Y. Niño, M. Caraballo, P. Mendoza",Centro Avanzado de Tecnología para la Minería,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
7,EQM170141,"Fortalecimiento de la interdisciplinariedad en investigaciones de trazabilidad y especiación de elementos traza usando UHPLC-ICP- MS para el estudio de procesos químicos en Cc. de los Alimentos, Química Analítica y Ambiental, Cc.de la tierra y Minería",01/09/2017,01/09/2019,"P. Richter / J. Mc Phee, G. Montes, A. Garcia, P. Robert, F. Valenzuela, M. Caraballo",Departamento de Química Inorgánica y Analítica,FONDEQUIP,Concurso de Equipamiento Científico
8,3170082,Estudio del papel de los procesos de crecimiento cristalino no clásico en nanominerales de hierro mediante la aplicación de tecnologías analíticas de vanguardia en la caracterización de ferrihidrita,01/04/2017,01/04/2020,M. Caraballo,Departamento de Ingeniería de Minas,FONDECYT,Postdoctorado
9,11150002,The influence of non-classical nucleation processes in the formation of amorphous to nanocrystalline transitional phases in environmental aqueous solutions,01/11/2015,01/11/2018,M. Caraballo,Departamento de Ingeniería de Minas,FONDECYT,Iniciación en Investigación
10,1150088,The influence of non-classical nucleation processes in the formation of amorphous to nanocrystalline transitional phases in environmental aqueous solutions,01/03/2015,01/03/2015,M. Caraballo / P. Richter,Departamento de Ingeniería de Minas,FONDECYT,Regular
