,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Estay H., Díaz-Quezada S., Arancibia E., Vargas T.",Economic Assessment of an In Situ Leaching Operation with Ore Preconditioning Using Sublevel Stoping Techniques,2023,MINING METALLURGY & EXPLORATION,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s42461-023-00736-y,10.1007/s42461-023-00736-y
1,"Vargas, T; Estay, H; Arancibia, E; Diaz-Quezada, S",In situ recovery of copper sulfide ores: Alternative process schemes for bioleaching application,2020,HYDROMETALLURGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.hydromet.2020.105442,10.1016/j.hydromet.2020.105442
2,"Orellana, LF; Castro, R; Hekmat, A; Arancibia, E",Productivity of a Continuous Mining System for Block Caving Mines,2017,ROCK MECHANICS AND ROCK ENGINEERING,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s00603-016-1107-9,10.1007/s00603-016-1107-9
3,"Bahamondez, C; Castro, R; Vargas, T; Arancibia, E",In situ mining through leaching: experimental methodology for evaluating its implementation and economic considerations,2016,JOURNAL OF THE SOUTHERN AFRICAN INSTITUTE OF MINING AND METALLURGY,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.17159/2411-9717/2016/v116n7a11,10.17159/2411-9717/2016/v116n7a11
4,"Castro, RL; Gonzalez, F; Arancibia, E",Development of a gravity flow numerical model for the evaluation of drawpoint spacing for block/panel caving,2009,JOURNAL OF THE SOUTH AFRICAN INSTITUTE OF MINING AND METALLURGY,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,,
5,"Caraballo, MA; Asta, MP; Perez, JPH; Hochella, MF","Past, present and future global influence and technological applications of iron-bearing metastable nanominerals",2022,GONDWANA RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.gr.2021.11.009,10.1016/j.gr.2021.11.009
6,"Gonzalez-Diaz, E; Garcia, S; Soto, F; Navarro, F; Townley, B; Caraballo, MA","Geochemical, mineralogical and geostatistical modelling of an IOCG tailings deposit (El Buitre, Chile): Implications for environmental safety and economic potential",2022,JOURNAL OF GEOCHEMICAL EXPLORATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.gexplo.2022.106997,10.1016/j.gexplo.2022.106997
7,"Becerra-Herrera, M; Arismendi, D; Molina-Balmaceda, A; Uslar, J; Manzo, V; Richter, P; Caraballo, MA",Initial phthalates fingerprint and hydrochemical signature as key factors controlling phthalates concentration trends in PET-bottled waters during long storage times,2022,FOOD CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.foodchem.2021.131248,10.1016/j.foodchem.2021.131248
8,"Gomez-Arias, A; Yesares, L; Diaz, J; Caraballo, MA; Maleke, M; Saez, R; van Heerden, E; Vermeulen, D; Nieto, JM; Castillo, J",Mine waste from carbonatite deposits as potential rare earth resource: Insight into the Phalaborwa (Palabora) Complex,2022,JOURNAL OF GEOCHEMICAL EXPLORATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.gexplo.2021.106884,10.1016/j.gexplo.2021.106884
9,"Zegers, G; Navarro-Valdivia, L; Lagos-Zuniga, M; Navarrete-Calvo, A; Caraballo, MA; Nino, Y; McPhee, J; Montserrat, S",An integrated modeling approach for mineral and metal transport in acidic rivers at high mountainous porphyry Cu systems,2021,JOURNAL OF HYDROLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jhydrol.2021.126718,10.1016/j.jhydrol.2021.126718
