,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,IT23I0107,Título de la propuesta Internet of Space Things: Evaluating in Space an IoT System,01/04/2023,01/04/2023,"M. Díaz / M. Adams, C. Azurdia",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
1,1231658,"Advances in SLAM, Data Registration & Multi-Target, Multi-Class Tracking with Random Finite Sets",01/03/2023,01/03/2027,M. Adams,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
2,AFB220002,Centro Avanzado de Tecnología para la Minería (AMTC),01/10/2022,01/10/2023,"J. Ruiz del Solar / Y. Niño, D. Comte, M. Adams, R. Castro, C. Ihle, X. Emery, J. Vallejos, C. Pérez",Departamento de Ingeniería Eléctrica,Programa de Investigación Asociativa,Apoyo Centros Científicos y Tecn. de Excelencia con Financ. Basal
3,ID21I10172,Sistema basado en Inteligencia Artificial para determinar en tiempo real la granulometría del mineral en Puntos de Extracción,01/01/2022,01/01/2024,"C. Pérez / M. Adams, P. Estévez",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
4,1190979,Multi-Target Tracking and Robotic Navigation under a Finite Set Statistical Framework,01/04/2019,01/04/2023,M. Adams,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
5,AFB180004,"Advanced Mining Technology Center (Centro Avanzado de Tecnología para la Minería), AMTC",01/01/2019,01/01/2022,"J. Ruiz del Solar / J. Vallejos, C. Pérez, D. Comte, Y. Niño, R. Castro, W. Kracht, X. Emery, M. Adams, C. Ihle",Centro Avanzado de Tecnología para la Minería,Programa de Investigación Asociativa,Apoyo Centros Científicos y Tecn. de Excelencia con Financ. Basal
6,IT18I0115,"Sistema para la estimación del consumo de ácido en lixiviación de sulfuros de cobre, en base a imágenes híper espectrales del material chancado terciario",01/10/2018,01/10/2018,M. Adams,Centro Avanzado de Tecnología para la Minería,FONDEF,IDEA
7,3180319,"Algoritmos basados en ""Random Finite Sets"" aplicados a detección y seguimiento automático de personas y vehículos en ambientes variables y a seguimiento de basura espacial",01/03/2018,01/03/2021,M. Adams,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
8,EQM170041,Sistema de Cómputo para Deep Learning basado en Cluster NVIDIA DGX-1,01/09/2017,01/03/2019,"J. Ruiz del Solar / P. Mendoza, J. Mc Phee, M. Adams",*Centro Avanzado de Tecnología para la Minería,FONDEQUIP,Concurso de Equipamiento Científico
9,3160425,Robust people and vehicle tracking using multiple sensors in adverse environmental conditions,01/06/2015,01/06/2015,M. Adams,Departamento de Ingeniería de Minas,FONDECYT,Postdoctorado
10,ID16I10490,Levantamientos topográficos autónomos y eficientes en minas subterráneas,01/08/2016,01/08/2016,M. Adams,Departamento de Ingeniería Eléctrica,FONDEF,IDEA Bietapa
11,IT15I10070,Sistema de detección y clasificación mineralógica rápida basado en análisis hiperespectral,01/03/2016,01/03/2018,"M. Adams / F. Tobar, J. Ortiz",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
12,3150066,Towards Long-term Autonomy and Navigation in Changing Environments Using Random Finite Sets,01/11/2014,01/11/2016,M. Adams,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
13,ID15I10492,Levantamientos topográficos autónomos y eficientes en minas subterráneas,01/06/2015,01/06/2015,M. Adams,Departamento de Ingeniería Eléctrica,FONDEF,IDEA Bietapa
14,1150930,"Advances in SLAM based on Visual, Lidar and Radar Statistical Detection Modelling and Random Finite Sets",01/03/2015,01/03/2019,M. Adams,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
15,CA13I10305,"Detección y caracterización de variables geometalurgicas a partir de imágenes hiperespectrales
",01/10/2013,01/07/2015,M. Adams,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
16,2012-009,Exploración 3D automatizada para digitalización rápida de minas,01/04/2013,01/04/2015,M. Adams,Departamento de Ingeniería Eléctrica,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/DAAD-Alemania
17,12IDL1-13325,Modelamiento tridimensional de objetos y cavidades,01/12/2012,01/12/2012,M. Adams,Departamento de Ingeniería Eléctrica,INNOVA,Innova
18,1110579,Advances in robot perception and mapping in challenging environments,01/03/2011,01/03/2014,M. Adams,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
19,10264,Centro para la investigación multidisplinaria en procesamiento de señales,01/10/2012,01/10/2015,"N. Becerra / P. Rojo, W. Kracht, M. Adams",Departamento de Ingeniería Eléctrica,Programa de Investigación Asociativa,Concurso Anillos en Ciencia y Tecnologia
20,ATE230035,Sea Harbour Operation with Renewable Energies (SHORE),01/06/2023,01/06/2023,"J. Cárdenas / C. Ahumada, D. Sáez",Departamento de Ingeniería Eléctrica,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
21,1220507,Distributed Predictive Control Strategies based on Evolving Prediction Intervals for Energy-Water Microgrids,01/04/2022,01/04/2026,"D. Sáez / M. Orchard, C. Ahumada, D. Daniele",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
22,1210636,Distributed Predictive Control Strategies based on Prediction Intervals for Energy-Water Microgrids,01/08/2020,01/08/2020,"D. Sáez / M. Orchard, C. Ahumada, D. Daniele",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
23,11200866,Reduction Of TORsional Vibrations In Ships (ROTORVIS),01/10/2020,01/10/2023,C. Ahumada,Departamento de Ingeniería Eléctrica,FONDECYT,Iniciación en Investigación
24,ID19I10092,Desarrollo de un Sistema de Desalinización de Agua Utilizando Energía Eólica Mediante Osmosis Inversa Impulsada Mecánicamente,01/04/2019,01/04/2019,"W. Calderón / R. Fernández, C. Ahumada",Departamento de Ingeniería Mecánica,FONDEF,IDEA
25,UI-030/19,Robust Control Strategies for the Reduction of Torsional Vibrations on Marine Propellers,01/10/2019,01/10/2021,C. Ahumada,Departamento de Ingeniería Eléctrica,Fondo Central de Investigación,U-INICIA
26,IT19I0129,Desarrollo e implementación de un sistema de monitoreo en-línea de la seguridad dinámica del sistema eléctrico,01/06/2020,01/10/2022,"R. Palma / C. Ahumada, C. Fuentes, C. Rahmann",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
27,ID18I10274,Diseño de Sistema de Control y Gestión de Energía e Implementación de prototipo de Unidad Transportable de Generación de Electricidad basado en Hidrógeno Solar (UTGE-H),01/04/2018,01/04/2018,"P. Mendoza / F. Gracia, W. Calderón, C. Ahumada",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
28,IT18I0007,Sistema integrado SMART-Farm/Micro-red para el desarrollo productivo de comunidades rurales Mapuche,01/10/2018,01/10/2018,"D. Sáez / J. Cárdenas, C. Ahumada",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
29,3240147,Privacy-aware and automated defense for 5G&B5G-based Industrial Internet of Things (IIoT),01/06/2023,01/06/2023,C. Azurdia,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
30,IT23I0107,Título de la propuesta Internet of Space Things: Evaluating in Space an IoT System,01/04/2023,01/04/2023,"M. Díaz / M. Adams, C. Azurdia",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
31,ID23I10360,Internet of Space Things: Developing an agile platform for in-space operation of IoT,01/05/2023,01/05/2025,M. Díaz / C. Azurdia,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
32,AMSUD220026,5G & B5G Technology based on artificial intelligence for Underground Vehicles Communications with OWC/RF,01/04/2023,01/04/2025,C. Azurdia,,,
33,3210513,Sistemas de posicionamiento basados en comunicaciones por luz visible en el contexto del internet de las cosas,01/08/2020,01/08/2020,C. Azurdia,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
34,1211132,Advances in Visible Light Communication Systems Applied to Undeground Mining Environments,01/03/2021,01/03/2025,C. Azurdia,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
35,1201893,IoT goes to space: Wireless networking protocols and architectures for IoT networks served by LEO satellite constellations,01/03/2020,01/05/2023,"S. Cespedes / C. Azurdia, J. Bustos",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
36,COVID0365,"Inteligencia artificial para la detección y seguimiento de dificultad respiratoria en población de riesgo
COVID-19 usando la red telefónica",01/06/2020,01/06/2021,"N. Becerra / M. Ruiz, S. Cespedes, C. Azurdia, C. Estévez",Departamento de Ingeniería Eléctrica,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
37,ECOS200001,Advances in visible ligth communications systems applied to Underground Mining Environments: Channel modeling and apllications,01/06/2022,01/06/2022,C. Azurdia,Departamento de Ingeniería Eléctrica,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/ECOS-Francia
38,ID20I10350,Plataforma Telemétrica de Sensorización de Extremidades para la Temprana Toma de Acciones Correctivas en Pacientes con Neuropatía Periférica,01/04/2020,01/04/2020,"C. Estévez / S. Cespedes, C. Azurdia, M. Orchard",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
39,1201188,Research in positioning algorithms for an underground tunnel using organic processing,01/08/2019,01/08/2019,C. Azurdia,Universidad De Santiago,FONDECYT,Regular
40,ID20I10212,Automatic detection and classification of seismological events using advanced machine learning methods,01/12/2020,01/12/2022,N. Becerra / C. Azurdia,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
41,EQY200026,Satellite communication system for current and future space missions,01/11/2020,01/11/2020,"M. Díaz / S. Cespedes, C. Azurdia, C. Fuentes, R. Finger, R. Rondanelli, C. Falcón",Departamento de Ingeniería Eléctrica,FONDEQUIP,Concursos de Equipamiento Tecnológico Mayor
42,ENL01/20,Evaluation of Adaptive Beaconing Algorithms with Beamforming for V2V Cooperative Safety Systems,01/08/2020,01/08/2021,C. Azurdia,Departamento de Ingeniería Eléctrica,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
43,1201915,Overcoming Intrinsic Losses by Implementing a Novel Physical-transport Cross-layer Control System for Satellite Communication and other Inherently Low-SNR Link Networks,01/08/2019,01/08/2019,"C. Estévez / M. Díaz, S. Cespedes, C. Azurdia",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
44,1201300,"Design, Analysis, and Evaluation of Adaptive Beaconing Algorithms with Beamforming for V2V Cooperative Safety Systems",01/08/2019,01/08/2019,"C. Azurdia / C. Estévez, S. Cespedes",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
45,ID19I10125,Plataforma Telemétrica de Sensorización de Extremidades Corporales para la Detección Temprana de Amenazas de Salud en Pacientes con Neuropatía Periférica,01/04/2019,01/04/2019,"C. Estévez / M. Orchard, S. Cespedes, C. Azurdia",Departamento de Ingeniería Eléctrica,FONDEF,IDEA
46,1191638,Study of smart reconfigurable systems for high data-rate communication in Cubesats,01/08/2018,01/08/2018,"M. Díaz / F. Mena, N. Reyes, C. Azurdia",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
47,3190102,PAPR and ICI reduction via the pulse shaping filter method for RoF-OFDM systems based on modems with parallel computation,01/10/2018,01/10/2018,C. Azurdia,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
48,ID19I10323,Automatic detection and classification of seismological events using advanced machine learning methods,01/04/2019,01/04/2019,N. Becerra / C. Azurdia,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
49,1190354,Non-binary organic storage of keys for secure IoT,01/08/2018,01/08/2018,C. Azurdia,USACH. Depto. de Ing. Eléctrica,FONDECYT,Regular
50,1180523,Very secure DNA data compression with Polar codes for VLC,01/07/2017,01/07/2017,C. Azurdia,Universidad De Santiago,FONDECYT,Regular
51,EQM180070,"Analizador vectorial de redes, habilitando investigación y desarrollo en el espectro milimétrico",01/07/2018,01/07/2018,"N. Reyes / C. Estévez, C. Azurdia, S. Cespedes, R. Finger, L. Bronfman, M. Díaz, R. Rondanelli, F. Mena",Departamento de Ingeniería Eléctrica,FONDEQUIP,Concurso de Equipamiento Científico
52,19-STIC-08,Visible Light Mine Communications,01/02/2019,01/02/2021,C. Azurdia,Otras Instituciones,Cooperación Internacional: Multilateral y vinculación,Programa Regional TIC-AMSUD
53,1171312,Overcoming intrinsic losses by implementing a physical-transport cross-layer control system for inherently low-SNR link networks ,01/09/2016,01/09/2016,"C. Estévez / S. Cespedes, C. Azurdia",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
54,3170021,Asignación de recursos de transmisión con equidad en comunicaciones inalámbricas energéticamente eficientes,01/04/2017,01/04/2020,C. Azurdia,Universidad Tecnologica Metropolitana,FONDECYT,Postdoctorado
55,11160517,"Analysis, design, and implementation of nyquist pulses in OFDM next generation wireless communication systems",01/10/2016,01/10/2019,C. Azurdia,Departamento de Ingeniería Eléctrica,FONDECYT,Iniciación en Investigación
56,1161369,Overcoming intrinsic losses by implementing a novel physical-transport cross-layer control system for satellite communication and other inherently low-SNR link networks,01/06/2015,01/06/2015,"C. Estévez / S. Cespedes, C. Azurdia",Departamento de Ingeniería Eléctrica,FONDECYT,Regular
57,11150239,"Analysis, Design, and Implementation of Nyquist Pulses in Next Generation Wireless Communication Systems",01/06/2015,01/06/2015,C. Azurdia,Departamento de Ingeniería Eléctrica,FONDECYT,Iniciación en Investigación
58,11140058,"Analysis, design, and implementation of nyquist pulses in next generation wireless communications systems",01/12/2014,01/12/2014,C. Azurdia,Departamento de Ingeniería Eléctrica,FONDECYT,Iniciación en Investigación
59,EQM140023,Prototipadora láser,01/11/2014,01/11/2015,"F. Mena / R. Finger, C. Estévez, L. Bronfman, C. Azurdia, M. Díaz, N. Reyes",Departamento de Ingeniería Eléctrica,FONDEQUIP,Concurso de Equipamiento Científico
60,UINICIA-2014-001,"Analysis, Design, and Implementation of Nyquist Pulses in OFDM-based Communication Systems",01/06/2014,01/06/2016,C. Azurdia,Departamento de Ingeniería Eléctrica,Fondo Central de Investigación,U-INICIA
61,EQM130098,Plataforma para investigación avanzada en interacción humano-robot y robótica móvil,01/03/2014,01/03/2015,"N. Becerra / R. Vivanco, C. Azurdia",Departamento de Ingeniería Eléctrica,FONDEQUIP,Concurso de Equipamiento Científico
62,1241600,Modeling the path traveled by seismic waves using blind channel estimation techniques to identify volcanic activity,01/08/2023,01/08/2023,N. Becerra,,FONDECYT,Regular
63,IT23I0036,Detección y caracterización automáticas de eventos sísmicos con machine learning integradas al entorno operacional del monitoreo nacional sismológico,01/04/2023,01/04/2023,N. Becerra / C. Estévez,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
64,1231748,Modeling the path traveled by seismic waves using blind channel estimation techniques to identify volcanic activity,01/08/2022,01/08/2022,N. Becerra,Universidad de la Frontera,FONDECYT,Regular
65,1221567,Modeling the path traveled by seismic waves using blind channel estimation to early assess of volcanic activity,01/09/2021,01/09/2021,N. Becerra,Universidad de la Frontera,FONDECYT,Regular
66,1211946,Robust speech processing for human-robot interaction,01/03/2021,01/03/2025,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
67,1211748,Modeling the path traveled by seismic waves using blind channel estimation techniques to identify volcanic activity,01/08/2020,01/08/2020,N. Becerra,Universidad de la Frontera,FONDECYT,Regular
68,101007666,"Exchanges for Speech Research and Technologies, ESPERANTO",01/01/2021,01/12/2024,N. Becerra,Otras Instituciones,Horizon 2020,Marie Sklodowska-Curie actions
69,COVID0365,"Inteligencia artificial para la detección y seguimiento de dificultad respiratoria en población de riesgo
COVID-19 usando la red telefónica",01/06/2020,01/06/2021,"N. Becerra / M. Ruiz, S. Cespedes, C. Azurdia, C. Estévez",Departamento de Ingeniería Eléctrica,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
70,1201835,Blind Channel Estimation Modeling of seismic waves transmission to early assess of volcanic activity,01/07/2019,01/07/2019,N. Becerra,Universidad de la Frontera,FONDECYT,Regular
71,3200494,Beamforming for robust speech recognition in human-robot interaction,01/01/2020,01/01/2020,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
72,1201595,Robust speech processing for human-robot interaction,01/08/2019,01/08/2019,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
73,ID20I10212,Automatic detection and classification of seismological events using advanced machine learning methods,01/12/2020,01/12/2022,N. Becerra / C. Azurdia,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
74,3190548,Emotion recognition for human-robot interaction,01/10/2018,01/10/2018,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
75,3190392,Robust automatic speech recognition for human-robot interaction,01/10/2018,01/10/2018,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
76,ID19I10323,Automatic detection and classification of seismological events using advanced machine learning methods,01/04/2019,01/04/2019,N. Becerra / C. Azurdia,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
77,FIC201924,Clasificación automática de eventos sísmicos utilizando métodos de inteligencia artificial,01/07/2022,01/07/2022,N. Becerra,Departamento de Ingeniería Eléctrica,Fondos de Innovación para la Competitividad,GORE Metropolitano de Santiago
78,ID19I10397,Sistema para la evaluación en línea de la actividad de un volcán mediante el análisis automatizado del comportamiento de su sismicidad y la generación de alarmas ante sus cambios de estado,01/08/2019,01/08/2021,N. Becerra,Universidad de la Frontera,FONDEF,IDEA
79,1191437,Robust speech processing for human-robot interaction,01/08/2018,01/08/2018,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
80,IT19I0043,Sistema de monitoreo Acústico de Ballenas (SiMAB),01/11/2019,01/11/2019,N. Becerra,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
81,BMBF180058,From Presbycusis to Dementia: A Basic and Clinical Approach,01/10/2018,01/10/2018,"P. Délano / N. Becerra, V. Fuenzalida",Departamento de Neurociencias,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/BMBF-Alemania
82,IT18I0064,Sistema de Monitoreo Acústico de Ballenas (SiMAB),01/08/2018,01/08/2018,N. Becerra,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
83,ACT172052,Center for multidisciplinary research on signal processing,01/12/2017,01/12/2017,N. Becerra,Departamento de Ingeniería Eléctrica,Programa de Investigación Asociativa,Concurso Anillos en Ciencia y Tecnologia
84,NM2016_021,Núcleo Milenio para la investigación multidisciplinaria en procesamiento de señales,01/07/2016,01/07/2016,N. Becerra,Departamento de Ingeniería Eléctrica,Iniciativa científica Milenio,Núcleos Milenio
85,3160584,Multidisciplinary research on signal processing,01/06/2015,01/06/2015,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
86,3160546,Signal processing and pattern recognition research on vision & voice based human-robot interaction and on other multidisciplinary topics,01/06/2015,01/06/2015,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
87,ID15I10437,Sistema de evaluación autónomo y oportuno de la eficiencia en celdas de flotación de minerales utilizando el análisis de la respuesta de sensor infrarrojo con procesamiento de señales,01/06/2015,01/06/2015,N. Becerra,Departamento de Ingeniería Eléctrica,FONDEF,IDEA Bietapa
88,1151306,Voice based interfaces for cooperative robot swarm,01/03/2015,01/03/2019,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Regular
89,IT15I10027,Implementación de un sistema de apoyo al monitoreo de la sismicidad del volcán Llaima,01/08/2015,01/08/2017,N. Becerra,Universidad de la Frontera,FONDEF,IDEA
90,IT15I10067,Sistema de monitoreo acústico de ballenas (SIMAB),01/06/2015,01/06/2015,N. Becerra,Departamento de Ingeniería Eléctrica,FONDEF,IDEA
91,CA13I10273,Plataforma de Procesamiento y Gestión de señales sísmicas para apoyar la identificación de eventos del volcán Llaima,01/10/2013,01/10/2015,N. Becerra,Universidad de la Frontera,FONDEF,IDEA
92,3130613,Maximizing the quality of video in the presence of varying network conditions,01/10/2012,01/10/2012,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
93,EQM130098,Plataforma para investigación avanzada en interacción humano-robot y robótica móvil,01/03/2014,01/03/2015,"N. Becerra / R. Vivanco, C. Azurdia",Departamento de Ingeniería Eléctrica,FONDEQUIP,Concurso de Equipamiento Científico
94,3120176,Robustez en procesamiento de señales de voz aplicadosa biometría y educación.,01/10/2011,01/10/2011,N. Becerra,Departamento de Ingeniería Eléctrica,FONDECYT,Postdoctorado
95,CA12i10081,Text routing: reconocimiento inteligente de las intenciones del usuario para enrutamiento de llamadas en Call Centers utilizando técnicas de análisis Semántico de Lenguaje Natural y Métodos de Aprendizaje Automático,01/03/2013,01/03/2015,N. Becerra,Universidad De Concepcion,FONDEF,IDEA
96,10264,Centro para la investigación multidisplinaria en procesamiento de señales,01/10/2012,01/10/2015,"N. Becerra / P. Rojo, W. Kracht, M. Adams",Departamento de Ingeniería Eléctrica,Programa de Investigación Asociativa,Concurso Anillos en Ciencia y Tecnologia
