,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Barrios P., Guzman V., Adams M.",PSO-COLA: A Robust Solution for Correspondence-Free Point Set Registration,2022,"2022 11th International Conference on Control, Automation and Information Sciences, ICCAIS 2022",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/ICCAIS56082.2022.9990114,10.1109/ICCAIS56082.2022.9990114
1,"Galdames, FJ; Perez, CA; Estevez, PA; Adams, M",Rock lithological instance classification by hyperspectral images using dimensionality reduction and deep learning,2022,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.chemolab.2022.104538,10.1016/j.chemolab.2022.104538
2,"Falchetti A., Adams M.",Probability Hypothesis Density Filter Visual Simultaneous Localization and Mapping,2021,"10th International Conference on Control, Automation and Information Sciences, ICCAIS 2021 - Proceedings",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/ICCAIS52680.2021.9624511,10.1109/ICCAIS52680.2021.9624511
3,"Cament, L; Adams, M; Barrios, P",Space Debris Tracking with the Poisson Labeled Multi-Bernoulli Filter,2021,SENSORS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/s21113684,10.3390/s21113684
4,"Cament, L; Correa, J; Adams, M; Perez, C","The histogram Poisson, labeled multi-Bernoulli multi-target tracking filter",2020,SIGNAL PROCESSING,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.sigpro.2020.107714,10.1016/j.sigpro.2020.107714
5,"Luhr, D; Adams, M; Houshiar, H; Borrmann, D; Andreas, N",Feature Detection With a Constant FAR in Sparse 3-D Point Cloud Data,2020,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1109/TGRS.2019.2950292,10.1109/TGRS.2019.2950292
6,"Gonzalez C., Adams M.",An improved feature extractor for the Lidar Odometry and Mapping (LOAM) algorithm,2019,"ICCAIS 2019 - 8th International Conference on Control, Automation and Information Sciences",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/ICCAIS46528.2019.9074665,10.1109/ICCAIS46528.2019.9074665
7,"Moratuwage, D; Adams, M; Inostroza, F",d-Generalized Labeled Multi-Bernoulli Simultaneous Localization and Mapping with an Optimal Kernel-Based Particle Filtering Approach,2019,SENSORS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/s19102290,10.3390/s19102290
8,"Galdames, FJ; Perez, CA; Estevez, PA; Adams, M","Rock lithological classification by hyperspectral, range 3D and color images",2019,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.chemolab.2019.04.006,10.1016/j.chemolab.2019.04.006
9,"Moratuwage D., Adams M., Inostroza F.",d-Generalised Labelled Multi-Bernoulli Simultaneous Localisation and Mapping,2018,"ICCAIS 2018 - 7th International Conference on Control, Automation and Information Sciences",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/ICCAIS.2018.8570448,10.1109/ICCAIS.2018.8570448
10,"Inostroza F., Adams M.",Addressing Data Association in Maximum Likelihood SLAM with Random Finite Sets,2018,"2018 21st International Conference on Information Fusion, FUSION 2018",SCOPUS/UCH/VID,http://dx.doi.org/10.23919/ICIF.2018.8455273,10.23919/ICIF.2018.8455273
11,"Cament L., Adams M., Correa J.","A Multi-Sensor, Gibbs Sampled, Implementation of the Multi-Bernoulli Poisson Filter",2018,"2018 21st International Conference on Information Fusion, FUSION 2018",SCOPUS/UCH/VID,http://dx.doi.org/10.23919/ICIF.2018.8455748,10.23919/ICIF.2018.8455748
