,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,ID20I10001,Advanced Data Science Methods for medication error prevention,01/08/2020,01/08/2022,"S. Ríos / C. Amdan, P. Wolff",Departamento de Ingeniería Industrial,FONDEF,IDEA
1,SA19I0074,Diseño y validación de un modelo para la prevención de errores de medicación en pacientes pediátricos,01/03/2019,01/03/2019,"S. Ríos / P. Wolff, C. Amdan, M. Nalegach",Departamento de Ingeniería Industrial,CONICYT/MINSAL,FONIS-Proyectos I&D
2,COVID0997,Cuando el teletrabajo en el estado se hizo inevitable: Nna oportunidad para el análisis y el desarrollo efectivo de esta modalidad laboral en el sector público,01/06/2020,01/06/2021,J. Fuenzalida / A. Barahona,Departamento de Ingeniería Industrial,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
3,I2843-8815,,31/12/1988,31/12/1993,O. Barros,,CONCURSOS ESPECIFICOS DE INVESTIGACION,DTI
4,I2259-8623,,31/12/1985,31/12/1988,O. Barros,,CONCURSOS ESPECIFICOS DE INVESTIGACION,DTI
5,1070805,Reformas de mercado y subdesarrollo en América Latina: una mirada desde la microeconomía,01/03/2007,01/03/2009,R. Bergoeing,Gabinete Departamento de Economía,FONDECYT,Regular
6,1050499,"Policies, influence activities, and aggregate efficiency",01/03/2005,01/03/2007,R. Bergoeing,Departamento de Ingeniería Industrial,FONDECYT,Regular
7,1030991,Disaggregate Fluctuations and Policy,01/03/2003,01/03/2005,R. Bergoeing,Departamento de Ingeniería Industrial,FONDECYT,Regular
8,1020366,"Depresión, recuperación y política gubernamental: un modelo de equilibrio general",01/06/2002,01/06/2002,R. Bergoeing,Departamento de Ingeniería Industrial,FONDECYT,Regular
9,D06I1015,"Desarrollo de soluciones de productividad para Cadena de Retail: Tiendas por departamento, tiendas de especialidad y tiendas de conveniencia",01/12/2006,01/12/2008,"M. Bosch / A. Musalem, M. Olivares, A. Weintraub, R. Weber",Departamento de Ingeniería Industrial,FONDEF,Investigación y Desarrollo (I+D)
10,1030951,"Metodos avanzados de data mining para la generación de estrategias innovadoras en Marketing
",01/03/2003,01/03/2003,R. Weber / M. Bosch,Departamento de Ingeniería Industrial,FONDECYT,Regular
11,D03I1057,Desarrollo de tecnologías de gestión para aumentar la productividad de cadenas de abastecimiento de industrias de consumo masivo: Aplicación al caso supermercados,01/12/2003,01/12/2005,"M. Bosch / R. Weber, G. Durán, A. Weintraub, A. Holgado",Departamento de Ingeniería Industrial,FONDEF,Investigación y Desarrollo (I+D)
12,S/N 0036,Desarrollo de una herramienta de Generación de conocimiento para empresas de retail,01/12/2000,01/12/2000,M. Bosch,Departamento de Ingeniería Industrial,FONDEF,Investigación y Desarrollo (I+D)
13,1990617,Proposición y evaluación de instrumentos de incentivo económico para mejorar la calidad del aire en Santiago,01/03/1999,01/03/2002,M. Bosch,Departamento de Ingeniería Industrial,FONDECYT,Regular
14,1911213,"Una metodología de desarrollo, análisis e implementación de modelos de simulación",01/03/1991,01/03/1993,M. Bosch,Departamento de Ingeniería Industrial,FONDECYT,Regular
15,MI-02,Programa de tecnologías avanzadas de manufactura,01/12/1991,01/12/1991,"H. Thiemer, M. Rivara, M. Bosch",Departamento de Ingeniería Industrial,FONDEF Investigación y Desarrollo,Fondef I-ID
16,I-3096/9012,Investigación y aplicaciones del control adaptativo robusto a plantas de parámetros variables,01/03/1991,01/03/1993,I. Braga,Departamento de Ingeniería Eléctrica,Fondo Central de Investigación,PROYECTOS ESPECIFICOS DE INVESTIGACION
