,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Julio, C; Wolff, P; Yarza, MV",Waiting lists management model based on timeliness and justice,2016,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872016000600014,10.4067/S0034-98872016000600014
1,"Faundez, R; Arancibia, S; Delamaza, G",Determinants Criteria of the Institutionalization of Citizen Participation in Public Organisms: A Model Proposal,2022,GESTION Y POLITICA PUBLICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.29265/gypp.v31i2.1256,10.29265/gypp.v31i2.1256
2,"Ortiz-Lopez, N; Ponce-Arancibia, S; Olea-Gangas, C; Chacano-Munoz, R; Arancibia-Carvajal, S; Solis, I",Determinants of the intention to speak up about medical error in primary healthcare settings in Chile,2022,HEALTH & SOCIAL CARE IN THE COMMUNITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/hsc.13527,10.1111/hsc.13527
3,"Andrade Guzmán C., Arancibia Carvajal S., Contreras Villablanca E., Cárdenas Espinoza M.C.",Youth volunteering: Factors of permanence in childhood intervention experiences,2017,Opcion,SCOPUS/UCH/VID,,
4,"Andrade Guzmán, Carlos; Martínez Medina, Andrés; Arancibia Carvajal, Sara; Molina Moreno, Valentín; Meseguer Santamaría, María","Aprendizajes para las políticas e intervenciones sociales de discapacidad mental. El caso del Servicio de Capacitación Cecap, Toledo, España",2014,Revista Gerencia y Politicas de Salud,SCIELO-otros paises /SCOPUS/UCH/VID,http://dx.doi.org/10.11144/Javeriana.rgyps13-27.apis,10.11144/Javeriana.rgyps13-27.apis
5,"Cardenas, MC; Andrade, C; Arancibia, S",Social policies of children with disabilities in Chile: An approach from the link between state and civil society,2012,REVISTA DEL CLAD REFORMA Y DEMOCRACIA,ISI/SCOPUS/UCH/VID,,
6,"Andrade, C; Arancibia, S",Chile: interaction State-civil society,2010,CEPAL REVIEW,ISI/SCOPUS/UCH/VID,,
7,"Barros O., Aguilera I.",Improving the Efficiency of a Public Health Service by Designing Its Innovation Management Structure Based on Data Envelopment Analysis,2022,"International Journal of Service Science, Management, Engineering, and Technology",SCOPUS/UCH/VID,http://dx.doi.org/10.4018/IJSSMET.315583,10.4018/IJSSMET.315583
8,Barros O.,A Management and Enterprise Architecture Framework for Comprehensive Structure Design of Complex Services,2022,"International Journal of Service Science, Management, Engineering, and Technology",SCOPUS/UCH/VID,http://dx.doi.org/10.4018/IJSSMET.290335,10.4018/IJSSMET.290335
9,"Barros, O; Weber, R; Reveco, C",Demand analysis and capacity management for hospital emergencies using advanced forecasting models and stochastic simulation,2021,OPERATIONS RESEARCH PERSPECTIVES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.orp.2021.100208,10.1016/j.orp.2021.100208
10,"Barros, O; Riffo, R; Paredes, I",Improving service in an emergency department by designing the health production flow,2020,HEALTH SERVICES MANAGEMENT RESEARCH,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1177/0951484819860325,10.1177/0951484819860325
11,"Barros, O",A process architecture pattern and its application to designing health services: emergency case,2020,BUSINESS PROCESS MANAGEMENT JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1108/BPMJ-08-2018-0210,10.1108/BPMJ-08-2018-0210
12,Barros O; Seguel R; Quezada A.,A lightweight approach for designing enterprise architectures using BPMN: An application in hospitals,2011,Lecture Notes in Business Information Processing,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-642-25160-3_9,10.1007/978-3-642-25160-3_9
13,Barros O; Julio C.,Enterprise and process architecture patterns,2011,BUSINESS PROCESS MANAGEMENT JOURNAL,SCOPUS/UCH/VID,http://dx.doi.org/10.1108/14637151111149447,10.1108/14637151111149447
14,Barros O.,Business process patterns and frameworks: Reusing knowledge in process innovation,2007,BUSINESS PROCESS MANAGEMENT JOURNAL,SCOPUS/UCH/VID,http://dx.doi.org/10.1108/14637150710721122,10.1108/14637150710721122
15,"Barros, O",A novel approach to joint business and information system design,2005,JOURNAL OF COMPUTER INFORMATION SYSTEMS,SCOPUS/ISI/UCH/VID,,
16,"Bergoeing, R; Piguillem, F",Cooperatives versus traditional banks: the impact of their exclusion from the interbank market,2022,CEPAL REVIEW,ISI/UCH/VID,,
17,"Bergoeing, R; Loayza, NV; Piguillem, F",The Whole is Greater than the Sum of Its Parts: Complementary Reforms to Address Microeconomic Distortions,2016,WORLD BANK ECONOMIC REVIEW,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/wber/lhv052,10.1093/wber/lhv052
18,"Bergoeing R., Micco A., Repetto A.",Dissecting the Chilean export boom,2011,CEPAL REVIEW,SCOPUS/UCH/VID,,
19,"Bergoeing, R;Micco, A;Repetto, A",A look at the rise of Chilean exports,2011,CEPAL REVIEW,ISI/UCH/VID,,
20,"Bergoeing, R; Hernando, A; Repetto, A",MARKET REFORMS AND EFFICIENCY GAINS IN CHILE,2010,ESTUDIOS DE ECONOMIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-52862010000200004,10.4067/S0718-52862010000200004
21,"Bergoeing, Raphael; Repetto, Andrea",Micro Efficiency and Aggregate Growth in Chile,2006,Cuadernos de Economia - Latin American Journal of Economics,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-68212006000100006,10.4067/S0717-68212006000100006
22,"Bergoeing, R;Repetto, A;Edwards, S",Productivity dynamics,2004,JOURNAL OF DEVELOPMENT ECONOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jdeveco.2004.06.001,10.1016/j.jdeveco.2004.06.001
23,"Bergoeing, R;Kehoe, TJ;Strauss-Kahn, V;Yi, KM",Why is manufacturing trade rising even as manufacturing output is falling?,2004,AMERICAN ECONOMIC REVIEW,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1257/0002828041302299,10.1257/0002828041302299
24,"Bergoeing, R;Loayza, N;Repetto, A",Slow recoveries,2004,JOURNAL OF DEVELOPMENT ECONOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jdeveco.2004.06.007,10.1016/j.jdeveco.2004.06.007
