,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1201832,"Models and Algorithms for the identification of relevant substructures in metabolic, regulatory and genomic networks",01/08/2019,01/08/2019,V. Acuña,Centro de Modelamiento Matemático,FONDECYT,Regular
1,1191881,"Models and Algorithms for the identification of relevant substructures in metabolic, regulatory and genomic networks",01/08/2018,01/08/2018,V. Acuña,Centro de Modelamiento Matemático,FONDECYT,Regular
2,1181761,"Models and Algorithms for the identification of relevant substructures in metabolic, regulatory and genomic networks",01/07/2017,01/07/2017,V. Acuña,Centro de Modelamiento Matemático,FONDECYT,Regular
3,16-STIC-09,Methodological approaches investigated as accurately as possible for applications to biology,01/03/2016,01/03/2019,V. Acuña,Centro de Modelamiento Matemático,Cooperación Internacional: Multilateral y vinculación,Programa Regional TIC-AMSUD
4,1140631,Enumerating functional substructures in genome wide metabolic networks,01/03/2014,01/03/2018,V. Acuña,Centro de Modelamiento Matemático,FONDECYT,Regular
5,3130744,Development of graph-based and constrain-based methods to study the metabolic interaction of an intracellular bacteria and its environment,01/10/2012,01/10/2012,V. Acuña / M. González,Dirección,FONDECYT,Postdoctorado
6,3120226,Desarrollo de modelos matemáticos y algoritmos para la comprensión del diálogo metabólico entre bacteria y huésped.,01/03/2012,01/03/2012,V. Acuña / M. González,Dirección,FONDECYT,Postdoctorado
7,IT23I0019,Planificación Territorial de la Oferta Escolar Pública: Generando sustentabilidad y equidad para garantizar el derecho a la educación en Chile,01/04/2023,01/04/2023,"P. Rodríguez / J. Amaya, J. Valenzuela",Proyecto Investigación,FONDEF,IDEA
8,IT23I0045,"Sistema de asignación de horarios de asignaturas de programas universitarios
",01/04/2023,01/04/2023,"J. Soto / I. Rapaport, J. Amaya",Departamento de Ingeniería Matemática,FONDEF,IDEA
9,2022ACH-30,Exploración de modelos de optimización para mejorar la efectividad de la labor preventiva de los expertos en prevención de los OAL,01/09/2022,01/09/2024,J. Amaya,Departamento de Ingeniería Matemática,Proyectos de investigación e innovación en prevención de accidentes y enfermedades profesionales,Proyectos-Investigación
10,ID22I10199,Sistema de Monitoreo de Riesgo en Torno a Depósitos de Relaves,01/08/2022,01/08/2024,"J. Amaya / R. Gesche, J. Ortega, C. Ihle, G. Soto, J. Letelier",Departamento de Ingeniería Matemática,FONDEF,IDEA
11,ID21I10223,"Plataforma de Bioseguridad para la Salud Humana, Animal y Vegetal en un Escenario Global Cambiante",01/04/2021,01/04/2021,J. Amaya,Departamento de Ingeniería Matemática,FONDEF,IDEA
12,ID20I10136,"Sistema de Modelamiento Bioclimático y Fenológico para la Gestión del Riesgo en Bioseguridad Humana, Animal y Vegetal, con Escenarios Climáticos Actuales y Futuros",01/04/2020,01/04/2020,"J. Amaya / J. San Martín, N. Fiore, T. Curkovic",Departamento de Ingeniería Matemática,FONDEF,IDEA
13,COVID0257,"""Modelamiento matemático de conductas sociales ante crisis de origen natural""
",01/06/2020,01/06/2021,J. Amaya,Centro de Modelamiento Matemático,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
14,IT19I0100,Sistema Computacional y servicio de gestión de recursos humanos de conducción en transporte,01/11/2019,01/11/2019,J. Amaya,Departamento de Ingeniería Matemática,FONDEF,IDEA
15,ID19I10239,Sistema computacional y servicio de gestión de recursos humanos de conducción en transporte,01/04/2019,01/04/2019,J. Amaya / J. Ortega,Departamento de Ingeniería Matemática,FONDEF,IDEA
16,REDES180032,Stability of optimization and variational systems with applications to natural resources management,01/10/2018,01/10/2020,"H. Ramírez / R. Jofré, J. Amaya, A. Daniilidis",Centro de Modelamiento Matemático,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
17,1160572,Models and algorithms for mine planning under exposed ore requirements,01/06/2015,01/06/2015,J. Amaya,Centro de Modelamiento Matemático,FONDECYT,Regular
18,15VEIID-45609,"Modelamiento y optimización de recursos educacionales, MORE",01/06/2015,01/06/2017,J. Amaya,Departamento de Ingeniería Matemática,INNOVA,Innova
19,IT15I10085,Integración óptima de energía solar en la planificación y operación de sistemas de transporte público urbano ferroviario,01/03/2016,01/03/2018,J. Amaya,Departamento de Ingeniería Matemática,FONDEF,IDEA
20,IT14I10024,Modelamiento optimización de recursos educacionales-MORE,01/06/2014,01/06/2014,J. Amaya,Departamento de Ingeniería Matemática,FONDEF,IDEA
