,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Acuña V., de Lima L.I.S., Italiano G.F., Sciarria L.P., Sagot M.-F., Sinaimeri B.",A family of tree-based generators for bubbles in directed graphs,2021,Journal of Graph Algorithms and Applications,SCOPUS/UCH/VID,http://dx.doi.org/10.7155/JGAA.00572,10.7155/JGAA.00572
1,"Acuña V., Lima L., Italiano G.F., Pepè Sciarria L., Sagot M.-F., Sinaimeri B.",A Family of Tree-Based Generators for Bubbles in Directed Graphs,2020,Lecture Notes in Computer Science,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-030-48966-3_2,10.1007/978-3-030-48966-3_2
2,"Cortes, MP; Acuna, V; Travisany, D; Siegel, A; Maass, A; Latorre, M",Integration of Biological Networks forAcidithiobacillus thiooxidansDescribes a Modular Gene Regulatory Organization of Bioleaching Pathways,2020,FRONTIERS IN MOLECULAR BIOSCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmolb.2019.00155,10.3389/fmolb.2019.00155
3,"Acuña V., Grossi R., Italiano G.F., Lima L., Rizzi R., Sacomoto G., Sagot M.-F., Sinaimeri B.",On bubble generators in directed graphs,2017,Lecture Notes in Computer Science,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-319-68705-6_2,10.1007/978-3-319-68705-6_2
4,"Andrade, R; Wannagat, M; Klein, CC; Acuna, V; Marchetti-Spaccamela, A; Milreu, PV; Stougie, L; Sagot, MF",Enumeration of minimal stoichiometric precursor sets in metabolic networks,2016,ALGORITHMS FOR MOLECULAR BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s13015-016-0087-3,10.1186/s13015-016-0087-3
5,"Acuna, V; Aravena, A; Guziolowski, C; Eveillard, D; Siegel, A; Maass, A",Deciphering transcriptional regulations coordinating the response to environmental changes,2016,BMC BIOINFORMATICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12859-016-0885-0,10.1186/s12859-016-0885-0
6,"Acuña V., Aravena A., Maass A., Siegel A.",Modeling parsimonious putative regulatory networks: Complexity and heuristic approach,2014,Lecture Notes in Computer Science,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-642-54013-4_18,10.1007/978-3-642-54013-4_18
7,"Milreu, PV;Klein, CC;Cottret, L;Acuna, V;Birmele, E;Borassi, M;Junot, C;Marchetti-Spaccamela, A;Marino, A;Stougie, L;Jourdan, F;Crescenzi, P;Lacroix, V;Sagot, MF",Telling metabolic stories to explore metabolomics data: a case study on the yeast response to cadmium exposure,2014,BIOINFORMATICS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1093/bioinformatics/btt597,10.1093/bioinformatics/btt597
8,Freire A.S; Acuna V; Crescenzi P; Ferreira C.E; Lacroix V; Milreu P.V; Moreno E; Sagot M.-F.,Minimum ratio cover of matrix columns by extreme rays of its induced cone,2012,Lecture Notes in Computer Science,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-3-642-32147-4_16,10.1007/978-3-642-32147-4_16
9,Jourdan F;Sagot MF;Acuna V;Lacroix V;Stougie L;Birmele E;Marchetti-Spaccamela A;Cottret L;Marino A;Crescenzi P;Milreu PV,Telling stories: Enumerating maximal directed acyclic graphs with a constrained set of sources and targets,2012,THEORETICAL COMPUTER SCIENCE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.tcs.2012.07.023,10.1016/j.tcs.2012.07.023
