,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,3240675,Double Ordered-Transition Metal MXene and Multiferroic Based Lead-Free Flexible Nanocomposite for Hybrid Energy Harvesting and Sensing Applications,01/06/2023,01/06/2023,V. Aepuru,Departamento de Ingeniería Mecánica,FONDECYT,Postdoctorado
1,11240484,Hybrid Energy Harvesting Based 3D Printed Dielectric Nanocomposite for Nanogenerator Driven Self-powered Wearable Electronics,01/05/2023,01/05/2023,V. Aepuru,Departamento de Ingeniería Mecánica,FONDECYT,Iniciación en Investigación
2,1240926,Chiral BINOL-phosphoryl derivatives: Super Brønsted C-H acids as powerful catalysts for the enantioselective synthesis of biologically useful molecules,01/07/2023,01/07/2023,V. Aepuru,,FONDECYT,Regular
3,3240452,3D Printed Environmentally Friendly MXene-MOFs Using Cross-Linked Polypeptide Hydrogel Based Self-powered Nanogenerator for Wearable Electronics Applications,01/06/2023,01/06/2023,V. Aepuru,Departamento de Ingeniería Mecánica,FONDECYT,Postdoctorado
4,UI-017/23,Nanocompuesto dieléctrico impreso en 3D basado en la recolección de energía híbrida para dispositivos electrónicos portátiles autoalimentados impulsados por nanogeneradores,01/07/2023,01/07/2023,V. Aepuru,Departamento de Ingeniería Mecánica,Fondo Central de Investigación,U-INICIA
5,UI- 017/22,Desarrollo de nanoestructuras multifuncionales y nanocompuestos poliméricos flexibles para recolectores de energía integrados con supercondensadores híbridos autocargables,01/09/2022,01/09/2022,V. Aepuru,Departamento de Ingeniería Mecánica,Fondo Central de Investigación,U-INICIA
6,3240141,Understanding the role of hierarchical microstructure and crystallographic texture on mechanical and Corrosion behaviour of Biomedical Grade Titanium: Design and Develop by Severe Plastic Deformation,01/07/2023,01/07/2023,A. Akbarifakhrabadi,Departamento de Ingeniería Mecánica,FONDECYT,Postdoctorado
7,1240319,Thermo-mechanical aspects of BaFeO3 based perovskite ceramics for solid oxide cells,01/07/2023,01/07/2023,A. Akbarifakhrabadi / V. Meruane,Departamento de Ingeniería Mecánica,FONDECYT,Regular
8,1240011,Mathematical modelling of the some classes of electro-active materials,01/07/2023,01/07/2023,"R. Bustamante / A. Ortiz, A. Akbarifakhrabadi",Departamento de Ingeniería Mecánica,FONDECYT,Regular
9,3240421,"Perovskite Solar Cell Integrated with Mxenes Based photo Supercapacitor: Investigation of charge carrier dynamics, Design and Development of Self-Power Pack Energy Device",01/06/2023,01/06/2023,A. Akbarifakhrabadi,Departamento de Ingeniería Mecánica,FONDECYT,Postdoctorado
