,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,08PDTE-7374,"Difusión de tecnologías, aplicaciones y desafíos del Molibdeno para la industria e investigadores a nivel nacional",01/12/2008,01/12/2009,"L. Améstica / J. Quijada, F. Lund",Departamento de Ingeniería Química y Biotecnología,INNOVA,Innova Cluster Minero
1,I2491-8612,,31/12/1986,31/12/1988,L. Améstica,,CONCURSOS ESPECIFICOS DE INVESTIGACION,DTI
2,13220166,Development of enzymes from extremophiles for the degradation of plastics and potential generation of useful metabolites,01/12/2022,01/12/2025,J. Asenjo de Leuze / B. Andrews,"Departamento de Ingeniería Química, Biotecnología y Materiales",Fondecyt_Anid,Proyectos de Exploración
3,ID20I10182,Biofungicida basado en bacterias Streptomyces spp. provenientes del Desierto de Atacama para el tratamiento del hongo fitopatógeno Botrytis cinerea en frutales,01/04/2020,01/04/2020,B. Andrews / J. Asenjo de Leuze,"Departamento de Ingeniería Química, Biotecnología y Materiales",FONDEF,IDEA
4,ID18I10003,Diseño y Fabricación de un Dispositivo Electroquímico para la Desinfección de Aguas Naturalmente Contaminadas,01/04/2018,01/04/2018,M. Colet / B. Andrews,Departamento de Ingeniería Química y Biotecnología,FONDEF,IDEA
5,VIU18P0064,Producción de butanol a partir de residuos de algas en S. cerevisiae,01/09/2018,01/12/2018,B. Andrews,"Departamento de Ingeniería Química, Biotecnología y Materiales",FONDEF,VIU-etapa 1
6,ID17I10166,Desarrollo de un ingrediente enzimático para desbridamiento de heridas,01/05/2017,01/05/2017,B. Andrews / Ã. Olivera,Departamento de Ingeniería Química y Biotecnología,FONDEF,IDEA Bietapa
7,EQM160019,Incorporación de un Cromatógrafo líquido preparativo (CLP) para fortalecer una plataforma orientada a la purificación de proteínas y bioproductos,01/07/2016,01/07/2018,"J. Asenjo de Leuze / M. Lienqueo, B. Andrews, Ã. Olivera",Departamento de Ingeniería Química y Biotecnología,FONDEQUIP,Concurso de Equipamiento Científico
8,3150527,Ingeniería Genómica sobre genes Apoptóticos de Células CHO para la extensión de la duración de Cultivos y mejoras en su Productividad,01/11/2014,01/11/2014,B. Andrews,Departamento de Ingeniería Química y Biotecnología,FONDECYT,Postdoctorado
9,1141311,Integrative bioinformatic tools to accurately predict the effects of mutations in cancer-related proteins and to guide the design of rational protein engineering strategies,01/03/2014,01/03/2018,"Ã. Olivera / B. Andrews, J. Asenjo de Leuze",Departamento de Ingeniería Química y Biotecnología,FONDECYT,Regular
10,FB0001,Centro de Biotecnología y Bioingeniería,01/09/2014,01/09/2023,"J. Asenjo de Leuze / B. Andrews, M. Lienqueo, Ã. Olivera, G. Navarro, C. Conca",Departamento de Ingeniería Química y Biotecnología,Programa Financiamiento Basal,Basal
11,D08I1051,Vectores adenovirales para la terapia génica en el tratamiento del alcoholismo,01/12/2008,01/12/2011,"J. Asenjo de Leuze / B. Andrews, P. Caviedes",Departamento de Ingeniería Química y Biotecnología,FONDEF,Investigación y Desarrollo (I+D)
