,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Astakala, RV; Preet, G; Milne, BF; Tibyangye, J; Razmilic, V; Castro, JF; Asenjo, JA; Andrews, B; Ebel, R; Jaspars, M","Mutactimycin AP, a New Mutactimycin Isolated from an Actinobacteria from the Atacama Desert",2022,MOLECULES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/molecules27217185,10.3390/molecules27217185
1,"Jarmusch, SA; Feldmann, I; Blank-Landeshammer, B; Cortes-Albayay, C; Castro, JF; Andrews, B; Asenjo, JA; Sickmann, A; Ebel, R; Jaspars, M",Cutting the Gordian knot: early and complete amino acid sequence confirmation of class II lasso peptides by HCD fragmentation,2020,JOURNAL OF ANTIBIOTICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41429-020-00369-z,10.1038/s41429-020-00369-z
2,"Cortes-Albayay, C; Jarmusch, SA; Trusch, F; Ebel, R; Andrews, BA; Jaspars, M; Asenjo, JA",Downsizing Class II Lasso Peptides: Genome Mining-Guided Isolation of Huascopeptin Containing the First Gly1-Asp7 Macrocycle,2020,JOURNAL OF ORGANIC CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.joc.9b02231,10.1021/acs.joc.9b02231
3,"Contador, CA; Veas-Castillo, L; Tapia, E; Antipan, M; Miranda, N; Ruiz-Tagle, B; Garc?a-Araya, J; Andrews, BA; Marin, M; Dorador, C; Asenjo, JA",Atacama Database: a platform of the microbiome of the Atacama Desert,2020,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10482-019-01328-x,10.1007/s10482-019-01328-x
4,"Gomez-Escribano, JP; Castro, JF; Razmilic, V; Jarmusch, SA; Saalbach, G; Ebel, R; Jaspars, M; Andrews, B; Asenjo, JA; Bibb, MJ","Heterologous Expression of a Cryptic Gene Cluster from Streptomyces leeuwenhoekii C34(T) Yields a Novel Lasso Peptide, Leepeptin",2019,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1128/AEM.01752-19,10.1128/AEM.01752-19
5,"Castro, JF; Nouioui, I; Asenjo, JA; Andrews, B; Bull, AT; Goodfellow, M",New genus-specific primers for PCR identification of Rubrobacter strains,2019,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10482-019-01314-3,10.1007/s10482-019-01314-3
6,"Carro, L; Golinska, P; Nouioui, I; Bull, AT; Igual, JM; Andrews, BA; Klenk, HP; Goodfellow, M","Micromonospora acroterricola sp. nov., a novel actinobacterium isolated from a high altitude Atacama Desert soil",2019,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1099/ijsem.0.003634,10.1099/ijsem.0.003634
7,"Cortes-Abayay, C; Dorador, C; Schumann, P; Schniete, JK; Herron, P; Andrews, B; Asenjo, J; Nouioui, I","Streptomyces altiplanensis sp. nov., an alkalitolerant species isolated from Chilean Altiplano soil, and emended description of Streptomyces chryseus (Krasil'nikov et al. 1965) Pridham 1970",2019,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1099/ijsem.0.003525,10.1099/ijsem.0.003525
8,"Cortes-Abayay, C; Dorador, C; Schumann, P; Andrews, B; Asenjo, J; Nouioui, I","Streptomyces huasconensis sp. nov., an haloalkalitolerant actinobacterium isolated from a high altitude saline wetland at the Chilean Altiplano",2019,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1099/ijsem.0.003468,10.1099/ijsem.0.003468
9,"Cortes-Albayay, C; Silber, J; Imhoff, JF; Asenjo, JA; Andrews, B; Nouioui, I; Dorador, C","The Polyextreme Ecosystem, Salar de Huasco at the Chilean Altiplano of the Atacama Desert Houses Diverse Streptomyces spp. with Promising Pharmaceutical Potentials",2019,DIVERSITY-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/d11050069,10.3390/d11050069
