,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Saadati, F; Celis, S",Student Motivation in Learning Mathematics in Technical and Vocational Higher Education: Development of an Instrument,2023,INTERNATIONAL JOURNAL OF EDUCATION IN MATHEMATICS SCIENCE AND TECHNOLOGY ,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.46328/ijemst.2194,10.46328/ijemst.2194
1,"Hilliger, I; Aguirre, C; Miranda, C; Celis, S; Perez-Sanagustin, M",Lessons learned from designing a curriculum analytics tool for improving student learning and program quality,2022,JOURNAL OF COMPUTING IN HIGHER EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s12528-022-09315-4,10.1007/s12528-022-09315-4
2,"Santelices M.V., Celis S.",Introduction to the Special Issue: Student Experience in Latin American Higher Education,2022,EDUCATION POLICY ANALYSIS ARCHIVES,SCOPUS/UCH/VID,http://dx.doi.org/10.14507/epaa.30.7549,10.14507/epaa.30.7549
3,"Hilliger, I; Celis, S; Perez-Sanagustin, M",Engaged Versus Disengaged Teaching Staff: A Case Study of Continuous Curriculum Improvement in Higher Education,2022,HIGHER EDUCATION POLICY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1057/s41307-020-00196-9,10.1057/s41307-020-00196-9
4,"Celis, S; Veliz, D",A Decade of Chilean Graduate Program Accreditation: A Push for Internationalization and Issues of Multidisciplinarity,2022,HIGHER EDUCATION POLICY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1057/s41307-020-00198-7,10.1057/s41307-020-00198-7
5,Andrés Bernasconi; Paulina Berríos Cortés; Pamela Guzmán; Daniela Véliz; Sergio Celis,La profesión académica en Chile: perspectivas desde una encuesta internacional,2021,CALIDAD EN LA EDUCACION,/UCH/VID,http://dx.doi.org/10.31619/caledu.n54.923 ,10.31619/caledu.n54.923 
6,"Kim J., Celis S.",Women in STEM in Chilean Higher Education: Social movements and institutional transformations,2021,"Gender Equity in STEM in Higher Education: International Perspectives on Policy, Institutional Culture, and Individual Choice",SCOPUS/UCH/VID,,
7,"Suárez Salas, Francisco; Celis Guzmán, Sergio",Caracterización de la enseñanza de matemática en educación superior técnico profesional a través del estudio de las preguntas hechas por docentes en la sala de clases,2021,ESTUDIOS PEDAGOGICOS (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-07052021000200007,10.4067/S0718-07052021000200007
8,"Celis S., Guzmán-Valenzuela C.",Special issue: Internationalisation and the global South,2021,SOTL in the South,SCOPUS/UCH/VID,http://dx.doi.org/10.36615/SOTLS.V5I1.179,10.36615/SOTLS.V5I1.179
9,"Villaseñor T., Celis S., Queupil J.P., Pinto L., Rojas M.",The influence of early experiences and university environment for female students choosing geoscience programs: A case study at Universidad de Chile,2020,Advances in Geosciences,SCOPUS/UCH/VID,http://dx.doi.org/10.5194/adgeo-53-227-2020,10.5194/adgeo-53-227-2020
10,"Hilliger I., Aguirre C., Miranda C., Celis S., Pérez-Sanagustín M.",Design of a curriculum analytics tool to support continuous improvement processes in higher education,2020,ACM International Conference Proceeding Series,SCOPUS/UCH/VID,http://dx.doi.org/10.1145/3375462.3375489,10.1145/3375462.3375489
11,"Mathioudakis M., Castillo C., Barnabo G., Celis S.",Affirmative action policies for top-k candidates selection: With an application to the design of policies for university admissions,2020,Proceedings of the ACM Symposium on Applied Computing,SCOPUS/UCH/VID,http://dx.doi.org/10.1145/3341105.3373878,10.1145/3341105.3373878
12,"Zapata M.M.V., Celis S.",Emerging support systems for entrepreneurship education in the context of an ambitious national reform in Chilean engineering schools,2019,"ASEE Annual Conference and Exposition, Conference Proceedings",SCOPUS/UCH/VID,,
13,"Hilliger I., Celis S., Pérez-Sanagustín M., Baier J.",Work in progress: Engaging engineering teaching staff in continuous improvement process,2019,"ASEE Annual Conference and Exposition, Conference Proceedings",SCOPUS/UCH/VID,,
14,"Hilliger I., Miranda C., Celis S., Pérez-SanAgustín M.",Evaluating usage of an analytics tool to support continuous curriculum improvement,2019,CEUR Workshop Proceedings,SCOPUS/UCH/VID,,
15,"Celis S., López D., Silva J.",Analyzing the influence of online behaviors and learning approaches on academic performance in first year engineering,2019,CEUR Workshop Proceedings,SCOPUS/UCH/VID,,
16,"Droguett F., Celis S.",Influence of the institutional context on mathematics teachers' work in technical and vocational higher education in Chile,2018,ESTUDIOS PEDAGOGICOS (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0718-07052018000300235,10.4067/s0718-07052018000300235
17,"Celis S., Kim J.",The making of homophilic networks in international research collaborations: A global perspective from Chilean and Korean engineering,2018,RESEARCH POLICY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.respol.2018.01.001,10.1016/j.respol.2018.01.001
18,"Bernasconi A., Celis S.",Higher education reforms: Latin america in comparative perspective,2017,EDUCATION POLICY ANALYSIS ARCHIVES,SCOPUS/UCH/VID,http://dx.doi.org/10.14507/epaa.25.3240,10.14507/epaa.25.3240
19,"Huang-Saad, A; Celis, S",How Student Characteristics Shape Engineering Pathways to Entrepreneurship Education,2017,INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,ISI/SCOPUS/UCH/VID,,
20,"Celis S., Aguirre M.C.",Students against the odds: First-year engineering students' strategies for improving academic achievement,2016,"ASEE Annual Conference and Exposition, Conference Proceedings",SCOPUS/UCH/VID,,
21,"Celis S., Hilliger I.",Redesigning engineering education in Chile: How selective institutions respond to an ambitious national reform,2016,"ASEE Annual Conference and Exposition, Conference Proceedings",SCOPUS/UCH/VID,,
22,"Celis Guzmán, Sergio; Huang Saad, Aileen",Students seeking different paths to entrepreneurial education,2015,"ASEE Annual Conference and Exposition, Conference Proceedings",SCOPUS/UCH/VID,,
23,"Medina, CD; Herrera, RA; Beltran, JF",Constitutive model for superelastic shape memory alloys considering strength and stiffness degradation and residual strain: An empirical approach for engineering applications,2023,ENGINEERING STRUCTURES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.engstruct.2023.115810,10.1016/j.engstruct.2023.115810
