,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Leon, T; Lau, AYA; Easton, G; Goff, J",A comprehensive review of tsunami and palaeotsunami research in Chile,2023,EARTH-SCIENCE REVIEWS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.earscirev.2022.104273,10.1016/j.earscirev.2022.104273
1,"Goff, J; Borrero, J; Easton, G",In search of Holocene trans-Pacific palaeotsunamis,2022,EARTH-SCIENCE REVIEWS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.earscirev.2022.104194,10.1016/j.earscirev.2022.104194
2,"Contardo, JI; Curihuinca, MC; Vargas, GE; Tello, SP","Revealing the seismic risk in the piedemont of Santiago, Chile. Multi-criteria analysis for the determination of vulnerability in the San Ramon fault (FSR)",2022,REVISTA DE GEOGRAFIA NORTE GRANDE,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-34022022000100305,10.4067/S0718-34022022000100305
3,"Easton, G; Gonzalez-Alfaro, J; Villalobos, A; Alvarez, G; Melgar, D; Ruiz, S; Sepulveda, B; Escobar, M; Leon, T; Baez, JC; Izquierdo, T; Forch, M; Abad, M",Complex Rupture of the 2015 M-w 8.3 Illapel Earthquake and Prehistoric Events in the Central Chile Tsunami Gap,2022,SEISMOLOGICAL RESEARCH LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1785/0220210283,10.1785/0220210283
4,"Melo, V; Easton, G; Rebolledo, S","On the genesis of a massive Holocene rock avalanche deposit in the Yeso River catchment, Andes Cordillera of central Chile",2022,GEOMORPHOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.geomorph.2022.108214,10.1016/j.geomorph.2022.108214
5,"Ammirati, JB; Villasenor, A; Chevrot, S; Easton, G; Lehujeur, M; Ruiz, S; Flores, MC",Automated Earthquake Detection and Local Travel Time Tomography in the South-Central Andes (32-35 degrees S): Implications for Regional Tectonics,2022,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1029/2022JB024097,10.1029/2022JB024097
6,"Salazar, D; Easton, G; Goff, J; Guendon, JL; Gonzalez-Alfaro, J; Andrade, P; Villagran, X; Fuentes, M; Leon, T; Abad, M; Izquierdo, T; Power, X; Sitzia, L; Alvarez, G; Villalobos, A; Olguin, L; Yrarrazaval, S; Gonzalez, G; Flores, C; Borie, C; Castro, V; Campos, J",Did a 3800-year-old M-w similar to 9.5 earthquake trigger major social disruption in the Atacama Desert?,2022,SCIENCE ADVANCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1126/sciadv.abm2996,10.1126/sciadv.abm2996
7,"De Pascale, GP; Froude, M; Penna, I; Hermanns, RL; Sepulveda, SA; Moncada, D; Persico, M; Easton, G; Villalobos, A; Gutierrez, F","Liquine-Ofqui's fast slipping intra-volcanic arc crustal faulting above the subducted Chile Ridge (Mar, 10.1038/s41598-021-86413-w, 2021)",2021,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-021-03919-z,10.1038/s41598-021-03919-z
8,"Contardo, JI; Araya, PG; Vargas, GE; Tello, SP",RESILIENT URBAN DESIGN IN THE FOOTHILLS OF SANTIAGO? CONTRAST OF COMMUNAL SCENARIOS WITH SEISMIC RISK DUE TO THE SAN RAMON FAULT,2021,URBANO,SCOPUS/ESCI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.22320/07183607.2021.24.43.09,10.22320/07183607.2021.24.43.09
9,"De Pascale, GP; Froude, M; Penna, I; Hermanns, RL; Sepulveda, SA; Moncada, D; Persico, M; Easton, G; Villalobos, A; Gutierrez, F",Liquine-Ofqui's fast slipping intra-volcanic arc crustal faulting above the subducted Chile Ridge,2021,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-021-86413-w,10.1038/s41598-021-86413-w
10,"Munoz, P; Rebolledo, L; Dezileau, L; Maldonado, A; Mayr, C; Cardenas, P; Lange, CB; Lalangui, K; Sanchez, G; Salamanca, M; Araya, K; Jara, I; Easton, G; Ramos, M",Reconstructing past variations in environmental conditions and paleoproductivity over the last similar to 8000 years off north-central Chile (30 degrees S),2020,BIOGEOSCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5194/bg-17-5763-2020,10.5194/bg-17-5763-2020
11,"Villalobos, A; Easton, G; Maksymowicz, A; Ruiz, S; Lastras, G; De Pascale, GP; Agurto-Detzel, H","Active Faulting, Submarine Surface Rupture, and Seismic Migration Along the Liquine-Ofqui Fault System, Patagonian Andes",2020,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1029/2020JB019946,10.1029/2020JB019946
12,"Ammirati, JB; Vargas, G; Rebolledo, S; Abrahami, R; Potin, B; Leyton, F; Ruiz, S","The Crustal Seismicity of the Western Andean Thrust (Central Chile, 33 degrees-34 degrees S): Implications for Regional Tectonics and Seismic Hazard in the Santiago Area",2019,BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1785/0120190082,10.1785/0120190082
