,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Morales, C; Rojas, G; Rebolledo, C; Rojas-Herrera, M; Arias-Carrasco, R; Cuadros-Orellana, S; Maracaja-Coutinho, V; Saavedra, K; Leal, P; Lanas, F; Salazar, LA; Saavedra, N",Characterization of microbial communities from gut microbiota of hypercholesterolemic and control subjects,2022,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fcimb.2022.943609,10.3389/fcimb.2022.943609
1,"Lopez-Crisosto, C; Arias-Carrasco, R; Sepulveda, P; Garrido-Olivares, L; Maracaja-Coutinho, V; Verdejo, HE; Castro, PF; Lavandero, S",Novel molecular insights and public omics data in pulmonary hypertension,2021,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.bbadis.2021.166200,10.1016/j.bbadis.2021.166200
2,"Ramos T.A.R., Galindo N.R.O., Arias-Carrasco R., da Silva C.F., Maracaja-Coutinho V., do Rêgo T.G.",RNAmining: A machine learning stand-alone and web server tool for RNA coding potential prediction,2021,F1000Research,SCOPUS/UCH/VID,http://dx.doi.org/10.12688/f1000research.52350.2,10.12688/f1000research.52350.2
3,"Arias-Carrasco, R; Giddaluru, J; Cardozo, LE; Martins, F; Maracaja-Coutinho, V; Nakaya, HI",OUTBREAK: a user-friendly georeferencing online tool for disease surveillance,2021,BIOLOGICAL RESEARCH,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1186/s40659-021-00343-5,10.1186/s40659-021-00343-5
4,"Maracaja-Coutinho V., Arias-Carrasco R., Nakaya H.I., Aliaga-Tobar V.",Predicting RNA families in nucleotide sequences using StructRNAfinder,2019,Methods in Molecular Biology,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-1-4939-9173-0_2,10.1007/978-1-4939-9173-0_2
5,"Russo P.S.T., Ferreira G.R., Cardozo L.E., Bürger M.C., Arias-Carrasco R., Maruyama S.R., Hirata T.D.C., Lima D.S., Passos F.M., Fukutani K.F., Lever M., Silva J.S., Maracaja-Coutinho V., Nakaya H.I.",CEMiTool: A Bioconductor package for performing comprehensive modular co-expression analyses,2018,BMC BIOINFORMATICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12859-018-2053-1,10.1186/s12859-018-2053-1
6,"Matamala, JM; Arias-Carrasco, R; Sanchez, C; Uhrig, M; Bargsted, L; Matus, S; Maracaja-Coutinho, V; Abarzua, S; van Zundert, B; Verdugo, R; Manque, P; Hetz, C",Genome-wide circulating microRNA expression profiling reveals potential biomarkers for amyotrophic lateral sclerosis,2018,NEUROBIOLOGY OF AGING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.neurobiolaging.2017.12.020,10.1016/j.neurobiolaging.2017.12.020
7,"Amaral P.P., Leonardi T., Han N., Viré E., Gascoigne D.K., Arias-Carrasco R., Büscher M., Pandolfini L., Zhang A., Pluchino S., Maracaja-Coutinho V., Nakaya H.I., Hemberg M., Shiekhattar R., Enright A.J., Kouzarides T.",Genomic positional conservation identifies topological anchor point RNAs linked to developmental loci,2018,GENOME BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s13059-018-1405-5,10.1186/s13059-018-1405-5
8,"Huanca-Mamani, W; Arias-Carrasco, R; Cardenas-Ninasivincha, S; Rojas-Herrera, M; Sepulveda-Hermosilla, G; Caris-Maldonado, JC; Bastias, E; Maracaja-Coutinho, V",Long Non-Coding RNAs Responsive to Salt and Boron Stress in the Hyper-Arid Lluteno Maize from Atacama Desert,2018,GENES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3390/genes9030170,10.3390/genes9030170
9,"Rivera M., Mjaavatten A., Smith S.B., Baez M., Wilson C.A.M.",Temperature dependent mechanical unfolding and refolding of a protein studied by thermo-regulated optical tweezers,2023,BIOPHYSICAL JOURNAL,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.bpj.2022.12.034,10.1016/j.bpj.2022.12.034
10,"Aranguiz, O; Rivera, R; Durruty, P; Seelenfreund, D; Baez, M",A clinical mutation in glucokinase causing maturity-onset diabetes in the young type 2 increases enzyme activity,2022,FEBS LETTERS,/UCH/VID,http://dx.doi.org/10.1002/1873-3468.14561,10.1002/1873-3468.14561
