,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Arsenault-Escobar S., Fuentes-Galvez J.F., Orellana C., Bollo S., Sierra¿Rosales P., Miranda-Rojas S.","Unveiling the tartrazine binding mode with ds¿DNA by UV¿visible spectroscopy, electrochemical, and QM/MM methods",2023,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.saa.2023.122400,10.1016/j.saa.2023.122400
1,"Mujica, ML; Tamborelli, A; Vaschetti, VM; Espinoza, LC; Bollo, S; Dalmasso, PR; Rivas, GA",Two birds with one stone: integrating exfoliation and immunoaffinity properties in multi-walled carbon nanotubes by non-covalent functionalization with human immunoglobulin G,2023,MICROCHIMICA ACTA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00604-022-05630-w,10.1007/s00604-022-05630-w
2,"Brito, TP; Butto-Miranda, N; Neira-Carrillo, A; Bollo, S; Rufz-Leon, D",Synergistic Effect of Composite Nickel Phosphide Nanoparticles and Carbon Fiber on the Enhancement of Salivary Enzyme-Free Glucose Sensing,2023,BIOSENSORS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/bios13010049,10.3390/bios13010049
3,"Gallay, P; Mujica, ML; Bollo, S; Rivas, G",Genosensing Applications of Glassy Carbon Electrodes Modified with Multi-Walled Carbon Nanotubes Non-Covalently Functionalized with Polyarginine,2022,MICROMACHINES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/mi13111978,10.3390/mi13111978
4,"Rodríguez M.C., Dalmasso P., Rubianes M.D., Dragnic S.B., Gallay P., Mujica M.L., Montemerlo A., Perrachione F., Tamborelli L.A., Vaschetti V., Reartes D.F., Rivas G.A.",Carbon nanomaterials-based electrochemical cancer biomarkers biosensors,2022,"The Detection of Biomarkers: Past, Present, and the Future Prospects",SCOPUS/UCH/VID,http://dx.doi.org/10.1016/B978-0-12-822859-3.00020-1,10.1016/B978-0-12-822859-3.00020-1
5,"Mujica, ML; Sotomayor-Santander, I; Hermosilla-Ibanez, P; Oyarzun-Ampuero, F; Rodriguez, MC; Rivas, GA; Venegas-Yazigi, D; Bollo, S",MWCNT-organoimido Polyoxomolybdate Hybrid Material: Analytical Applications for Amperometric Sensing of Hydrogen Peroxide,2021,ELECTROANALYSIS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/elan.202100149,10.1002/elan.202100149
6,"Candia-Onfray, C; Bollo, S; Yanez, C; Escalona, N; Marco, JF; Menendez, N; Salazar, R; Recio, FJ",Nanostructured Fe-N-C pyrolyzed catalyst for the H2O2 electrochemical sensing,2021,ELECTROCHIMICA ACTA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.electacta.2021.138468,10.1016/j.electacta.2021.138468
7,"Baez, DF; Brito, TP; Espinoza, LC; Mendez-Torres, AM; Sierpe, R; Sierra-Rosales, P; Venegas, CJ; Yanez, C; Bollo, S",Graphene-based sensors for small molecule determination in real samples,2021,MICROCHEMICAL JOURNAL,ISI/UCH/VID,http://dx.doi.org/10.1016/j.microc.2021.106303,10.1016/j.microc.2021.106303
8,"Donoso-Gonzalez, O; Lodeiro, L; Aliaga, AE; Laguna-Bercero, MA; Bollo, S; Kogan, MJ; Yutronic, N; Sierpe, R",Functionalization of Gold Nanostars with Cationic beta-Cyclodextrin-Based Polymer for Drug Co-Loading and SERS Monitoring,2021,PHARMACEUTICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/pharmaceutics13020261,10.3390/pharmaceutics13020261
9,"Sierpe, R; Kogan, MJ; Bollo, S",Label-Free Oligonucleotide-Based SPR Biosensor for the Detection of the Gene Mutation Causing Prothrombin-Related Thrombophilia,2020,SENSORS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/s20216240,10.3390/s20216240
10,"Munoz-Becerra, K; Baez, DF; Zagal, JH; Bollo, S; Toro-Labb, A; Venegas, R; Recio, FJ",Reactivity descriptors for Cu bis-phenanthroline catalysts for the hydrogen peroxide reduction reaction,2020,ELECTROCHIMICA ACTA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.electacta.2020.136881,10.1016/j.electacta.2020.136881
11,"Mujica, ML; Gallay, PA; Perrachione, F; Montemerlo, AE; Tamborelli, LA; Vaschetti, VM; Reartes, DF; Bollo, S; Rodriguez, MC; Dalmasso, PR; Rubianes, MD; Rivas, GA",New trends in the development of electrochemical biosensors for the quantification of microRNAs,2020,JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jpba.2020.113478,10.1016/j.jpba.2020.113478
12,"Baez, DF; Ramos, G; Corvalan, A; Cordero, ML; Bollo, S; Kogan, MJ","Effects of preparation on catalytic, magnetic and hybrid micromotors on their functional features and application in gastric cancer biomarker detection",2020,SENSORS AND ACTUATORS B-CHEMICAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.snb.2020.127843,10.1016/j.snb.2020.127843
13,"Venegas, CJ; Gutierrez, FA; Eguilaz, M; Marco, JF; Reeves-McLaren, N; Rivas, GA; Ruiz-Leon, D; Bollo, S",Co2TiO4/Reduced Graphene Oxide Nanohybrids for Electrochemical Sensing Applications,2019,NANOMATERIALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/nano9111611,10.3390/nano9111611
