,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Valdebenito G., Parra-Melipan S., Dinamarca C.F., López V., Vega A., Abarca G., Aguirre P.",Hydrogenation of biomass derivate catalysed by ruthenium (II) complexes containing phosphorus-nitrogen ligands under mild conditions,2023,MOLECULAR CATALYSIS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.mcat.2023.113075,10.1016/j.mcat.2023.113075
1,"Aranda, Braulio; Valdebenito, Gonzalo; Parra-Melip, Sebastian; Lopez, Vicente; Moya, Sergio; Vega, Andres; Aguirre, Pedro",Hydrogenation of imines catalyzed by ruthenium(II) complexes containing phosphorus-nitrogen ligands via hydrogen transfer reaction,2022,MOLECULAR CATALYSIS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.mcat.2022.112374,10.1016/j.mcat.2022.112374
2,"Valdebenito, G; Parra-Melipan, S; Lopez, V; Aranda, B; Garcia, E; Vega, A; Negrete-Vergara, C; Moya, SA; Aguirre, P",Selective hydrogenation of furfural to furfuryl alcohol catalysed by ruthenium complexes containing phosphorus-nitrogen ligands,2021,APPLIED ORGANOMETALLIC CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/aoc.6382,10.1002/aoc.6382
3,"Parra-Melipan, S; Lopez, V; Moya, SA; Valdebenito, G; Aranda, B; Aguirre, P",Valorization of furfural using ruthenium (II) complexes containing phosphorus-nitrogen ligands under homogeneous transfer hydrogen condition,2021,MOLECULAR CATALYSIS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.mcat.2021.111729,10.1016/j.mcat.2021.111729
4,"Perez-Zuuiga, C; Negrete-Vergara, C; Ynnez, M; Aguirre, P; Zuniga, CA; Cantero-Lopez, P; Arratia-Perez, R; Moya, SA","Catalytic activity of a new Ru(ii) complex for the hydrogen transfer reaction of acetophenone and N-benzylideneaniline: synthesis, characterization and relativistic DFT approaches",2019,NEW JOURNAL OF CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1039/c8nj06250a,10.1039/c8nj06250a
5,"Aranda, B; Moya, SA; Vega, A; Valdebenito, G; Ramirez-Lopez, S; Aguirre, P",New palladium (II) complexes containing phosphine-nitrogen ligands and their use as catalysts in aminocarbonylation reaction,2019,APPLIED ORGANOMETALLIC CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/aoc.4709,10.1002/aoc.4709
6,"Perez-Zuniga, C; Negrete-Vergara, C; Guerchais, V; Le Bozec, H; Moya, SA; Aguirre, P",Hydrogenation of N-benzylideneaniline by palladium (II) catalysts with phosphorus-nitrogen ligands using formic acid as a renewable hydrogen source,2019,MOLECULAR CATALYSIS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.mcat.2018.07.020,10.1016/j.mcat.2018.07.020
7,"Gajardo, J; Araya, JC; Ibanez, A; Guerchais, V; Le Bozec, H; Moya, SA; Aguirre, P","Catalytic activity in transfer hydrogenation using ruthenium (II) carbonyl complexes containing two 1,8-naphthyridine as N-monodentate ligands",2019,INORGANICA CHIMICA ACTA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ica.2018.10.037,10.1016/j.ica.2018.10.037
8,"Guajardo, J; Ibanez, A; Guerchais, V; Vega, A; Moya, S; Aguirre, P","Ruthenium(II)-carbonyl complexes containing two N-monodentate 1,8-naphthyridine ligands: active catalysis in transfer hydrogenation reactions",2018,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1107/S2053229618014201,10.1107/S2053229618014201
9,"Moya, SA; Negrete-Vergara, C; Brown, K; Artigas, V; Fuentealba, M; Guerchais, V; Aguirre, P",Transfer hydrogenation of N-benzylideneaniline catalyzed by ruthenium complexes with pincer-type phosphorus nitrogen ligands using propan-2-ol as the hydrogen source,2017,CATALYSIS COMMUNICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.catcom.2017.04.026,10.1016/j.catcom.2017.04.026
