,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240555,A complete in situ and ex situ characterization of Langmuir-Blodgett films of poly(ionic liquid)s and evaluation of their performance on the kinetic behavior of Cr(VI) adsorption,01/07/2023,01/07/2023,X. Briones / G. Gunther,Departamento de Química Orgánica y Físico Química,FONDECYT,Regular
1,1240543,"Design and synthesis of polyelectrolytes for singlet molecular oxygen-mediated photooxidation with visible light, durable in the dark",01/07/2023,01/07/2023,"G. Gunther / X. Briones, J. Morales",Departamento de Química Orgánica y Físico Química,FONDECYT,Regular
2,1231743,A complete in situ and ex situ characterization of Langmuir-Blodgett films of poly(ionic liquid)s and evaluation of their performance on the kinetic behavior of Cr(VI) adsorption,01/08/2022,01/08/2022,X. Briones / G. Gunther,Departamento de Química Orgánica y Físico Química,FONDECYT,Regular
3,EQM200266,Análisis de rayos X a bajo ángulo (SAXS) para investigaciones de punta en la ciencia de noveles materiales; biomedicina y nanotecnología de proyección internacional,01/10/2020,01/04/2024,"E. Soto / M. Urzúa, L. Tamayo, X. Briones, F. Oyarzún, P. Robert, M. Yazdani-Pedram",Departamento de Química Orgánica y Físico Química,FONDEQUIP,Concurso de Equipamiento Científico
4,11190546,Thin films of poly(ionic liquids) containing amino acids for immobilization of Laccase an enzyme of environmental interest,01/10/2019,01/10/2022,X. Briones,Departamento de Química,FONDECYT,Iniciación en Investigación
5,SUBACAD03,Poli (líquidos iónicos): ampliando el conocimiento en el estudio de nuevos materiales poliméricos y sus aplicaiones en la química verde,01/10/2018,01/10/2018,X. Briones / M. Urzúa,Departamento de Química,Programa de Capital Humano Avanzado,Subvención a la Instalación en la Academia
6,11181309,Poly(ionic liquids) containing amino acids: Thin films and enzyme immobilization,01/05/2018,01/05/2018,X. Briones,Departamento de Química,FONDECYT,Iniciación en Investigación
7,1240555,A complete in situ and ex situ characterization of Langmuir-Blodgett films of poly(ionic liquid)s and evaluation of their performance on the kinetic behavior of Cr(VI) adsorption,01/07/2023,01/07/2023,X. Briones / G. Gunther,Departamento de Química Orgánica y Físico Química,FONDECYT,Regular
8,1240543,"Design and synthesis of polyelectrolytes for singlet molecular oxygen-mediated photooxidation with visible light, durable in the dark",01/07/2023,01/07/2023,"G. Gunther / X. Briones, J. Morales",Departamento de Química Orgánica y Físico Química,FONDECYT,Regular
9,1231743,A complete in situ and ex situ characterization of Langmuir-Blodgett films of poly(ionic liquid)s and evaluation of their performance on the kinetic behavior of Cr(VI) adsorption,01/08/2022,01/08/2022,X. Briones / G. Gunther,Departamento de Química Orgánica y Físico Química,FONDECYT,Regular
10,1230215,Development of Janus antioxidant nanoparticles as carriers for bioactive control release and efficient stabilizers of Food Emulsions,01/07/2022,01/07/2022,"J. Morales / G. Gunther, G. Díaz, P. Robert",Departamento de Ciencias y Tecnología Farmacéutica,FONDECYT,Regular
11,1221145,Food Pickering emulsion based on Janus antioxidant nanoparticles as stabilizers and carriers for bioactive control release,01/09/2021,01/09/2021,"J. Morales / P. Robert, G. Gunther",Departamento de Ciencias y Tecnología Farmacéutica,FONDECYT,Regular
12,3210140,Síntesis y caracterización de sondas fluorescentes hidrofílicas de relajación por entorno con potencial uso en microscopía,01/03/2021,01/03/2024,G. Gunther,Departamento de Química Orgánica y Físico Química,FONDECYT,Postdoctorado
13,1210094,Dual-functionalized Janus nanoparticles with antioxidants as carrier for drugs in skin,01/08/2020,01/08/2020,"J. Morales / G. Gunther, G. Díaz, C. Olea",Departamento de Ciencias y Tecnología Farmacéutica,FONDECYT,Regular
14,1210583,Supramolecular activatable photosensitizers for singlet oxygen generation using cucurbiturils and related acyclic containers: understanding the mechanism and their application in photodynamic therapy,01/03/2021,01/03/2025,G. Gunther,Universidad Católica de Chile,FONDECYT,Regular
