,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1220225,Natural sorbent phases in microextraction technologies; an efficient and green alternative in the modern analytical chemistry of emerging contaminants,01/04/2022,01/04/2026,P. Richter / A. Ahumada,Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
1,3210048,Estudio ambiental de antibióticos hospitalarios beta-lactamicos y no beta-lactamicos en aguas residuales y naturales mediante técnicas de micro extracción verdes,01/08/2020,01/08/2020,P. Richter,Departamento de Química Inorgánica y Analítica,FONDECYT,Postdoctorado
2,3190036,Desarrollo de estrategias analíticas miniaturizadas de preparación de muestras para la determinación de antibióticos quinolonas y sus complejos metálicos en matrices ambientales y biológicas utilizando las técnicas de UHPLC-TOF-MS y HPLC-ICP-MS,01/10/2018,01/10/2018,P. Richter,Departamento de Química Inorgánica y Analítica,FONDECYT,Postdoctorado
3,1180742,Analytical developments in sample preparation for isolation and multi-determination of biomarkers by chromatographic techniques coupled to mass spectrometry,01/03/2018,01/03/2022,P. Richter / A. Paredes,Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
4,1180920,Development of analytical methodologies for fluoroquinolones and pyrethroids determination at trace levels in milk samples based on photochemically induced fluorescence and multivariate calibration,01/08/2017,01/08/2017,"P. Richter, E. Fuentes",UCV. Inst. de Química,FONDECYT,Regular
5,EQM170141,"Fortalecimiento de la interdisciplinariedad en investigaciones de trazabilidad y especiación de elementos traza usando UHPLC-ICP- MS para el estudio de procesos químicos en Cc. de los Alimentos, Química Analítica y Ambiental, Cc.de la tierra y Minería",01/09/2017,01/09/2019,"P. Richter / J. Mc Phee, G. Montes, A. Garcia, P. Robert, F. Valenzuela, M. Caraballo",Departamento de Química Inorgánica y Analítica,FONDEQUIP,Concurso de Equipamiento Científico
6,U_MDRN_02,"Fortalecimiento de la interdisciplinariedad en investigaciones de trazabilidad y especiación de elementos traza usando UHPLC-ICP- MS para el estudio de procesos químicos en Cc. de los Alimentos, Química Analítica y Ambiental, Cc. de la Tierra y Minería",01/10/2017,01/10/2018,P. Richter,Departamento de Química Inorgánica y Analítica,Fondo Central de Investigación,U-MODERNIZA
7,3160563,Efecto de la adición de biochars sobre la movilidad de compuestos orgánicos de interés ambiental en suelos enmendados con biosólido y/o estiércol,01/06/2015,01/06/2015,P. Richter,Departamento de Química Inorgánica y Analítica,FONDECYT,Postdoctorado
8,1150088,The influence of non-classical nucleation processes in the formation of amorphous to nanocrystalline transitional phases in environmental aqueous solutions,01/03/2015,01/03/2015,M. Caraballo / P. Richter,Departamento de Ingeniería de Minas,FONDECYT,Regular
9,3150059,Nuevos avances en la extracción y determinación de compuestos disruptores endocrinos combinando la extracción por sorción en disco rotatorio y un equipo UHPLC-TOF-MS: una alternativa eficiente y sustentable para matrices simples y complejas,01/11/2014,01/11/2017,P. Richter,Departamento de Química Inorgánica y Analítica,FONDECYT,Postdoctorado
10,1150502,Assessment of persistence and fate of endocrine disrupting compounds in soils restored with manures and biosolid,01/03/2015,01/03/2018,"A. Ahumada / P. Richter, M. Ascar",Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
11,114-059,Persistence and fate of estrogenic hormones in soils restored with municipal biosolids or animal manures,01/03/2014,01/03/2014,"A. Ahumada / M. Ascar, P. Richter",Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
12,1140716,New developments in rotating-disk sorptive extraction: An efficient and green alternative for the sample preparation of simple and complex matrices,01/03/2014,01/03/2018,P. Richter / A. Ahumada,Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
13,EQM130119,"Fortalecimiento del la investigación interdisciplinaria a través de la adquisición de un UHPLC-MS-MS para el estudio de metabolitos en sistemas biológicos, antioxidantes en productos naturales, fármacos, contaminantes emergentes y alimentos",01/12/2013,01/12/2014,"C. Olea / H. Speisky, P. Robert, P. Richter, J. Maya",Departamento de Química Inorgánica y Analítica,FONDEQUIP,Concurso de Equipamiento Científico
14,ANM-19,Monitoreo y destino de fármacos y productos de cuidado personal en el medioambiente,01/01/2013,01/01/2013,"P. Richter / S. Bollo, A. Álvarez, C. Yáñez, J. Squella",Departamento de Química Inorgánica y Analítica,Iniciativa científica Milenio,Núcleos Milenio
15,3110110,Desarrollo de Métodos analíticos para la determinación de compuestos utilizados como filtros solares en muestras ambientales.,01/03/2011,01/03/2013,P. Richter,Departamento de Química Inorgánica y Analítica,FONDECYT,Postdoctorado
16,1110115,"Assessment of the effect of biosolid application to soils in relation to the total content and bioavailable fraction of trace metals, PCBs, and some broad-spectrum antimicrobial compounds",01/03/2011,01/03/2014,"A. Ahumada / P. Richter, M. Ascar",Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
17,1100103,Development of analytical methods for determination of drugs used in aquaculture and human health. Applications,01/03/2010,01/03/2014,P. Richter,Departamento de Química,FONDECYT,Regular
18,1100085,Development of new analytical methodologies based on sorbent extraction of organic pollutants  into rotating disk devices containing an active surface phase. Application in quantitative extraction and in bioaccesibility studies,01/03/2010,01/03/2014,P. Richter / A. Ahumada,Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
19,1080357,Aplicación de métodos biomiméticos para predecir biodisponibilidad de metales traza y contaminantes orgánicos en suelos tratados con biosolidos,01/03/2008,01/03/2011,"A. Ahumada / P. Richter, M. Ascar",Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
20,ALIM_IT1,Domeyko Alimentos: Acreditación de laboratorios analíticos de la Universidad de Chile bajo norma ISO 17025,01/03/2007,01/03/2010,"P. Richter, J. Montealegre, A. Bunger, M. Esterio, M. Hurtado, B. Suárez, C. Kremer, P. Oviedo, O. Seguel",Departamento de Ciencias Clínicas,Fondo Central de Investigación,Programa Domeyko
21,07CN13IAM-10,Fortalecimiento de la industria olivícola nacional: Tecnología de vanguardia para la detección de adulterantes/contaminantes y la caracterización de sabores y aromas,01/12/2007,01/12/2010,"P. Robert, N. Romero, J. Mendoza, P. Richter","Escuela de Química, Farmacia y Bioquímica",INNOVA,Innova
22,1070616,Desarrollo y aplicación de estratégias analíticas innovadoras para la preparación de muestras ambientales y de alimentos,01/03/2007,01/03/2010,P. Richter,Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
23,1070905,Desarrollo de métodos en continuo para la determinación de cationes inorgánicos utilizando un sensor fotométrico y de métodos para compuestos orgánicos en fase líquida. Aplicaciones.,01/03/2007,01/03/2010,P. Richter,Departamento de Química,FONDECYT,Regular
24,001,Evaluación de los niveles de 1-hidroxipireno en muestras biológicas como biomarcador de la exposición a HPAs en niveles ocupacionales y no ocupacionales,01/12/2006,01/12/2006,P. Richter,Departamento de Química Inorgánica y Analítica,CONICYT/MINSAL,FONIS-Proyectos I&D
25,MULT 06/31-2,Desarrollo y validación de métodos analíticos y estudios de depleción de fluoroquinolonas en huevos de consumo: Primer estudio nacional considerando las normativas internacionales de inocuidad alimentaria vigente,01/12/2006,01/12/2008,"P. Richter, D. Iraguen",Departamento de Ciencias Clínicas,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
26,1060042,"Desarrollo de nuevos métodos analíticos para la determinación de compuestos orgánicos y/o inorgánicos por diferentes modalidades de espectrofotometría  derivada digital
",01/03/2006,01/03/2006,P. Richter,Departamento de Química,FONDECYT,Regular
27,1050288,Extractabilidad de contaminantes orgánicos y metales traza en suelos agrícolas enmendados con biosólidos y su relación con su ecotoxicidad,01/03/2005,01/03/2008,"A. Ahumada / M. Ascar, P. Richter",Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
28,1030005,Desarrollo de metodologías eficientes y rapidas para el pretratamiento de muestras ambientales y determinación de contaminantes inórganicos y orgánicos.,01/03/2003,01/03/2007,P. Richter,Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
29,1020692,Desarrollo de nuevos métodos en batch y/o continuo para la determinación de compuestos orgánicos e inórganicos por espectrofotometría derivada en fase líquida y/o sólida,01/03/2002,01/03/2006,P. Richter,Departamento de Química,FONDECYT,Regular
30,1000757,Desarrollo de métodos de screening como una herramienta analítica de rápida respuesta ante la presencia de contaminantes inorgánicos y orgánicos matrices medio ambientales,01/03/2000,01/03/2003,P. Richter,Departamento de Química Inorgánica y Analítica,FONDECYT,Regular
31,1990033,Desarrollo de nuevos métodos por espectrofotometría derivada en fase líquida y/o sólida.,01/03/1999,01/03/2002,P. Richter,Departamento de Química,FONDECYT,Regular
32,1970466,Procesos analíticos involucrando sistemas continuos de análisis. Aplicaciones analíticas,01/03/1997,01/03/2000,P. Richter,Departamento de Química,FONDECYT,Regular
33,1961024,Desarrollo de métodos para determinaciones simultaneas de especies inorgánicas y orgánicas por espectrofotometria derivada,01/03/1996,01/03/1999,P. Richter,Departamento de Química,FONDECYT,Regular
34,1961025,Automatización de etapas previas de procesos analíticos utilizando sistemas continuos de análisis y (bio) sensores de flujo.  Aplicación a la monitorización de parámetros de interés medio ambiental,01/03/1996,01/03/1996,P. Richter / S. Copaja,Departamento de Química,FONDECYT,Regular
35,063-1995,Desarrollo de métodos para la determinación simultánea de analitos en mezclas por espectrofotometría derivada y/o técnicas electroquímicas,01/03/1995,01/03/1995,P. Richter,Departamento de Química,FONDECYT,Regular
36,067-1995,Automatización de etapas preliminares de procesos analíticos basada en el análisis por inyección en flujo y (bio)sensores de flujo continuo. Aplicación a la monitorización de parámetros de interés medioambiental,01/03/1995,01/03/1995,P. Richter / S. Copaja,Departamento de Química,FONDECYT,Regular
