,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Palacios, E; Lobos-Gonzalez, L; Guerrero, S; Kogan, MJ; Shao, BH; Heinecke, JW; Quest, AFG; Leyton, L; Valenzuela-Valderrama, M",Helicobacterpylori outer membrane vesicles induce astrocyte reactivity through nuclear factor-Kappa B activation and cause neuronal damage in vivo in a murine model,2023,JOURNAL OF NEUROINFLAMMATION,ISI/UCH/VID,http://dx.doi.org/10.1186/s12974-023-02728-7,10.1186/s12974-023-02728-7
1,"Diaz-Vesga, MC; Flores-Vergara, R; Riquelme, JA; Llancaqueo, M; Sanchez, G; Vergara, C; Michea, L; Donoso, P; Quest, AFG; Olmedo, I; Pedrozo, Z",Polycystin-1 Is a Crucial Regulator of BIN1 Expression and T-Tubule Remodeling Associated with the Development of Dilated Cardiomyopathy,2023,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms24010667,10.3390/ijms24010667
2,"Sanhueza, S; Simon, L; Cifuentes, M; Quest, AFG",The Adipocyte-Macrophage Relationship in Cancer: A Potential Target for Antioxidant Therapy,2023,ANTIOXIDANTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/antiox12010126,10.3390/antiox12010126
3,"Perez-Nunez, R; Chamorro, A; Gonzalez, MF; Contreras, P; Artigas, R; Corvalan, AH; van Zundert, B; Reyes, C; Moya, PR; Avalos, AM; Schneider, P; Quest, AFG; Leyton, L",Protein kinase B (AKT) upregulation and Thy-1-alpha(v)beta(3) integrin-induced phosphorylation of Connexin43 by activated AKT in astrogliosis,2023,JOURNAL OF NEUROINFLAMMATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12974-022-02677-7,10.1186/s12974-022-02677-7
4,"Gonzalez, MF; Burgos-Ravanal, R; Shao, BH; Heinecke, J; Valenzuela-Valderrama, M; Corvalan, AH; Quest, AFG",Extracellular vesicles from gastric epithelial GES-1 cells infected with Helicobacter pylori promote changes in recipient cells associated with malignancy,2022,FRONTIERS IN ONCOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fonc.2022.962920,10.3389/fonc.2022.962920
5,"Perez, LA; Leon, J; Lopez, J; Rojas, D; Reyes, M; Contreras, P; Quest, AFG; Escudero, C; Leyton, L",The GPI-Anchored Protein Thy-1/CD90 Promotes Wound Healing upon Injury to the Skin by Enhancing Skin Perfusion,2022,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms232012539,10.3390/ijms232012539
6,"Leyton, L; Diaz, J; Quest, AF",Neuron-astrocyte communication: Astroyctic beta 3 integrin controls life and death decisions in neurons,2022,FEBS OPEN BIO,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/2211-5463.13442,10.1002/2211-5463.13442
7,"Lobos-Gonzalez, L; Orostica, L; Natalia, D; Rojas, VM; Campos, A; Farfan, N; Silva, V; Maldonado, H; Leyton, L; Quest, AF","Exposure to the pro-inflammatory prostaglandin E2 disrupts E-cadherin/Caveolin1-mediated tumor suppression to favor Caveolin-1 enhanced migration, invasion and metastasis of melanoma cells",2022,FEBS OPEN BIO,ISI/UCH/VID,http://dx.doi.org/10.1002/2211-5463.13440,10.1002/2211-5463.13440
8,"Diaz-Valdivia, N; Simon, L; Diaz, J; Martinez-Meza, S; Contreras, P; Burgos-Ravanal, R; Perez, VI; Frei, B; Leyton, L; Quest, AFG","Mitochondrial Dysfunction and the Glycolytic Switch Induced by Caveolin-1 Phosphorylation Promote Cancer Cell Migration, Invasion, and Metastasis",2022,CANCERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/cancers14122862,10.3390/cancers14122862
9,"Soto, C; Rojas, V; Yanez, L; Hidalgo, A; Olivera, M; Pacheco, M; Venegas, D; Salinas, D; Bravo, D; Quest, AFG",Porphyromonas gingivalis-Helicobacter pylori co-incubation enhances Porphyromonas gingivalis virulence and increases migration of infected human oral keratinocytes,2022,JOURNAL OF ORAL MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/20002297.2022.2107691,10.1080/20002297.2022.2107691
