,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1211417,"Estudio longitudinal de las interacciones educativas de docentes que se especializan en la enseñanza de la matemática y sus estudiantes de segundo ciclo básico, desde la perspectiva del cuarteto de conocimientos",01/03/2021,01/03/2025,"C. Miranda / L. Cubillos, J. Assael, R. Abarca",Departamento de Educación,FONDECYT,Regular
1,1181772,"Interacciones educativas entre docentes que se especializan en la enseñanza de las matemática y las ciencias y sus estudiantes, desde la perspectiva del conocimiento didáctico del contenido",01/03/2018,01/03/2021,"C. Miranda / R. Abarca, J. Assael",Departamento de Educación,FONDECYT,Regular
2,1170549,Significados sobre el desarrollo profesional docente: un análisis desde la perspectiva de los actores involucrados ,01/09/2016,01/09/2016,"C. Miranda / J. Gysling, R. Abarca, J. Assael",Departamento de Educación,FONDECYT,Regular
3,3150168,Prácticas institucionales y dinámicas subjetivas: Estudio de trayectorias biográficas de mujeres que han experimentado violencia de género en la pareja usuarias de programas públicos,01/11/2014,01/11/2014,S. Arensburg / R. Aceituno,Departamento de Psicología,FONDECYT,Postdoctorado
4,3150134,"Malestar adolescente en Chile, 1938-2006",01/11/2014,01/11/2014,R. Aceituno,Departamento de Psicología,FONDECYT,Postdoctorado
5,CREA-1-3,La resurrección de los muertos,01/01/2014,01/07/2015,"E. Matthey / A. Menard, R. Aceituno, M. Facuse, R. Zúñiga, F. Galende, I. Agüero",Departamento de Artes Visuales,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
6,C13H01,Clínica y Sociedad: Procesos de Exclusión y subjetivación Chile / Francia,01/02/2014,01/02/2017,R. Aceituno,Departamento de Psicología,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/ECOS-Francia
7,1130331,El trabajo del terapeuta en la clínica de lo extremo,01/03/2013,01/03/2013,"R. Aceituno / C. Radiszcz, S. Arensburg, M. Reyes, P. Cabrera",Departamento de Psicología,FONDECYT,Regular
8,FONDAP2013-06,Interdisciplinary center for democracy and conflict,01/12/2014,01/12/2014,"M. Canales / J. Simonetti, P. Ruiz-Tagle, I. Piper, S. Montecino, M. Garretón, R. Atria, A. Corvalán, M. Urrutia, F. Soto, A. Menard, R. Cornejo, F. Zúñiga, R. Aceituno, C. Radiszcz, B. Bustos, S. Millaleo, E. Aliste, P. Artaza",Departamento de Sociología,FONDAP,Programa FONDAP
9,INTERD-1-2,"Políticas del sujeto: Malestar en la cultura, salud mental y vida cotidiana en Chile",01/08/2012,01/07/2014,"R. Baño / C. Radiszcz, R. Zúñiga, R. Aceituno, M. Canales, S. Rojas, P. Cabrera, M. Sanfuentes, F. Sanfuentes, S. Arensburg",Departamento de Psicología,Iniciativa Bicentenario Juan Gómez Millas,Fondo de investigación
