,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,PYT-2018-0125,Observatorio de parásitos gastro intestinales y pulmonares para la gestión de la adaptación al cambio climático de la ganadería basada en praderas,01/12/2017,01/12/2021,"F. Fredes / L. Hervé, S. Urcelay",Otras Instituciones,Fundación para la Innovación Agraria-FIA,FIA-proyectos
1,3170142,Infectious disease transmission models for the national swine population,01/08/2016,01/08/2016,S. Urcelay,Departamento de Medicina Preventiva Animal,FONDECYT,Postdoctorado
2,3160800,"Evaluación de riesgos de resistencia a los antimicrobianos transmitida por carnes de aves, cerdos y bovinos, en Chile",01/06/2015,01/06/2015,S. Urcelay,Departamento de Ciencias Clínicas,FONDECYT,Postdoctorado
3,1080208,Análisis eco-epidemiológico de los agentes patógenos presentes en peces de la cuenca del río Valdivia y su asociación con los sistemas de cultivos intensivos,01/03/2008,01/03/2008,S. Urcelay,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
4,UCH0609,Fortalecimiento de la capacidad de gestión académica para el aseguramiento de la calidad en el pregrado y postgrado de la Universidad de Chile,01/09/2007,01/12/2009,S. Urcelay / R. Devés,Departamento de Postgrado,MECESUP,MECESUP
5,1040394,"Estudio patológico y epidemiológico del ""Sindrome Ictérico del Salmon Coho"" y su asociación con Piscirickettsiosis (SRC)",01/03/2004,01/03/2007,"P. Smith / J. Larenas, S. Urcelay",Departamento de Patología Animal,FONDECYT,Regular
6,3000060,"Epidemología y economía de enfermedades respiratorias en sistemas productivos porcinos intensivos en Chile
",01/03/2000,01/03/2000,S. Urcelay,Escuela de Postgrado,FONDECYT,Postdoctorado
7,020-1995,Epidemiología de la yersiniosis: prevalencia en diferentes especies animales y alimentos. I estudio de potencialidad patogénica,01/03/1995,01/03/1995,"C. Borie / P. Oviedo, S. Urcelay",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
8,AP-006,Reintroducción de la alpaca (Lama pacos) como alternativa pecuaria en zonas áridas de Chile,01/12/1991,01/12/1991,"L. Raggi / S. Urcelay, C. Köbrich, M. Maino, V. Parraguez",Departamento de Fomento de la Producción Animal,FONDEF Investigación y Desarrollo,Fondef I-ID
9,A2417-8825,,31/12/1986,31/12/1991,S. Urcelay,,CONCURSOS ESPECIFICOS DE INVESTIGACION,DTI
10,ID23I10397,GenoMax-SRS: A genome-based tool to maximize genetic improvement of resistance to salmon rickettsial syndrome (Piscirickettsia salmonis) in rainbow trout (Oncorhynchus mykiss),01/12/2022,01/12/2022,J. Yáñez / R. Neira,Departamento de Producción Animal,FONDEF,IDEA
