,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Alegria-Moran, R; Lazo, A; Urcelay, S; Hamilton-West, C",Using spatial tools for high impact zoonotic agent surveillance design in backyard production systems in central Chile,2017,VETERINARIA MEXICO,ISI/SCIELO-otros paises /SCOPUS/UCH/VID,http://dx.doi.org/10.21753/vmoa.4.1.435,10.21753/vmoa.4.1.435
1,"Alegria, R; Arriagada, G; Urcelay, S; Hamilton-West, C","Cross-sectional study to investigate the presence of salmon pancreas disease virus in wild and feral fish populations in 10 lakes, Los Lagos Region, Chile",2015,JOURNAL OF FISH DISEASES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/jfd.12217,10.1111/jfd.12217
2,"Hamilton-West, C;Arriagada, G;Yatabe, T;Valdes, P;Herve-Claude, LP;Urcelay, S",Epidemiological description of the sea lice (Caligus rogercresseyi) situation in southern Chile in August 2007,2012,PREVENTIVE VETERINARY MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.prevetmed.2011.12.002,10.1016/j.prevetmed.2011.12.002
3,"Hamilton-West, C;Rojas, H;Pinto, J;Orozco, J;Herve-Claude, LP;Urcelay, S",Characterization of backyard poultry production systems and disease risk in the central zone of Chile,2012,RESEARCH IN VETERINARY SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.rvsc.2011.06.015,10.1016/j.rvsc.2011.06.015
4,"Iraguen, D ; Urcelay, S ; Martin, BS",Pharmacovigilance in veterinary medicine in Chile: a pilot study,2011,JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/j.1365-2885.2010.01201.x,10.1111/j.1365-2885.2010.01201.x
5,"Yatabe, T ; Arriagada, G ; Hamilton-West, C ; Urcelay, S","Risk factor analysis for sea lice, Caligus rogercresseyi, levels in farmed salmonids in southern Chile",2011,JOURNAL OF FISH DISEASES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/j.1365-2761.2011.01238.x,10.1111/j.1365-2761.2011.01238.x
6," Urcelay, SP ",Veterinary epidemiology in Latin America,2009,PREVENTIVE VETERINARY MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.prevetmed.2009.09.005,10.1016/j.prevetmed.2009.09.005
7,"Iragueen, D ; Urcelay, S ; Martina, BS",Pharmacovigilance in veterinary medicine: an international perspective and the current situation in Chile,2007,ARCHIVOS DE MEDICINA VETERINARIA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0301-732X2007000300002,10.4067/S0301-732X2007000300002
8,"Urcelay, S; Pinto, J","Plenary sessions of the tenth symposium of the International Society for Veterinary Epidemiology and Economics (ISVEE), Vinal del Mar, Chile, November 2003 - Preface",2005,PREVENTIVE VETERINARY MEDICINE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.prevetmed.2004.11.006,10.1016/j.prevetmed.2004.11.006
9,"Pinto, CJ;Urcelay, VS",Biosecurity practices on intensive pig production systems in Chile,2003,PREVENTIVE VETERINARY MEDICINE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/S0167-5877(03)00074-6,10.1016/S0167-5877(03)00074-6
10,"Xuereb, A; Nahuelpi, RM; Normandeau, E; Babin, C; Laporte, M; Mallet, A; Yanez, JM; Mallet, M; Bernatchez, L",Design and validation of a high-density single nucleotide polymorphism array for the Eastern oyster (Crassostrea virginica),2023,G3-GENES GENOMES GENETICS,ISI/UCH/VID,http://dx.doi.org/10.1093/g3journal/jkad071,10.1093/g3journal/jkad071
11,"Yáñez J.M., Barría A., López M.E., Moen T., Garcia B.F., Yoshida G.M., Xu P.",Genome-wide association and genomic selection in aquaculture,2023,REVIEWS IN AQUACULTURE,SCOPUS/UCH/VID,http://dx.doi.org/10.1111/raq.12750,10.1111/raq.12750
12,"Shen, XY; Yanez, JM; Gomes, GB; Poon, ZWJ; Foster, D; Alarcon, JF; Domingos, JA",Comparative gonad transcriptome analysis in cobia (Rachycentron canadum),2023,FRONTIERS IN GENETICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fgene.2023.1128943,10.3389/fgene.2023.1128943
13,"Rondeau, EB; Christensen, KA; Minkley, DR; Leong, JS; Chan, MTT; Despins, CA; Mueller, A; Sakhrani, D; Biagi, CA; Rougemont, Q; Normandeau, E; Jones, SJM; Devlin, RH; Withler, RE; Beacham, TD; Naish, KA; Yanez, JM; Neira, R; Bernatchez, L; Davidson, WS; Koop, BF",Population-size history inferences from the coho salmon (Oncorhynchus kisutch) genome,2023,G3-GENES GENOMES GENETICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/g3journal/jkad033,10.1093/g3journal/jkad033
14,"Lira, LVG; Mastrochirico, VA; Mendes, NJ; Ariede, RB; Yanez, JM; Hashimoto, DT",Genome-wide association study of host resistance to the ectoparasite Ichthyophthirius multifiliis in the Amazon fish Colossoma macropomum,2023,MOLECULAR BIOLOGY REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11033-022-08062-0,10.1007/s11033-022-08062-0
15,"Sanchez-Roncancio, C; Garcia, B; Gallardo-Hidalgo, J; Yanez, JM",GWAS on Imputed Whole-Genome Sequence Variants Reveal Genes Associated with Resistance to Piscirickettsia salmonis in Rainbow Trout (Oncorhynchus mykiss),2023,GENES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/genes14010114,10.3390/genes14010114
16,"Medrano-Mendoza, T; Garcia, BF; Caballero-Zamora, A; Yanez, JM; Montoya-Rodriguez, L; Quintana-Casares, JC; Duran-Aguilar, M; Campos-Montes, GR","Genetic diversity, population structure, linkage disequilibrium and GWAS for resistance to WSSV in Pacific white shrimp (Litopenaeus vannamei) using a 50K SNP chip",2023,AQUACULTURE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.aquaculture.2022.738835,10.1016/j.aquaculture.2022.738835
17,"Marin-Nahuelpi, R; Yanez, JM; Musleh, SS; Canas-Rojas, D; Quintanilla, JC; Contreras-Lynch, S; Gajardo, G; Sepulveda, M; Harrod, C; Gomez-Uchida, D","Genetic structure and origin of non-native, free-living Atlantic salmon Salmo salar along a latitudinal gradient in Chile, South America",2022,AQUACULTURE ENVIRONMENT INTERACTIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3354/aei00444,10.3354/aei00444
18,"Montesinos J.A., Serrano E., Tantaleán V.M., Yañez J., Flores R.","Ultra-structural characterization of Diplostomum sp metacercarian in Orestias luteus from Lake Titicaca, Peru",2022,Revista Veterinaria,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.30972/vet.3326184,10.30972/vet.3326184
19,"Canales-Aguirre, CB; Larson, WA; McKinney, GJ; Claure, CE; Rocha, JD; Ceballos, SG; Cadiz, MI; Yanez, JM; Gomez-Uchida, D",Neutral and adaptive loci reveal fine-scale population structure in Eleginops maclovinus from north Patagonia,2022,ECOLOGY AND EVOLUTION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/ece3.9343,10.1002/ece3.9343
20,"Mukiibi, R; Penaloza, C; Gutierrez, A; Yanez, JM; Houston, RD; Robledo, D",The impact of Piscirickettsia salmonis infection on genome-wide DNA methylation profile in Atlantic Salmon,2022,GENOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ygeno.2022.110503,10.1016/j.ygeno.2022.110503
21,"Ariede R.B., Freitas M.V., Lira L.V.G., Agudelo J.F.G., Borges C.H.S., Mastrochirico-Filho V.A., Cáceres P., Yáñez J.M., Hashimoto D.T.",Linkage map for chromosome-level genome anchoring and genome-wide association study for resistance to Aeromonas hydrophila in Colossoma macropomum,2022,AQUACULTURE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.aquaculture.2022.738462,10.1016/j.aquaculture.2022.738462
22,"Yoshida, GM; Yanez, JM",Increased accuracy of genomic predictions for growth under chronic thermal stress in rainbow trout by prioritizing variants from GWAS using imputed sequence data,2022,EVOLUTIONARY APPLICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/eva.13240,10.1111/eva.13240
23,"Lasalle, A; Caceres, P; Montenegro, T; Araneda, C; Yanez, J; Vizziano-Cantonnet, D",Development of a dense SNP panel for the Siberian sturgeon (Acipenser baerii) using high-depth RAD-seq,2022,CONSERVATION GENETICS RESOURCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s12686-021-01246-z,10.1007/s12686-021-01246-z
24,"Yanez, JM; Xu, P; Carvalheiro, R; Hayes, B",Genomics applied to livestock and aquaculture breeding,2022,EVOLUTIONARY APPLICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/eva.13378,10.1111/eva.13378
25,"Tapia, D; Eissler, Y; Reyes-Lopez, FE; Kuznar, J; Yanez, JM",Infectious pancreatic necrosis virus in salmonids: Molecular epidemiology and host response to infection,2022,REVIEWS IN AQUACULTURE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/raq.12623,10.1111/raq.12623
26,"Tapia, D; Kuznar, J; Farlora, R; Yanez, JM",Differential Transcriptomic Response of Rainbow Trout to Infection with Two Strains of IPNV,2022,VIRUSES-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/v14010021,10.3390/v14010021
27,"Garcia, BF; Yoshida, GM; Carvalheiro, R; Yanez, JM",Accuracy of genotype imputation to whole genome sequencing level using different populations of Nile tilapia,2022,AQUACULTURE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.aquaculture.2022.737947,10.1016/j.aquaculture.2022.737947
28,"Fraslin, C; Yanez, JM; Robledo, D; Houston, RD",The impact of genetic relationship between training and validation populations on genomic prediction accuracy in Atlantic salmon,2022,AQUACULTURE REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.aqrep.2022.101033,10.1016/j.aqrep.2022.101033
29,"Gonzalez, C; Gallardo-Hidalgo, J; Yanez, JM",Genotype-by-environment interaction for growth in seawater and freshwater in Atlantic salmon (Salmo salar),2022,AQUACULTURE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.aquaculture.2021.737674,10.1016/j.aquaculture.2021.737674
30,"Ramirez, C; Gutierrez, MS; Venegas, L; Sapag, C; Araya, C; Caruffo, M; Lopez, P; Reyes-Jara, A; Toro, M; Gonzalez-Rocha, G; Yanez, JM; Navarrete, P",Microbiota composition and susceptibility to florfenicol and oxytetracycline of bacterial isolates from mussels (Mytilus spp.) reared on different years and distance from salmon farms,2022,ENVIRONMENTAL RESEARCH,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.envres.2021.112068,10.1016/j.envres.2021.112068
31,"Mastrochirico, VA; Ariede, RB; Freitas, MV; Borges, CHS; Lira, LVG; Mendes, NJ; Agudelo, JFG; Caceres, P; Berrocal, MHM; Sucerquia, GAL; Porto-Foresti, F; Yanez, JM; Hashimoto, DT",Development of a multi-species SNP array for serrasalmid fish Colossoma macropomum and Piaractus mesopotamicus,2021,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-021-98885-x,10.1038/s41598-021-98885-x
32,"Cadiz, MI; Lopez, ME; Diaz-Dominguez, D; Caceres, G; Marin-Nahuelpi, R; Gomez-Uchida, D; Canales-Aguirre, CB; Orozco-terWengel, P; Yanez, JM",Detection of selection signatures in the genome of a farmed population of anadromous rainbow trout (Oncorhynchus mykiss),2021,GENOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ygeno.2021.07.027,10.1016/j.ygeno.2021.07.027
33,"Garcia, BF; Bonaguro, A; Araya, C; Carvalheiro, R; Yanez, JM",Application of a novel 50K SNP genotyping array to assess the genetic diversity and linkage disequilibrium in a farmed Pacific white shrimp (Litopenaeus vannamei) population,2021,AQUACULTURE REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.aqrep.2021.100691,10.1016/j.aqrep.2021.100691
34,"Caceres, P; Barria, A; Christensen, KA; Bassini, LN; Correa, K; Garcia, B; Lhorente, JP; Yanez, JM",Genome-scale comparative analysis for host resistance against sea lice between Atlantic salmon and rainbow trout,2021,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-021-92425-3,10.1038/s41598-021-92425-3
35,"Lopez, ME; Cadiz, MI; Rondeau, EB; Koop, BF; Yanez, JM",Detection of selection signatures in farmed coho salmon (Oncorhynchus kisutch) using dense genome-wide information,2021,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-021-86154-w,10.1038/s41598-021-86154-w
36,"Borie-Polanco, C; Galarce-Galvez, N; Yevenes-Coa, K; Yanez-Lopez, JM; Robeson-Camus, J; Carbonero-Martinez, A",Reducing Salmonella enterica serovar Enteritidis contamination in food: lytic bacteriophages in a homemade mayonnaise-like matrix,2021,REVISTA COLOMBIANA DE CIENCIAS PECUARIAS,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.17533/udea.rccp.v34n3a05,10.17533/udea.rccp.v34n3a05
37,"Moraleda, CP; Robledo, D; Gutierrez, AP; del-Pozo, J; Yanez, JM; Houston, RD",Investigating mechanisms underlying genetic resistance to Salmon Rickettsial Syndrome in Atlantic salmon using RNA sequencing,2021,BMC GENOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12864-021-07443-2,10.1186/s12864-021-07443-2
38,"Yoshida, GM; Yanez, JM",Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,2021,BMC GENOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12864-020-07341-z,10.1186/s12864-020-07341-z
39,"Gallardo-Hidalgo J., Barría A., Yoshida G.M., Yáñéz J.M.",Genetics of growth and survival under chronic heat stress and trade-offs with growth- and robustness-related traits in rainbow trout,2021,AQUACULTURE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.aquaculture.2020.735685,10.1016/j.aquaculture.2020.735685
40,"Yanez, JM; Joshi, R; Yoshida, GM",Genomics to accelerate genetic improvement in tilapia,2020,ANIMAL GENETICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/age.12989,10.1111/age.12989
41,"Mastrochirico, VA; Borges, CHS; Freitas, MV; Ariede, RB; Pilarski, F; Utsunomia, R; Carvalheiro, R; Gutierrez, AP; Penaloza, C; Yanez, JM; Houston, RD; Hashimoto, DT",Development of a SNP linkage map and genome-wide association study for resistance to Aeromonas hydrophila in pacu (Piaractus mesopotamicus),2020,BMC GENOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12864-020-07090-z,10.1186/s12864-020-07090-z
42,"Caruffo, M; Mandakovic, D; Mejias, M; Chavez-Baez, I; Salgado, P; Ortiz, D; Montt, L; Perez-Valenzuela, J; Vera-Tamargo, F; Yanez, JM; Wacyk, J; Pulgar, R",Pharmacological iron-chelation as an assisted nutritional immunity strategy against Piscirickettsia salmonis infection,2020,VETERINARY RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s13567-020-00845-2,10.1186/s13567-020-00845-2
43,"Cadiz, MI; Lopez, ME; Diaz-Dominguez, D; Caceres, G; Yoshida, GM; Gomez-Uchida, D; Yanez, JM",Whole genome re-sequencing reveals recent signatures of selection in three strains of farmed Nile tilapia (Oreochromis niloticus),2020,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-020-68064-5,10.1038/s41598-020-68064-5
44,"Ventura R.V., E Silva F.F., Yáñez J.M., Brito L.F.",Opportunities and challenges of phenomics applied to livestock and aquaculture breeding in South America,2020,ANIMAL FRONTIERS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1093/af/vfaa008,10.1093/af/vfaa008
45,"Yoshida, GM; Caceres, P; Marin-Nahuelpi, R; Koop, B; Yanez, JM",Estimates of Autozygosity Through Runs of Homozygosity in Farmed Coho Salmon,2020,GENES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/genes11050490,10.3390/genes11050490
46,"Naval-Sanchez, M; McWilliam, S; Evans, B; Yanez, JM; Houston, RD; Kijas, JW",Changed Patterns of Genomic Variation Following Recent Domestication: Selection Sweeps in Farmed Atlantic Salmon,2020,FRONTIERS IN GENETICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fgene.2020.00264,10.3389/fgene.2020.00264
