,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1211345,Effect of controlled-charged and distribution of electrospun polymer fiber meshes as template on in vitro crystallization of calcium carbonate and calcium oxalate,01/03/2021,01/03/2025,"A. Neira / J. Arias, M. Fernández, M. Yazdani-Pedram",Departamento de Ciencias Biológicas Animales,FONDECYT,Regular
1,EQM180073,Adquisición de un Microscopio Electrónico de Barrido de Emisión de Campo FEG-SEM de Ultra Alta Resolución (UHR) con tecnología TriglavTM para la investigación avanzada: Desde los Minerales a la Ciencia de Materiales,01/07/2018,01/07/2018,"A. Neira / J. Yáñez, J. Morales, C. Briceño, M. Yazdani-Pedram, P. Caviedes, J. Arias, M. Díaz, V. Neira, S. Lavandero",Departamento de Ciencias Biológicas Animales,FONDEQUIP,Concurso de Equipamiento Científico
2,1180734,Chemically functionalized eggshell membranes as templates for designning biomaterials,01/03/2018,01/03/2021,"J. Arias / J. Arias, M. Fernández, E. Kessi, A. Neira",Departamento de Ciencias Biológicas Animales,FONDECYT,Regular
3,EQM170002,Fortalecimiento de una Unidad de Microscopía y Microanálisis de Superficie de Materiales No-conductores en el Campus Sur (UMMS),01/09/2017,01/09/2017,"M. Fernández / A. Neira, J. Arias",Departamento de Ciencias Biológicas Animales,FONDEQUIP,Concurso de Equipamiento Científico
4,1171520,Polymer-controlled biomineralization using electrospun fibers as template through electrospinning,01/04/2017,01/04/2021,"A. Neira / J. Arias, M. Fernández, M. Yazdani-Pedram",Departamento de Ciencias Biológicas Animales,FONDECYT,Regular
5,EQM16SC_01,Fortalecimiento de una Unidad de Microscopía y Microanálisis de Superficie de Materiales No-conductores en el Campus Sur (UMMS),01/06/2017,01/06/2017,J. Arias,Departamento de Ciencias Biológicas Animales,FONDEQUIP,Concurso de Equipamiento Científico
6,3160728,Functionalization of natural fibrillar membranes for the design and development of new materials and devices: The case of eggshell membranes,01/06/2015,01/06/2015,J. Arias,Departamento de Ciencias Biológicas Animales,FONDECYT,Postdoctorado
7,1150681,Avian Eggshell as a Natural Template for Bio-inspired Synthesis of New Materials,01/03/2015,01/03/2018,"J. Arias / M. Fernández, A. Neira",Departamento de Ciencias Biológicas Animales,FONDECYT,Regular
8,3150339,Development of multifunctional composite materials based on PDLLA foams with metal doped bioactive glass nanoparticles for bone regeneration applications,01/11/2014,01/11/2014,J. Arias,Departamento de Ciencias Biológicas Animales,FONDECYT,Postdoctorado
9,1140660,Hierarchical hybrid polumeric materials for understanding classical and non-classical crystallizations and their applications,01/03/2014,01/03/2017,"A. Neira / M. Fernández, J. Arias, M. Yazdani-Pedram",Departamento de Ciencias Biológicas Animales,FONDECYT,Regular
10,EQM-13028,Microscopio electrónico de barrido de sobremesa y microanálisis químico elemental (SEM-EDS),01/12/2013,01/12/2013,"A. Neira / F. Oyarzún, M. Kogan, J. Arias, M. Urzúa, L. Saenz, S. Bucarey, P. Cabané, C. Díaz, G. González, M. Yazdani-Pedram, M. Fernández, C. Valenzuela",Departamento de Ciencias Biológicas Animales,FONDEQUIP,Concurso de Equipamiento Científico
11,2012-039,Rol of charged polysaccharides on calcium carbonate nanocrystalline nucleation and growth,01/03/2013,01/03/2015,J. Arias,Departamento de Ciencias Biológicas Animales,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/DAAD-Alemania
12,ANM-14,"Instituto milenio de investigación, desarrollo e innovación en materiales para biomedicina: MATBIOMED",01/01/2013,01/01/2013,"P. Caviedes / H. Palza, J. Arias, J. Rodríguez, F. Lund",Programa de Farmacología Molecular y Clínica,Iniciativa científica Milenio,Institutos Milenios
