,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Kessi, E; Arias, JL",Recombinant Camel Chymosin Effectively Acts on Milk Coagulation after Immobilization on Eggshell Membranes,2021,ACS FOOD SCIENCE & TECHNOLOGY,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1021/acsfoodscitech.1c00407,10.1021/acsfoodscitech.1c00407
1,"Arias, JL; Silva, K; Neira-Carrillo, A; Ortiz, L; Arias, JI; Butto, N; Fernandez, MS",Polycarboxylated Eggshell Membrane Scaffold as Template for Calcium Carbonate Mineralization,2020,CRYSTALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/cryst10090797,10.3390/cryst10090797
2,"Sepulveda, F; Butto, N; Arias, JL; Yazdani-Pedram, M; Szewczyk, PK; Gruszczynski, A; Stachewicz, U; Neira-Carrillo, A",Effect of Porous and Nonporous Polycaprolactone Fiber Meshes on CaCO3 Crystallization Through a Gas Diffusion Method,2020,CRYSTAL GROWTH & DESIGN,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.cgd.0c00803,10.1021/acs.cgd.0c00803
3,"Duran, E; Churio, O; Arias, JL; Neira-Carrillo, A; Valenzuela, C",Preparation and characterization of novel edible matrices based on alginate and whey for oral delivery of iron,2020,FOOD HYDROCOLLOIDS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.foodhyd.2019.105277,10.1016/j.foodhyd.2019.105277
4,"Kessi, E; Arias, JL",Using Natural Waste Material as a Matrix for the Immobilization of Enzymes: Chicken Eggshell Membrane Powder for -Galactosidase Immobilization,2019,APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s12010-018-2805-4,10.1007/s12010-018-2805-4
5,"Arias, JL; Matthei, A; Valenzuela, C",Exploratory and descriptive study on nutritional characteristics and quality of eggs from Chilean partridge (Nothoprocta perdicaria),2018,ANIMAL SCIENCE JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/asj.12900,10.1111/asj.12900
6,"Rao, A; Arias, JL; Colfen, H",On Mineral Retrosynthesis of a Complex Biogenic Scaffold,2017,INORGANICS,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.3390/inorganics5010016,10.3390/inorganics5010016
7,"Neira-Carrillo, A; Fernandez, MS; Hevia, GP; Arias, JL; Gebauer, D; Colfen, H",Retrosynthesis of CaCO3 via amorphous precursor particles using gastroliths of the Red Claw lobster (Cherax quadricarinatus),2017,JOURNAL OF STRUCTURAL BIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jsb.2017.05.004,10.1016/j.jsb.2017.05.004
8,"Fernandez, MS; Valenzuela, F; Arias, JI; Neira-Carrillo, A; Arias, JL",Is the snail shell repair process really influenced by eggshell membrane as a template of foreign scaffold?,2016,JOURNAL OF STRUCTURAL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jsb.2016.10.001,10.1016/j.jsb.2016.10.001
9,"Luquet, G; Dauphin, Y; Percot, A; Salome, M; Ziegler, A; Fernandez, MS; Arias, JL","Calcium Deposits in the Crayfish, Cherax quadricarinatus: Microstructure Versus Elemental Distribution",2016,MICROSCOPY AND MICROANALYSIS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S1431927615015767,10.1017/S1431927615015767
10,"Rao, A;Vasquez-Quitral, P;Fernandez, MS;Berg, JK;Sanchez, M;Drechsler, M;Neira-Carrillo, A;Arias, JL;Gebauer, D;Colfen, H",pH-Dependent Schemes of Calcium Carbonate Formation in the Presence of Alginates,2016,CRYSTAL GROWTH & DESIGN,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1021/acs.cgd.5b01488,10.1021/acs.cgd.5b01488
11,"Fernandez, MS; Arias, JI; Neira-Carrillo, A; Arias, JL",Austromegabalanus psittacus barnacle shell structure and proteoglycan localization and functionality,2015,JOURNAL OF STRUCTURAL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jsb.2015.08.005,10.1016/j.jsb.2015.08.005
12,"Beato, C; Fernandez, MS; Fermani, S; Reggi, M; Neira-Carrillo, A; Rao, A; Falini, G; Arias, JL",Calcium carbonate crystallization in tailored constrained environments,2015,CRYSTENGCOMM,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1039/c5ce00783f,10.1039/c5ce00783f
13,"Gonzalez, A; Valck, C; Sanchez, G; Hartel, S; Mansilla, J; Ramirez, G; Fernandez, MS; Arias, JL; Galanti, N; Ferreira, A",Trypanosoma cruzi Calreticulin Topographical Variations in Parasites Infecting Murine Macrophages,2015,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4269/ajtmh.14-0497,10.4269/ajtmh.14-0497
14,"Rao, A; Fernandez, MS; Colfen, H; Arias, JL",Distinct Effects of Avian Egg Derived Anionic Proteoglycans on the Early Stages of Calcium Carbonate Mineralization,2015,CRYSTAL GROWTH & DESIGN,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1021/acs.cgd.5b00342,10.1021/acs.cgd.5b00342
15,"Neira-Carrillo, A; Luengo-Ponce, F; Vasquez-Quitral, P; Yazdani-Pedram, M; Fernandez, MS; Colfen, H; Arias, JL",Sulfonated Polymethylsiloxane as an Additive for Selective Calcium Oxalate Crystallization,2015,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/ejic.201402063,10.1002/ejic.201402063
16,"Luquet G., Fernández M.S., Badou A., Guichard N., Le Roy N., Corneillat M., Alcaraz G., Arias J.L.","Comparative ultrastructure and carbohydrate composition of gastroliths from astacidae, cambaridae and parastacidae freshwater crayfish (Crustacea, Decapoda)",2013,BIOMOLECULES,SCOPUS/UCH/VID,http://dx.doi.org/10.3390/biom3010018,10.3390/biom3010018
17,Vasquez-Quitral P;Diaz MP;Fernandez MS;Arias JL;Neira-Carrillo A;Yazdani-Pedram M,Control of calcium carbonate crystallization by using anionic polymethylsiloxanes as templates,2012,JOURNAL OF SOLID STATE CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jssc.2012.05.039,10.1016/j.jssc.2012.05.039
