,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,PYT-2007-0020,Evaluación del desempeño de perros de montaña de los Pirineos como protectores de rebaños ovejeros en la precordillera de la Región Metropolitana,01/12/2007,01/12/2014,"P. Pérez / S. Anticevic, A. Valdés",Departamento de Fomento de la Producción Animal,Fundación para la Innovación Agraria-FIA,FIA-proyectos
1,MULT 06/03-2,Primer estudio de resistencia de Staphylococcus intermedius y Staphylococcus aureus a antimicrobanos de uso común en perros y humanos de la Región Metropolitana,01/12/2006,01/12/2008,"L. Muñoz / S. Anticevic, C. Borie",Departamento de Ciencias Clínicas,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
2,1180734,Chemically functionalized eggshell membranes as templates for designning biomaterials,01/03/2018,01/03/2021,"J. Arias / J. Arias, M. Fernández, E. Kessi, A. Neira",Departamento de Ciencias Biológicas Animales,FONDECYT,Regular
3,1170051,Preparation and evaluation of multiphasic nanocomposite scaffold biomaterials with odontogenic properties for dentin-pulp tissue regeneration,01/08/2016,01/08/2016,"C. Covarrubias / J. Arias, J. Mardones, A. Von Marttens, A. Escobar",Departamento de Ciencias Físicas y Químicas,FONDECYT,Regular
4,1161214,"Role of 27-hydroxycholesterol, an oxysterol derived from cholesterol, as a possible novel modulator of antitumor drug resistance in canine mammary cancer",01/06/2015,01/06/2015,C. Torres / J. Arias,Departamento de Ciencias Clínicas,FONDECYT,Regular
5,1151205,27-hydroxycholesterol and cancer stem-like cells: a possible link between obesity and canine mammary cancer,01/03/2015,01/03/2015,C. Torres / J. Arias,Departamento de Ciencias Clínicas,FONDECYT,Regular
6,EQUIP-06/2014,Adquisición de un SEM-EDS en el marco de la una Red de Polímeros de la Universidad de Chile para el análisis de nanoestructuras con aplicaciones de interés en áreas prioritarias país,01/12/2014,01/12/2014,"A. Neira / M. Urzúa, C. Valenzuela, F. Oyarzún, J. Arias, J. Morales",Departamento de Ciencias Biológicas Animales,FONDEQUIP,Concurso de Equipamiento Científico
7,URED-2014-002,Plataforma Polimérica Para el Desarrollo de Soluciones Tecnológicas (POLYFORMS),01/12/2014,01/12/2016,"A. Neira / M. Urzúa, C. Valenzuela, F. Oyarzún, J. Morales, J. Arias",Departamento de Ciencias Biológicas Animales,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
8,11130257,Modulatory Activities of Recombinant Trypanosoma cruzi Calreticulin on Normal and Diabetic Skin Wound Healing,01/11/2013,01/11/2016,J. Arias,Departamento de Ciencias Clínicas,FONDECYT,Iniciación en Investigación
9,11121406,"The Trypanosoma cruzi calreticulin ability to promote skin wound healing in healing-deficient models, resides in a specific functional domain",01/10/2012,01/10/2012,J. Arias,Departamento de Ciencias Clínicas,FONDECYT,Iniciación en Investigación
10,ANM-55,Núcleo milenio de tecnología de polímeros para aplicaciones biomédicas (TPAB),01/01/2013,01/01/2013,"A. Neira / J. Arias, M. Fernández, M. Yazdani-Pedram, C. Díaz, P. Cabané, J. Arias",Departamento de Química Orgánica y Físico Química,Iniciativa científica Milenio,Núcleos Milenio
11,UINICIA-2011-8057,Uso de células madre adultas derivadas de tejido adiposo suplementada con Calreticulina como posible modulador de la cicatrización de heridas,01/12/2011,01/12/2013,J. Arias,Departamento de Ciencias Clínicas,Fondo Central de Investigación,U-INICIA
