,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,IT15I10006,Evaluación y validación tecnológica de una vacuna polivalente de subunidad contra mastitis bovina,01/03/2016,01/03/2018,"M. Maino / M. Duchens, L. Saenz, L. Lapierre",Departamento de Fomento de la Producción Animal,FONDEF,IDEA
1,PYT-2012-0055,Desarrollo y Trasferencia Tecnológica de una Vacuna Polivalente contra Mastitis Bovina,01/07/2012,01/06/2015,"L. Saenz / M. Maino, P. Retamal, L. Lapierre, M. Duchens",Departamento de Ciencias Biológicas Animales,Fundación para la Innovación Agraria-FIA,FIA-proyectos
2,1020976,Estudio in vitro de gametos caninos y su relacion con la fecundacion in vitro,01/06/2002,01/06/2002,"M. de los Reyes / M. Duchens, L. Saenz",Departamento de Fomento de la Producción Animal,FONDECYT,Regular
3,1240661,"Low-protein diets in broiler chickens: Effect on gut amino acid sensing, chronic stress and affective state, and learning strategies to promote amino acid selection",01/07/2023,01/07/2023,S. Guzmán / D. Luna,Departamento de Fomento de la Producción Animal,FONDECYT,Regular
4,ID22I10030,Optimización sensorial y funcional de ingredientes alimentarios basados en insectos para desarrollar snacks funcionales y palatables para mascotas,01/08/2022,01/08/2024,"C. Valenzuela / F. Oyarzún, S. Guzmán, P. Retamal, J. Wacyk",Departamento de Fomento de la Producción Animal,FONDEF,IDEA
5,13220116,"Obesity in dogs: sedentary lifestyle, poor nutrition and chronic stress. Looking for a return to natural feeding behavior",01/09/2022,01/09/2022,S. Guzmán,Otras Instituciones,Fondecyt_Anid,Proyectos de Exploración
6,1190534,Anhedonia in Pigs. How stress affects hedonic reactions during consumption,01/08/2018,01/08/2018,S. Guzmán,Facultad de Agronomía e Ingeniería Forestal,FONDECYT,Regular
7,11190569,A behavioral and molecular approach for studying amino acid preferences in broiler chickens in deficiency states,01/10/2019,01/10/2022,S. Guzmán,Departamento de Fomento de la Producción Animal,FONDECYT,Iniciación en Investigación
8,1190451,Escenario actual del estado de nutrición de hierro de cerdos destetados en Chile e impacto de la encapsulación del hierro dextrano como estrategia de suplementación,01/08/2018,01/08/2018,"C. Valenzuela / L. Saenz, V. Neira, S. Guzmán",Departamento de Fomento de la Producción Animal,FONDECYT,Regular
9,UI-010/19,A behavioral and molecular approach for studying amino acid preferences in broiler chickens in deficiency states,01/10/2019,01/10/2021,S. Guzmán,Departamento de Fomento de la Producción Animal,Fondo Central de Investigación,U-INICIA
10,UI_2018_17,Regulación del consumo de alimento en especies productivas no rumiantes: apuntando a sabores preferidos en cerdos y aves,01/07/2018,01/07/2018,S. Guzmán,Departamento de Fomento de la Producción Animal,Fondo Central de Investigación,U-INICIA
11,REDI170573,"Investigación en nutrición y conducta alimentaria de cerdos transpacífico: Fomentando la colaboración entre la Universidad de Chile, Universidad Católica y The University of Queensland (Australia)",01/11/2017,01/05/2019,S. Guzmán / C. Valenzuela,Departamento de Fomento de la Producción Animal,Cooperación Internacional: Multilateral y vinculación,Apoyo A La Formación De Redes Internacionales_Inicial
12,3170293,Influencia de la nutrición pre y postnatal sobre la conducta alimentaria y rendimiento productivo de cerdos postdestete ,01/04/2017,01/04/2019,S. Guzmán / C. Valenzuela,Departamento de Fomento de la Producción Animal,FONDECYT,Postdoctorado
13,40008914-0,Transferencia Gestión del Conocimiento Innovador Regional,01/10/2018,01/10/2020,C. Köbrich,Departamento de Fomento de la Producción Animal,Fondos de Innovación para la Competitividad,GORE O'Higgins
14,30418979-0,Programa de desarrollo del sector ovino regional,01/12/2015,01/12/2018,C. Köbrich,Departamento de Fomento de la Producción Animal,Fondos de Innovación para la Competitividad,GORE O'Higgins
15,D11I1010,"Mejoramiento del estado sanitario avícola de Chile a través del establecimiento de estrategias de diagnóstico, prevención y control de enfermedades de interés nacional en sistemas de producción no industrializados",01/06/2011,01/06/2011,C. Köbrich,Departamento de Fomento de la Producción Animal,FONDEF,Investigación y Desarrollo (I+D)
16,ED15/038,Métodos de evaluación científica del bienestar animal,01/12/2010,01/12/2011,C. Köbrich,Departamento de Fomento de la Producción Animal,Explora,Divulgación y Valoración de CTI
17,08DCT-1784,Programa de fortalecimiento del capital humano y el capital social del cluster ganadero de la Región de Aysén,01/12/2008,01/06/2010,"M. Maino, C. Köbrich",INACAP,INNOVA,Capacidades Regionales
18,RUE32,Integration of animal welfare in the food quality chain: from public concern to improved welfare and transparent quality,01/12/2007,01/12/2010,"M. Maino / P. Pérez, C. Köbrich",Departamento de Fomento de la Producción Animal,Programa Bicentario de Ciencia y Tecnología,Apoyo Cooperación Internacional Unión Europea
19,ANSOCII-01,Modelos de asesoría técnica con pequeños agricultores para mejorar sus procesos de aprendizaje y adopción tecnológica,01/03/2007,01/03/2007,"M. Mora / M. Maino, C. Köbrich",Departamento de Gestión e Innovación Rural,Programa Bicentario de Ciencia y Tecnología,Anillos en Ciencias Sociales
20,506508,Integration of Animal Welfare in the Food Quality Chain: from Public Concern to Improved Animal Welfare and Transparent Quality (WELFARE QUALITY),01/05/2004,01/12/2009,C. Köbrich,Particular,Unión Europea,FP6-Proyecto Integrado
21,1911178,Efecto productivo y económico de la introducción de toros Holstein Friesan en la zona sur de Chile,01/03/1991,01/03/1994,C. Köbrich,Departamento de Fomento de la Producción Animal,FONDECYT,Regular
22,AP-006,Reintroducción de la alpaca (Lama pacos) como alternativa pecuaria en zonas áridas de Chile,01/12/1991,01/12/1991,"L. Raggi / S. Urcelay, C. Köbrich, M. Maino, V. Parraguez",Departamento de Fomento de la Producción Animal,FONDEF Investigación y Desarrollo,Fondef I-ID
23,1240661,"Low-protein diets in broiler chickens: Effect on gut amino acid sensing, chronic stress and affective state, and learning strategies to promote amino acid selection",01/07/2023,01/07/2023,S. Guzmán / D. Luna,Departamento de Fomento de la Producción Animal,FONDECYT,Regular
24,11220280,The microbiota-gut-brain axis as a new biological pathway modulated by human-animal interactions: Alterations on microbiota and its influence on behavior and welfare of pigs,01/03/2022,01/03/2025,D. Luna,Departamento de Medicina Preventiva Animal,FONDECYT,Iniciación en Investigación
25,ID18I10097,Desarrollo de un nanoanticuerpo para el control de la piscirickettsiosis en salmonicultura,01/04/2018,01/04/2018,"G. Ramírez / M. Molina, M. Maino",Departamento de Medicina Preventiva Animal,FONDEF,IDEA
26,IT15I10006,Evaluación y validación tecnológica de una vacuna polivalente de subunidad contra mastitis bovina,01/03/2016,01/03/2018,"M. Maino / M. Duchens, L. Saenz, L. Lapierre",Departamento de Fomento de la Producción Animal,FONDEF,IDEA
27,PYT-2012-0055,Desarrollo y Trasferencia Tecnológica de una Vacuna Polivalente contra Mastitis Bovina,01/07/2012,01/06/2015,"L. Saenz / M. Maino, P. Retamal, L. Lapierre, M. Duchens",Departamento de Ciencias Biológicas Animales,Fundación para la Innovación Agraria-FIA,FIA-proyectos
28,D08I1085,Desarrollo de una plataforma tecnológica de formulación de vacunas para la inmunocastración en mamíferos,01/12/2008,01/12/2012,"M. Maino / S. Bucarey, L. Saenz, A. Neira",Departamento de Fomento de la Producción Animal,FONDEF,Investigación y Desarrollo (I+D)
29,08DCT-1784,Programa de fortalecimiento del capital humano y el capital social del cluster ganadero de la Región de Aysén,01/12/2008,01/06/2010,"M. Maino, C. Köbrich",INACAP,INNOVA,Capacidades Regionales
30,07CT9IQM-38,"Sistema de clasificación y tipificación de ovinos, como estrategia de diferenciación, desarrollo y encadenamiento productivo",01/12/2007,01/12/2010,M. Maino,Departamento de Fomento de la Producción Animal,INNOVA,Innova en Industria Alimentaria
31,RUE32,Integration of animal welfare in the food quality chain: from public concern to improved welfare and transparent quality,01/12/2007,01/12/2010,"M. Maino / P. Pérez, C. Köbrich",Departamento de Fomento de la Producción Animal,Programa Bicentario de Ciencia y Tecnología,Apoyo Cooperación Internacional Unión Europea
32,ANSOCII-01,Modelos de asesoría técnica con pequeños agricultores para mejorar sus procesos de aprendizaje y adopción tecnológica,01/03/2007,01/03/2007,"M. Mora / M. Maino, C. Köbrich",Departamento de Gestión e Innovación Rural,Programa Bicentario de Ciencia y Tecnología,Anillos en Ciencias Sociales
33,FIX-22,Desarrollo de una vacuna nacional para la prevención de la anemia infecciosa aviar en avicultura,01/12/2001,01/12/2001,"J. Vergara, M. Maino",Departamento de Patología Animal,FONDEF,Investigación y Desarrollo (I+D)
34,S/N 0015,"Sistena de priorización y análisis espacial de los corredores comerciales de la macrozona central de Chile, en términos de sus beneficios, costos, riesgos y oportunidades económicas, sociales y ambientales",01/12/1999,01/12/2001,M. Maino,Departamento de Fomento de la Producción Animal,FONDEF,Investigación y Desarrollo (I+D)
35,CM-001,Alternativas nutricionales para salmonidos bajo condiciones productivas chilenas,01/12/1991,01/12/1991,M. Maino,Departamento de Fomento de la Producción Animal,FONDEF,Investigación y Desarrollo (I+D)
36,AP-006,Reintroducción de la alpaca (Lama pacos) como alternativa pecuaria en zonas áridas de Chile,01/12/1991,01/12/1991,"L. Raggi / S. Urcelay, C. Köbrich, M. Maino, V. Parraguez",Departamento de Fomento de la Producción Animal,FONDEF Investigación y Desarrollo,Fondef I-ID
37,A2739-8712,,31/12/1987,31/12/1988,M. Maino,,CONCURSOS ESPECIFICOS DE INVESTIGACION,DTI
38,1231391,Understanding sex determination in Seriola lalandi,01/08/2022,01/08/2022,V. Martínez,Departamento de Fomento de la Producción Animal,FONDECYT,Regular
39,1230776,Unravelling the colonization of Shiga toxin-producing Escherichia coli in bovine gut by simultaneous assessing the bacterial adhesin expression patterns and modulation of the intestinal cellular response,01/03/2023,01/03/2026,V. Martínez,Universidad Nacional Andrés Bello,FONDECYT,Regular
