,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Peralta, OA; Carrasco, C; Vieytes, C; Tamayo, MJ; Munoz, I; Sepulveda, S; Tadich, T; Duchens, M; Melendez, P; Mella, A; Torres, CG",Safety and efficacy of a mesenchymal stem cell intramammary therapy in dairy cows with experimentally induced Staphylococcus aureus clinical mastitis,2020,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-020-59724-7,10.1038/s41598-020-59724-7
1,"Melendez, P; Ramirez, R; Marin, MP; Duchens, M; Pinedo, P","Comparison between linseed expeller and canola expeller on concentrate intake, and circulating inflammatory mediators in Holstein calves",2020,ANIMAL NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.aninu.2019.11.008,10.1016/j.aninu.2019.11.008
2,"Melendez, P; Arevalos, A; Duchens, M; Pinedo, P","Effect of an intraruminal monensin bolus on blood beta-hydroxybutyrate, peripartum diseases, milk yield and solids in Holstein cows",2019,REVISTA MEXICANA DE CIENCIAS PECUARIAS,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.22319/rmcp.v10i1.4661,10.22319/rmcp.v10i1.4661
3,"Melendez, P; Severino, K; Marin, MP; Duchens, M",The effect of a product with three gluconeogenic precursors during the transition period on blood metabolites and milk yield in Chilean Holstein cattle,2018,JOURNAL OF APPLIED ANIMAL RESEARCH,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1080/09712119.2017.1369419,10.1080/09712119.2017.1369419
4,"Melendez P., Romero C., Pithua P., Marin M.P., Pinedo P., Duchens M.","Retrospective evaluation of milk production and culling risk following either surgical, toggle-pin suture or conservative treatment of left displaced abomasum in Chilean dairy cows",2017,MOLECULES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/00480169.2017.1360162,10.1080/00480169.2017.1360162
5,"Melendez, P; Pinedo, P; Bastias, J; Marin, MP; Rios, C; Bustamante, C; Adaro, N; Duchens, M",The association between serum beta-hydroxybutyrate and milk fatty acid profile with special emphasis on conjugated linoleic acid in postpartum Holstein cows,2016,BMC VETERINARY RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12917-016-0679-7,10.1186/s12917-016-0679-7
6,"Johnson, H; Torres, CG; Carvallo, F; Duchens, M; Peralta, OA",Endometrial expression of selected transcripts in postpartum of primiparous Holstein cows with clinical and subclinical endometritis,2015,ANIMAL REPRODUCTION SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.anireprosci.2015.02.007,10.1016/j.anireprosci.2015.02.007
7,"Peralta, OA ; Monardes, D ; Duchens, M ; Moraga, L ; Nebel, RL",Supplementing transition cows with calcium propionate-propylene glycol drenching or organic trace minerals: implications on reproductive and lactation performances,2011,ARCHIVOS DE MEDICINA VETERINARIA,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0301-732X2011000100009,10.4067/S0301-732X2011000100009
8," Melendez, P ; Marin, MP ; Robles, J ; Rios, C ; Duchens, M ; Archbald, L ",Relationship between serum nonesterified fatty acids at calving and the incidence of periparturient diseases in Holstein dairy cows,2009,THERIOGENOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.theriogenology.2009.06.001,10.1016/j.theriogenology.2009.06.001
9,"Melendez, P; Duchens, M; Perez, A; Moraga, L; Archbald, L","Characterization of estrus detection, conception and pregnancy risk of Holstein cattle from the central area of Chile",2008,THERIOGENOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.theriogenology.2008.04.033,10.1016/j.theriogenology.2008.04.033
10,"De Los Reyes, M; Villagran, ML; Cepeda, R; Duchens, M; Parraguez, V; Urquieta, B",Histological characteristics and steroid concentration of ovarian follicles at different stages of development in pregnant and non-pregnant dairy cows,2006,VETERINARY RESEARCH COMMUNICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11259-006-3100-3,10.1007/s11259-006-3100-3
11,"Figueroa, J; Valenzuela, C; Guzman-Pino, SA",Sucrose Inclusion in Gestating and Lactating Diets of Sows Modifies the Feeding Behavior of Post-Weaning Pigs for Sweet Solutions,2022,VETERINARY SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/vetsci9050233,10.3390/vetsci9050233
12,"Guzman-Pino, SA; Luna, D; Salazar, LC; Poblete-Grez, P; Figueroa, J",Effect of switching sows' positions during lactation on suckling behaviour and performance of co-mingling piglets,2021,APPLIED ANIMAL BEHAVIOUR SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.applanim.2021.105391,10.1016/j.applanim.2021.105391
13,"Anticoi, M; Duran, E; Avendano, C; Pizarro, F; Figueroa, J; Guzman-Pino, SA; Valenzuela, C",Novel edible toys as iron carrier to prevent iron deficiency of postweaned pigs,2021,ANIMAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.animal.2021.100256,10.1016/j.animal.2021.100256
14,"Figueroa, J; Muller, M; Guzman-Pino, SA; Franco-Rossello, R; Sola-Oriol, D; Borda, E; Dwyer, DM; Perez, JF",Acquisition of flavour preferences in pigs through interactions with conspecifics that had previously consumed flavoured protein solutions,2020,ANIMAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S1751731120000257,10.1017/S1751731120000257
15,"Guzman-Pino, SA; Lazcano, C; De Luca, V; Figueroa, J; Valenzuela, C; Roura, E",Dietary Inclusion of Monosodium Glutamate in Gestating and Lactating Sows Modifies the Preference Thresholds and Sensory-Motivated Intake for Umami and Sweet Solutions in Post-Weaned Pigs,2019,ANIMALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ani9060336,10.3390/ani9060336
16,"Alegria-Moran, RA; Guzman-Pino, SA; Egana, JI; Sotomayor, V; Figueroa, J",Food Preferences in Cats: Effect of Dietary Composition and Intrinsic Variables on Diet Selection,2019,ANIMALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ani9060372,10.3390/ani9060372
17,"Alegria-Moran, RA; Guzman-Pino, SA; Egana, JI; Munoz, C; Figueroa, J",Food preferences in dogs: Effect of dietary composition and intrinsic variables on diet selection,2019,ANIMALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ani9050219,10.3390/ani9050219
18,"Churio, O; Duran, E; Guzman-Pino, SA; Valenzuela, C",Use of Encapsulation Technology to Improve the Efficiency of an Iron Oral Supplement to Prevent Anemia in Suckling Pigs,2019,ANIMALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ani9010001,10.3390/ani9010001
19,"Figueroa, J; Sola-Oriol, D; Guzman-Pino, SA; Chetrit, C; Borda, E; Perez, JF",The use of porcine digestible peptides and their continuity effect in nursery pigs,2016,JOURNAL OF ANIMAL SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2527/jas.2015-0019,10.2527/jas.2015-0019
20,"Guzman-Pino, SA; Sola-Oriol, D; Figueroa, J; Dwyer, DM; Perez, JF","Effect of a long-term exposure to concentrated sucrose and maltodextrin solutions on the preference, appetence, feed intake and growth performance of post-weaned piglets",2015,PHYSIOLOGY & BEHAVIOR,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.physbeh.2015.01.009,10.1016/j.physbeh.2015.01.009
21,"Kobrich, C; Bravo-Pena, F; Boza, S",Perceptions and Attitudes of Chilean Consumers Towards Products from Family Farming: an Exploratory Analysis,2019,RIVAR-REVISTA IBEROAMERICANA DE VITICULTURA AGROINDUSTRIA Y RURALIDAD,ESCI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.35588/rivar.v6i18.4175,10.35588/rivar.v6i18.4175
22,"Vargas-Bello-Perez, E; Riveros, JL; Kobrich, C; Alvarez-Melo, PA; Lensink, J",Chilean consumers' perception about animal welfare in dairy production systems: short communication,2017,ANIMAL PRODUCTION SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1071/AN14968,10.1071/AN14968
23," Melendez, PP ; Menendez, MM ; Gruebler, CK ; Silva, MSM ; Ramos, JP ",Effect of slaughter weight and sex on the carcass of Suffolk down x German merino precocious suckling lambs,2007,REVISTA CIENTIFICA-FACULTAD DE CIENCIAS VETERINARIAS,ISI/SCOPUS/UCH/VID,,
24,"Perez, P ; Maino, M ; Morales, MS ; Kobrich, C ; Bardon, C ; Pokniak, J",Gender and slaughter weight effects on carcass quality traits of suckling lambs from four different genotypes,2007,SMALL RUMINANT RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.smallrumres.2006.01.013,10.1016/j.smallrumres.2006.01.013
25,"Kobrich, C;Rehman, T;Khan, M",Typification of farming systems for constructing representative farm models: two illustrations of the application of multi-variate analyses in Chile and Pakistan,2003,AGRICULTURAL SYSTEMS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/S0308-521X(02)00013-6,10.1016/S0308-521X(02)00013-6
26,"Perez, P; Maino, M; Guzman, R; Vaquero, A; Kobrich, C; Pokniak, J",Carcass characteristics of llamas (Lama glama) reared in Central Chile,2000,SMALL RUMINANT RESEARCH,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/S0921-4488(99)00127-3,10.1016/S0921-4488(99)00127-3
27,"Luna, D; Vasquez, RA; Tadich, T",Exploring the Relationship between Socio-Demographic Background and Empathy toward Nonhuman Animals in Working Horse Caretakers,2021,SOCIETY & ANIMALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1163/15685306-12341607,10.1163/15685306-12341607
28,"Guzman-Pino, SA; Luna, D; Salazar, LC; Poblete-Grez, P; Figueroa, J",Effect of switching sows' positions during lactation on suckling behaviour and performance of co-mingling piglets,2021,APPLIED ANIMAL BEHAVIOUR SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.applanim.2021.105391,10.1016/j.applanim.2021.105391
