,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1220237,Deciphering the simultaneous host-pathogen interaction of Shiga toxin-producing Escherichia coli with the bovine recto-anal junction: analysis of the colonization process as a potential way to reduce its intestinal carriage in cattle,01/08/2021,01/08/2021,"C. Borie, V. Martínez",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
1,1180544,"What do we know about the current situation of Brucella canis in Chile?: Phylogenetic and virulence characterization of its circulating population in Santiago, Valdivia and Temuco",01/03/2018,01/03/2021,C. Borie / V. Martínez,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
2,3170708,Efecto de la infección con Piscirickettsia salmonis en el proceso de maduración del fagosoma y en la modulación del citoesqueleto de actina en el salmón del Atlántico,01/08/2016,01/08/2016,C. Borie,Departamento de Medicina Preventiva Animal,FONDECYT,Postdoctorado
3,1160257,Characterization of the Brucella canis population circulating in Chile: from genomic to diagnosis,01/06/2015,01/06/2015,"C. Borie / V. Martínez, A. Valdés",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
4,ID16I10089,Uso de bacteriófagos y probioticos contra salmonella en aves comerciales como una herramienta biotecnológica: Un desafío en salud pública para reducir el riesgo de enfermedades transmitidas por alimnentos,01/08/2016,01/08/2016,C. Borie,Departamento de Medicina Preventiva Animal,FONDEF,IDEA Bietapa
5,ID15I10022,Desarrollo de un producto competitivo en base a bacteriófagos y probióticos como una nueva estrategia de sinergia biológica para el control de Salmonella spp en la industria avícola,01/06/2015,01/06/2015,C. Borie,Departamento de Medicina Preventiva Animal,FONDEF,IDEA Bietapa
6,1150679,Canine Brucellosis: an approach to diagnosis in veterinary medicine in Chile,01/03/2015,01/03/2015,C. Borie / A. Valdés,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
7,EQM-120156,Citometría de flujo como herramienta analítica fundamental en investigaciones avanzadas del campus sur,01/12/2012,01/12/2013,"M. de los Reyes / M. Reyes, O. Peralta, L. Valladares, V. Martínez, V. Parraguez, C. Borie",Departamento de Fomento de la Producción Animal,FONDEQUIP,Concurso de Equipamiento Científico
8,EQM-120127,Desarrollo de una plataforma genómica para el análisis de secuencias en animales y árboles utilizando la plataforma ilumina miseq,01/12/2012,01/12/2013,"V. Martínez / C. Magni, M. de los Reyes, C. Borie, J. Larenas",Departamento de Fomento de la Producción Animal,FONDEQUIP,Concurso de Equipamiento Científico
9,1110038,Biocontrol of salmonella enterica serovar enteritidis in animal foods representing a public health risk: use of bacteriophages.,01/03/2011,01/03/2014,C. Borie,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
10,1100293,Biocontrol with bacteriophage in animals and food: effect against salmonella and listeria infection,01/03/2010,01/03/2010,C. Borie,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
11,1100270,Bacteriophage as controlling agents of listeria monocytogenes in potential vectors associated to the poultry industry,01/03/2010,01/03/2010,C. Borie,UCV. Inst. de Biología,FONDECYT,Regular
12,1080291,Control de Salmonella enteritidis en avicultura: Bacteriófagos en aves de postura y alimentos derivados de la industria avícola,01/03/2008,01/03/2010,C. Borie / C. Navarro,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
13,1060569,Biocontrol de salmonella en medicina veterinaria mediante el uso de bacteriófagos,01/03/2006,01/03/2008,C. Borie / C. Navarro,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
14,MULT 06/03-2,Primer estudio de resistencia de Staphylococcus intermedius y Staphylococcus aureus a antimicrobanos de uso común en perros y humanos de la Región Metropolitana,01/12/2006,01/12/2008,"L. Muñoz / S. Anticevic, C. Borie",Departamento de Ciencias Clínicas,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
15,7060084,Biocontrol de Salmonella en medicina veterinaria mediante el uso de bacteriofagos,01/03/2006,01/03/2007,C. Borie,Departamento de Medicina Preventiva Animal,FONDECYT,Cooperación Internacional
16,1050510,"Biocontrol  con bacteriofagos. Una nueva alternativa para el control de la salmonella
",01/06/2005,01/06/2005,C. Borie / C. Navarro,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
17,MULT 04/09-2,Impacto de las Salmonella resistentes a los antimicrobianos en la inocuidad alimentaria en Chile,01/12/2004,01/12/2004,"C. Borie, P. Oviedo, C. Toro",Departamento de Ciencias Clínicas,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
18,1030857,"Monitoreo de la resistencia bacteriana en animales de producción: primer estudio de perfiles de resistencia en bacterias indicadoras y zoonoticas aisladas de aves, cerdos y bovinos a nivel nacional",01/03/2003,01/03/2006,C. Borie,Departamento de Ciencias Clínicas,FONDECYT,Regular
19,1030860,"Estudio preliminar sobre resistencia antimicrobiana en Medicina veterinaria: estudio genetico molecular
",01/03/2003,01/03/2003,"C. Borie / P. Oviedo, J. Pizarro",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
20,1020601,Resistencia antimicrobiana en bacterias de origen animal. Cuantificación y estudio genético-molecular,01/06/2002,01/06/2002,"C. Borie / P. Oviedo, J. Pizarro",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
21,1020600,"Monitoreo de la resistencia bacteriana en Medicina Veterinaria: Cuantificación de la resistencia en animales de producción (aves, cerdos y bovinos) a nivel nacional  ",01/06/2002,01/06/2002,"C. Borie, H. Hidalgo",Departamento de Ciencias Clínicas,FONDECYT,Regular
22,1000782,"Farmacovigilancia de la resistencia bacteriana en el ganado lechero: Primer estudio prospectivo de la resistencia bacteriana en la V, X y Región Metropolitana",01/03/2000,01/03/2002,C. Borie,Departamento de Ciencias Clínicas,FONDECYT,Regular
23,1000790,"Salmonella enteriditis en avicultura: microbiología e inmunoprofilaxis
",01/03/2000,01/03/2000,C. Borie,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
24,SALUD-06,Caracterización molecular de fusobacterium spp. aislados de enfermedad periodontal e infecciones gineco-obstétricas en el hombre y cavidad oral de caninos domésticos,01/03/2000,01/03/2000,C. Borie,Programa de Microbiología y Micología,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
25,020-1995,Epidemiología de la yersiniosis: prevalencia en diferentes especies animales y alimentos. I estudio de potencialidad patogénica,01/03/1995,01/03/1995,"C. Borie / P. Oviedo, S. Urcelay",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
26,060-1995,Tuberculosis y brucelosis bovina: Nuevas alternativas diagnósticas,01/03/1995,01/03/1995,"P. Ábalos, C. Borie",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
27,IT23I0124,Estudio Piloto para la Prescripción Técnica de Medidas Prácticas para la Mitigación de la Fragmentación por Obras Viales,01/04/2023,01/04/2023,"C. Briceño, E. Rojas, C. Guevara, A. Grez",Departamento de Ingeniería Civil,FONDEF,IDEA
28,1211751,Huemul health assessment through a noninvasive approach: Testing human impact in remote Patagonia,01/08/2020,01/08/2020,C. Briceño,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
29,ID21I10230,Desarrollo de modelos de impacto económico de especies invasoras para la elaboración de planes y programas de financiamiento para su control,01/04/2021,01/04/2021,"C. Cerda / C. Briceño, G. Cruz",Departamento de Gestión Forestal y su Medio Ambiente,FONDEF,IDEA
30,1201573,Anthropic impact upon an endangered heraldic ambassador: Are we making huemul sicker?,01/07/2019,01/07/2019,C. Briceño / R. Vidal,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
31,ENL20/20,"Implementación de técnicas no invasivas para evaluar el estado de salud del huemul, favoreciendo la conservación de una especie amenazada",01/08/2020,01/08/2020,C. Briceño,Departamento de Medicina Preventiva Animal,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
32,1191120,Low cost and variability-tolerant cell-free biosensors for the robust detection of arbitrary RNA and DNA molecules,01/08/2018,01/08/2018,C. Briceño,Universidad Católica de Chile,FONDECYT,Regular
33,1190825,"Circulating genotypes of Echinococcus granulosus sensu lato in dog feces, coming from regions with high prevalence of human hydatid disease in Chile",01/08/2018,01/08/2018,C. Briceño,Otras Instituciones,FONDECYT,Regular
34,EQM180073,Adquisición de un Microscopio Electrónico de Barrido de Emisión de Campo FEG-SEM de Ultra Alta Resolución (UHR) con tecnología TriglavTM para la investigación avanzada: Desde los Minerales a la Ciencia de Materiales,01/07/2018,01/07/2018,"A. Neira / J. Yáñez, J. Morales, C. Briceño, M. Yazdani-Pedram, P. Caviedes, J. Arias, M. Díaz, V. Neira, S. Lavandero",Departamento de Ciencias Biológicas Animales,FONDEQUIP,Concurso de Equipamiento Científico
35,ID17AL0032,Desarrollo e implementación de un método de screening para el análisis de antimicrobianos en heces de animales de producción: una herramienta para la detección preventiva de residuos de fármacos en la industria de alimentos,01/08/2017,01/08/2017,"J. Cornejo / L. Lapierre, C. Briceño",Departamento de Medicina Preventiva Animal,FONDEF,Idea Bietapa temático
36,11160852 ,An integral approach to assess the impact of monk parakeets in Santiago: Ecological and public health implications of a neglected invasive species in Chile,01/10/2016,01/10/2019,C. Briceño,Departamento de Medicina Preventiva Animal,FONDECYT,Iniciación en Investigación
37,ED20-0110,"Anfibios, reptiles, ciencia y tecnología",01/03/2015,01/03/2015,C. Briceño,Departamento de Medicina Preventiva Animal,Explora,Divulgación y Valoración de CTI
