,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,3230089,Deciphering the Role of Smart Biomaterial Scaffolds Based on Electrospun Polymer Nanofibers in Peripheral Nerve Tissue Repair and Regeneration,01/03/2023,01/03/2023,A. Neira,Departamento de Ciencias Biológicas Animales,FONDECYT,Postdoctorado
1,1221609,Effect of different preparation methods on the properties of fungal chitin nanofiber from the Chilean mushroom (Suillus luteus) and its potential application in food packaging,01/04/2022,01/04/2026,A. Neira,Universidad De Concepcion,FONDECYT,Regular
2,85220008,Fortalecimiento en el área de docencia e investigación en el campo de ciencias clínicas: Modulación de vías de cristalización involucradas en procesos de mineralización patológica con énfasis en litiasis renal como eje de desarrollo de ciencias biomédicas,01/11/2022,01/11/2022,A. Neira,Departamento de Ciencias Biológicas Animales,Programa de Capital Humano Avanzado,Subvención a la Instalación en la Academia
3,13220032,Development of an anti-SARS-CoV-2 blocker with functionalized chitosan: A biomimetic exploration of a global health problem,01/09/2022,01/09/2022,S. Bucarey / A. Neira,Departamento de Ciencias Biológicas Animales,Fondecyt_Anid,Proyectos de Exploración
4,1211839,Chemically modified polysaccharides with biological activity for active food packaging films,01/08/2020,01/08/2020,A. Neira,Universidad De Concepcion,FONDECYT,Regular
5,1210380,A novel nanoformulation with microRNAs and Metformin as a possible therapy for ovarian cancer,01/08/2020,01/08/2020,"C. Romero / M. Kogan, M. Garrido, A. Neira",Departamento de Obstetricia y Ginecología,FONDECYT,Regular
6,1211345,Effect of controlled-charged and distribution of electrospun polymer fiber meshes as template on in vitro crystallization of calcium carbonate and calcium oxalate,01/03/2021,01/03/2025,"A. Neira / J. Arias, M. Fernández, M. Yazdani-Pedram",Departamento de Ciencias Biológicas Animales,FONDECYT,Regular
7,1200183,Role of microRNA-23b plus microRNA-145 with Metformin in the decreasing of tumor growth and angiogenesis in Epithelial Ovarian Cancer: A potential adjuvant therapy,01/08/2019,01/08/2019,"C. Romero / M. Garrido, M. Kogan, A. Neira",Departamento de Obstetricia y Ginecología,FONDECYT,Regular
8,1190274,Controlled delivery of chimeric PCV2-PRRSV virus-like particles coated with functionalized chitosan: Understanding mucoadhesive and cell targeting features on an artificial epithelia for mucosal vaccine development,01/08/2018,01/08/2018,S. Bucarey / A. Neira,Departamento de Ciencias Biológicas Animales,FONDECYT,Regular
9,3190217,Fabrication of GO/Cs/ZnO and GO/Cs/TiO2 nanocomposite for potentially enhanced anti-ESBL and anti-cancer activity of different ESBL producing bacteria and lung cancer cells,01/10/2018,01/10/2018,A. Neira,Departamento de Ciencias Biológicas Animales,FONDECYT,Postdoctorado
