,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Butto-Miranda, N; Cabrera-Barjas, G; Ibanez, A; Neira-Carrillo, A","Preparation of Novel Electrospun Organic-Inorganic Hybrid Nanofibers Based on Polycaprolactone, Glycine Betaine, and Calcium Carbonate (P/G/CaCO3-EPnF)",2023,CRYSTALS,ISI/UCH/VID,http://dx.doi.org/10.3390/cryst13040611,10.3390/cryst13040611
1,"Brito, TP; Butto-Miranda, N; Neira-Carrillo, A; Bollo, S; Rufz-Leon, D",Synergistic Effect of Composite Nickel Phosphide Nanoparticles and Carbon Fiber on the Enhancement of Salivary Enzyme-Free Glucose Sensing,2023,BIOSENSORS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/bios13010049,10.3390/bios13010049
2,"Neira-Carrillo, A; Zarate, IA; Nieto, E; Butto-Miranda, N; Lobos-Gonzalez, L; Del Campo-Smith, M; Palacio, DA; Urbano, BF",Electrospun Poly(acrylic acid-co-4-styrene sulfonate) as Potential Drug-Eluting Scaffolds for Targeted Chemotherapeutic Delivery Systems on Gastric (AGS) and Breast (MDA-Mb-231) Cancer Cell Lines,2022,NANOMATERIALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/nano12213903,10.3390/nano12213903
3,"Arce, TZ; Yazdani-Pedram, M; Neira-Carrillo, A",Electrocrystallization of Calcium Oxalate on Electrospun PCL Fibers Loaded with Phytic Acid as a Template,2022,POLYMERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/polym14153190,10.3390/polym14153190
4,"Leal, M; Leiva, A; Villalobos, V; Palma, V; Carrillo, D; Edwards, N; Maine, A; Cauich-Rodriguez, JV; Tamayo, L; Neira-Carrillo, A; Urzua, M",Blends based on amino acid functionalized poly (ethylene-alt-maleic anhydride) polyelectrolytes and PEO for nanofiber elaboration: Biocompatible and angiogenic polyelectrolytes,2022,EUROPEAN POLYMER JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.eurpolymj.2022.111269,10.1016/j.eurpolymj.2022.111269
5,"Jimenez-Arriagada, D; Hidalgo, AA; Neira, V; Neira-Carrillo, A; Bucarey, SA",Low molecular weight sulfated chitosan efficiently reduces infection capacity of porcine circovirus type 2 (PCV2) in PK15 cells,2022,VIROLOGY JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12985-022-01781-7,10.1186/s12985-022-01781-7
6,"Pizarro, GD; Alavia, W; Gonzalez, K; Diaz, H; Marambio, OG; Martin-Trasanco, R; Sanchez, J; Oyarzun, DP; Neira-Carrillo, A",Design and Study of a Photo-Switchable Polymeric System in the Presence of ZnS Nanoparticles under the Influence of UV Light Irradiation,2022,POLYMERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/polym14050945,10.3390/polym14050945
7,"Diaz-Soler, F; Rodriguez-Navarro, C; Ruiz-Agudo, E; Neira-Carrillo, A",Stabilization of Calcium Oxalate Precursors during the Pre- and Post-Nucleation Stages with Poly(acrylic acid),2021,NANOMATERIALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/nano11010235,10.3390/nano11010235
8,"Zarate, IA; Aguilar-Bolados, H; Yazdani-Pedram, M; Pizarro, GD; Neira-Carrillo, A",In Vitro Hyperthermia Evaluation of Electrospun Polymer Composite Fibers Loaded with Reduced Graphene Oxide,2020,POLYMERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/polym12112663,10.3390/polym12112663
9,"Arias, JL; Silva, K; Neira-Carrillo, A; Ortiz, L; Arias, JI; Butto, N; Fernandez, MS",Polycarboxylated Eggshell Membrane Scaffold as Template for Calcium Carbonate Mineralization,2020,CRYSTALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/cryst10090797,10.3390/cryst10090797
10,"Sepulveda, F; Butto, N; Arias, JL; Yazdani-Pedram, M; Szewczyk, PK; Gruszczynski, A; Stachewicz, U; Neira-Carrillo, A",Effect of Porous and Nonporous Polycaprolactone Fiber Meshes on CaCO3 Crystallization Through a Gas Diffusion Method,2020,CRYSTAL GROWTH & DESIGN,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.cgd.0c00803,10.1021/acs.cgd.0c00803
11,"Butto, N; Vera, NC; Diaz-Soler, F; Yazdani-Pedram, M; Neira-Carrillo, A",Effect of Chitosan Electrospun Fiber Mesh as Template on the Crystallization of Calcium Oxalate,2020,CRYSTALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/cryst10060453,10.3390/cryst10060453
12,"Lopez, M; Miranda, E; Ramos, C; Garcia, H; Neira-Carrillo, A",Activation of Early Defense Signals in Seedlings ofNicotiana benthamianaTreated with Chitin Nanoparticles,2020,PLANTS-BASEL,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3390/plants9050607,10.3390/plants9050607
13,"Vargas-Fernandez, A; Sanchez, M; Diaz-Soler, F; Vasquez-Quitral, P; Yazdani-Pedram, M; Neira-Carrillo, A",Effect of Functionalized Multiwalled CNTs on the Selective Formation of Calcium Oxalate Crystals by Electrocrystallization,2020,CRYSTAL GROWTH & DESIGN,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.cgd.9b01067,10.1021/acs.cgd.9b01067
14,"Duran, E; Churio, O; Arias, JL; Neira-Carrillo, A; Valenzuela, C",Preparation and characterization of novel edible matrices based on alginate and whey for oral delivery of iron,2020,FOOD HYDROCOLLOIDS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.foodhyd.2019.105277,10.1016/j.foodhyd.2019.105277
15,"Aguilar-Bolados, H; Contreras-Cid, A; Neira-Carrillo, A; Lopez-Manchado, M; Yazdani-Pedram, M",Removal of Surfactant from Nanocomposites Films Based on Thermally Reduced Graphene Oxide and Natural Rubber,2019,JOURNAL OF COMPOSITES SCIENCE,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/jcs3020031,10.3390/jcs3020031
16,"Neira-Carrillo, A; Vasquez-Quitral, P; Sanchez, M; Farhadi-Khouzani, M; Aguilar-Bolados, H; Yazdani-Pedram, M; Colfen, H",Functionalized Multiwalled CNTs in Classical and Nonclassical CaCO3 Crystallization,2019,NANOMATERIALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/nano9081169,10.3390/nano9081169
17,"Leal, MS; Briones, X; Villalobos, V; Queneau, Y; Leiva, A; Rios, HE; Pavez, J; Silva, CP; Carrasco, C; Neira-Carrillo, A; Roth, AD; Tamayo, L; Urzua, MD",Amino Acid-Functionalized Polyelectrolyte Films as Bioactive Surfaces for Cell Adhesion,2019,ACS APPLIED MATERIALS & INTERFACES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acsami.9b02503,10.1021/acsami.9b02503
18,"Montenegro-Nicolini, M; Reyes, PE; Jara, MO; Vuddanda, PR; Neira-Carrillo, A; Butto, N; Velaga, S; Morales, JO",The Effect of Inkjet Printing over Polymeric Films as Potential Buccal Biologics Delivery Systems,2018,AAPS PHARMSCITECH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1208/s12249-018-1105-1,10.1208/s12249-018-1105-1
19,"Aguilar-Bolados, H; Contreras-Cid, A; Yazdani-Pedram, M; Acosta-Villavicencio, G; Flores, M; Fuentealba, P; Neira-Carrillo, A; Verdejo, R; Lopez-Manchado, MA",Synthesis of fluorinated graphene oxide by using an easy one-pot deoxyfluorination reaction,2018,JOURNAL OF COLLOID AND INTERFACE SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jcis.2018.04.030,10.1016/j.jcis.2018.04.030
20,"Sánchez M., Vásquez-Quitral P., Butto N., Díaz-Soler F., Yazdani-Pedram M., Silva J.F., Neira-Carrillo A.",Effect of alginate from chilean lessonia nigrescens and MWCNTs on CaCO3 crystallization by classical and non-classical methods,2018,CRYSTALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/cryst8020069,10.3390/cryst8020069
21,"Butto, N; Cabrera-Barjas, G; Neira-Carrillo, A",Electrocrystallization of CaCO3 crystals obtained through phosphorylated chitin,2018,CRYSTALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/cryst8020082,10.3390/cryst8020082
22,"Neira, V; Ramos, N; Tapia, R; Arbiza, J; Neira-Carrillo, A; Quezada, M; Ruiz, A; Bucarey, SA",Genetic analysis of porcine circovirus type 2 from pigs affected with PMWS in Chile reveals intergenotypic recombination,2017,VIROLOGY JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12985-017-0850-1,10.1186/s12985-017-0850-1
23,"Neira-Carrillo, A; Fernandez, MS; Hevia, GP; Arias, JL; Gebauer, D; Colfen, H",Retrosynthesis of CaCO3 via amorphous precursor particles using gastroliths of the Red Claw lobster (Cherax quadricarinatus),2017,JOURNAL OF STRUCTURAL BIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jsb.2017.05.004,10.1016/j.jsb.2017.05.004
24,"Vásquez-Quitral P., Arana J.T., Miras M.C., Acevedo D.F., Barbero C.A., Neira-Carrillo A.",Effect of diazotated sulphonated polystyrene films on the calcium oxalate crystallization,2017,CRYSTALS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3390/cryst7030070,10.3390/cryst7030070
25,"Fernandez, MS; Valenzuela, F; Arias, JI; Neira-Carrillo, A; Arias, JL",Is the snail shell repair process really influenced by eggshell membrane as a template of foreign scaffold?,2016,JOURNAL OF STRUCTURAL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jsb.2016.10.001,10.1016/j.jsb.2016.10.001
26,"Neira-Carrillo, A; Yslas, E; Marini, YA; Vasquez-Quitral, P; Sanchez, M; Riveros, A; Yanez, D; Cavallo, P; Kogan, MJ; Acevedo, D",Hybrid biomaterials based on calcium carbonate and polyaniline nanoparticles for application in photothermal therapy,2016,COLLOIDS AND SURFACES B-BIOINTERFACES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.colsurfb.2016.05.060,10.1016/j.colsurfb.2016.05.060
27,"Neira-Carrillo, A; Gentsch, R; Borner, HG; Acevedo, DF; Barbero, CA; Colfen, H",Templated CaCO3 Crystallization by Submicrometer and Nanosized Fibers,2016,LANGMUIR,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.langmuir.6b02536,10.1021/acs.langmuir.6b02536
28,"Rao, A;Vasquez-Quitral, P;Fernandez, MS;Berg, JK;Sanchez, M;Drechsler, M;Neira-Carrillo, A;Arias, JL;Gebauer, D;Colfen, H",pH-Dependent Schemes of Calcium Carbonate Formation in the Presence of Alginates,2016,CRYSTAL GROWTH & DESIGN,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1021/acs.cgd.5b01488,10.1021/acs.cgd.5b01488
29,"Neira-Carrillo, A;Vasquez-Quitral, P;Sanchez, M;Vargas-Fernandez, A;Silva, J",Control of calcium oxalate morphology through electrocrystallization as an electrochemical approach for preventing pathological disease,2015,IONICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11581-015-1558-0,10.1007/s11581-015-1558-0
30,"Fernandez, MS; Arias, JI; Neira-Carrillo, A; Arias, JL",Austromegabalanus psittacus barnacle shell structure and proteoglycan localization and functionality,2015,JOURNAL OF STRUCTURAL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jsb.2015.08.005,10.1016/j.jsb.2015.08.005
31,"Beato, C; Fernandez, MS; Fermani, S; Reggi, M; Neira-Carrillo, A; Rao, A; Falini, G; Arias, JL",Calcium carbonate crystallization in tailored constrained environments,2015,CRYSTENGCOMM,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1039/c5ce00783f,10.1039/c5ce00783f
32,"Neira-Carrillo, A; Luengo-Ponce, F; Vasquez-Quitral, P; Yazdani-Pedram, M; Fernandez, MS; Colfen, H; Arias, JL",Sulfonated Polymethylsiloxane as an Additive for Selective Calcium Oxalate Crystallization,2015,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/ejic.201402063,10.1002/ejic.201402063
33,"Valenzuela, C;Hernandez, V;Morales, MS;Neira-Carrillo, A;Pizarro, F",Preparation and characterization of heme iron-alginate beads,2014,LWT-FOOD SCIENCE AND TECHNOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.lwt.2014.04.030,10.1016/j.lwt.2014.04.030
34,"Neira-Carrillo, A;Pillai, S;Pai, RK",SELECTIVE CONTROL OF CALCIUM CARBONATE CRYSTALS MORPHOLOGIES USING SULFONATED POLYMER AS ADDITIVE,2014,JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0717-97072014000100014,10.4067/s0717-97072014000100014
35,"Bucarey, SA;Pujol, M;Poblete, J;Nunez, I;Tapia, CV;Neira-Carrillo, A;Martinez, J;Bassa, O",Chitosan microparticles loaded with yeast-derived PCV2 virus-like particles elicit antigen-specific cellular immune response in mice after oral administration,2014,VIROLOGY JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/1743-422X-11-149,10.1186/1743-422X-11-149
36,Mena JF;Neira-Carrillo A;Pedram MY;Kogan MJ,Capping Gold Nanoparticles with Modified Chitosan Polymers for Biomedical Applications,2013,JOURNAL OF BIOMATERIALS AND TISSUE ENGINEERING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1166/jbt.2013.1072,10.1166/jbt.2013.1072
37,Vasquez-Quitral P;Diaz MP;Fernandez MS;Arias JL;Neira-Carrillo A;Yazdani-Pedram M,Control of calcium carbonate crystallization by using anionic polymethylsiloxanes as templates,2012,JOURNAL OF SOLID STATE CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jssc.2012.05.039,10.1016/j.jssc.2012.05.039
38,Gracia F;Elsegood MRJ;Neira A;Teat SJ;Fuenzalida VM;Ariga K;Palza H;Avila J;Hill JP;Maturana A;Sanchez-Ballester NM,Nanostructured Manganese Oxide Particles from Coordination Complex Decomposition and Their Catalytic Properties for Ethanol Oxidation,2012,JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1166/jnn.2012.6686,10.1166/jnn.2012.6686
