,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Sanchez, M; Villamizar-Sarmiento, MG; Harmsen, I; Valdes, F; Villanueva, V; Ceballos, R; Wacyk, J; Oyarzun-Ampuero, F; Valenzuela, C",Encapsulation of house fly larvae (Musca domestica) meal by ionic gelation as a strategy to develop a novel nutritive food ingredient with improved aroma and appearance,2022,LWT-FOOD SCIENCE AND TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.lwt.2022.113597,10.1016/j.lwt.2022.113597
1,"Valdes, F; Villanueva, V; Duran, E; Campos, F; Avendano, C; Sanchez, M; Domingoz-Araujo, C; Valenzuela, C",Insects as Feed for Companion and Exotic Pets: A Current Trend,2022,ANIMALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ani12111450,10.3390/ani12111450
2,"Cabello, J; Villanueva, V; Valdes, F; Valenzuela, C",Waste eggs in Chile: Estimation of production chain losses and possible uses,2022,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182022000100017,10.4067/S0717-75182022000100017
3,"Figueroa, J; Valenzuela, C; Guzman-Pino, SA",Sucrose Inclusion in Gestating and Lactating Diets of Sows Modifies the Feeding Behavior of Post-Weaning Pigs for Sweet Solutions,2022,VETERINARY SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/vetsci9050233,10.3390/vetsci9050233
4,"Saenz, L; Guzman, M; Vidal, S; Caruffo, M; Siel, D; Zayas, C; Paredes, R; Valenzuela, C; Hidalgo, H; Perez, O; Lapierre, L","Efficacy of Multivalent, Cochleate-Based Vaccine against Salmonella Infantis, S. Enteritidis and S. Typhimurium in Laying Hens",2022,VACCINES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/vaccines10020226,10.3390/vaccines10020226
5,"Avendano, C; Vidal, S; Villamizar-Sarmiento, MG; Guzman, M; Hidalgo, H; Lapierre, L; Valenzuela, C; Saenz, L",Encapsulation of Cochleates Derived from Salmonella Infantis with Biopolymers to Develop a Potential Oral Poultry Vaccine,2021,POLYMERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/polym13193426,10.3390/polym13193426
6,"Anticoi, M; Duran, E; Avendano, C; Pizarro, F; Figueroa, J; Guzman-Pino, SA; Valenzuela, C",Novel edible toys as iron carrier to prevent iron deficiency of postweaned pigs,2021,ANIMAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.animal.2021.100256,10.1016/j.animal.2021.100256
7,"Sanchez, M; Gomez, C; Avendano, C; Harmsen, I; Ortiz, D; Ceballos, R; Villamizar-Sarmiento, MG; Oyarzun-Ampuero, F; Wacyk, J; Valenzuela, C",House fly (Musca domestica) larvae meal as an ingredient with high nutritional value: Microencapsulation and improvement of organoleptic characteristics,2021,FOOD RESEARCH INTERNATIONAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.foodres.2021.110423,10.1016/j.foodres.2021.110423
8,"Avendano, C; Sanchez, M; Valenzuela, C",Insects: an alternative for animal and human feeding,2020,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182020000601029,10.4067/S0717-75182020000601029
9,"Castromonte M., Wacyk J., Valenzuela C.",Encapsulation of antioxidant extracts from agroindustrial by-products: a review,2020,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182020000500836,10.4067/S0717-75182020000500836
10,"Arros, F; Garrido, C; Valenzuela, C",Development and characterization of nettle-leaves powder (Urtica urens) as a potential supplement for animal feed,2020,REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,,
11,"Reyes, P; Urquiaga, I; Echeverria, G; Duran, E; Morales, MS; Valenzuela, C",Wine grape pomace flour in broiler diets effects growth and some meat characteristics,2020,ANIMAL PRODUCTION SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1071/AN19385,10.1071/AN19385
