,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Infante, J; Riquelme, M; Huerta, N; Oettinger, S; Fredes, F; Simonetti, JA; Rubio, AV",Cryptosporidium spp. and Giardia spp. in wild rodents: using occupancy models to estimate drivers of occurrence and prevalence in native forest and exotic Pinus radiata plantations from Central Chile,2022,ACTA TROPICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.actatropica.2022.106635,10.1016/j.actatropica.2022.106635
1,"Fredes, F; Mercado, R; Salas, IP; Sugiyama, H; Kobayashi, H; Yamasaki, H",Morphological observation and molecular phylogeny of Spirometra decipiens complex 1 (Cestoda: Diphyllobothriidae) found in cat from Chile,2022,PARASITOLOGY INTERNATIONAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.parint.2021.102493,10.1016/j.parint.2021.102493
2,"Munoz, R; Hidalgo-Hermoso, E; Fredes, F; Alegria-Moran, R; Celis, S; Ortiz-Tacci, C; Kemec, I; Mansell, M; Verasay, J; Ramirez-Toloza, G",Serological prevalence and risk factors of Toxoplasma gondii in Zoo Mammals in Chile,2021,PREVENTIVE VETERINARY MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.prevetmed.2021.105445,10.1016/j.prevetmed.2021.105445
3,"Alegría-Morán R., Pastenes Á., Cabrera G., Fredes F., Ramírez-Toloza G.","Urban public squares as potential hotspots of dog-human contact: A spatial analysis of zoonotic parasites detection in Gran Santiago, Chile",2021,VETERINARY PARASITOLOGY- REGIONAL STUDIES AND REPORTS,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1016/j.vprsr.2021.100579,10.1016/j.vprsr.2021.100579
4,"Briceno, C; Yevenes, K; Larraechea, M; Sandoval-Rodriguez, A; Silva-de la Fuente, MC; Fredes, F; Hidalgo, H; Alcayaga, V; Oyarzun-Ruiz, P; Munita, C; Gonzalez-Acuna, D","First record of Ornithonyssus bursa (Berlese, 1888) (Mesostigmata: Macronyssidae) parasitizing invasive monk parakeets in Santiago, Chile",2021,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,ISI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/s1984-29612021023,10.1590/s1984-29612021023
5,"Sandoval-Rodriguez, A; Marcone, D; Alegria-Moran, R; Larraechea, M; Yevenes, K; Fredes, F; Briceno, C","Cryptosporidium spp. and Giardia spp. in Free-Ranging Introduced Monk Parakeets from Santiago, Chile",2021,ANIMALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ani11030801,10.3390/ani11030801
6,"Riquelme, M; Salgado, R; Simonetti, JA; Landaeta-Aqueveque, C; Fredes, F; Rubio, AV",Intestinal Helminths in Wild Rodents from Native Forest and Exotic Pine Plantations (Pinus radiata) in Central Chile,2021,ANIMALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ani11020384,10.3390/ani11020384
7,"Acuna-Olea, F; Sacristan, I; Aguilar, E; Garcia, S; Lopez, MJ; Oyarzun-Ruiz, P; Brito, JL; Fredes, F; Napolitano, C",Gastrointestinal and cardiorespiratory endoparasites in the wild felid guigna (Leopardus guigna) in Chile: Richness increases with latitude and first records for the host species,2020,INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.ijppaw.2020.07.013,10.1016/j.ijppaw.2020.07.013
8,"Rubio, AV; Fredes, F; Simonetti, JA",Exotic Pinus radiata Plantations do not Increase Andes Hantavirus Prevalence in Rodents,2019,ECOHEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10393-019-01443-1,10.1007/s10393-019-01443-1
9,"Briceno, C; Surot, D; Gonzalez-Acuna, D; Martinez, FJ; Fredes, F
","Parasitic survey on introduced monk parakeets (Myiopsitta monachus) in Santiago, Chile",2017,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,SCOPUS/SCIELO-otros paises /ISI/UCH/VID,http://dx.doi.org/10.1590/s1984-29612017023,10.1590/s1984-29612017023
10,"Foote, AM; Woods, E; Fredes, F; Leon, JS
",Rendering fecal waste safe for reuse via a cost-effective solar concentrator,2017,JOURNAL OF WATER SANITATION AND HYGIENE FOR DEVELOPMENT,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.2166/washdev.2017.112,10.2166/washdev.2017.112
11,"Rubio, AV; Fredes, F; Simonetti, JA","Links Between Land-Sharing, Biodiversity, and Zoonotic Diseases: A Knowledge Gap",2016,ECOHEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10393-016-1171-3,10.1007/s10393-016-1171-3
12,"Rojas, CAA; Fredes, F; Torres, M; Acosta-Jamett, G; Alvarez, JF; Pavletic, C; Paredes, R; Cortes, S","First meeting ""Cystic echinococcosis in Chile, update in alternatives for control and diagnostics in animals and humans"" (vol 9, 502, 2016)",2016,PARASITES & VECTORS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s13071-016-1874-x,10.1186/s13071-016-1874-x
13,"Rojas, CAA; Fredes, F; Torres, M; Acosta-Jamett, G; Alvarez, JF; Pavletic, C; Paredes, R; Cortes, S","First meeting ""Cystic echinococcosis in Chile, update in alternatives for control and diagnostics in animals and humans""",2016,PARASITES & VECTORS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s13071-016-1792-y,10.1186/s13071-016-1792-y
