,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1210238,Toxoplasma gondii. Search and molecular identification of Chilean isolates,01/08/2020,01/08/2020,"S. Peña, F. Fredes",Departamento de Pediatría y Cirugía Infantil Occidente,FONDECYT,Regular
1,1190803,"Detection and characterization of zoonotic pathogens in Estero Puangue: a study model for clarifying the links between dairy farming, water pollution and public health",01/08/2018,01/08/2018,"P. Retamal / F. Fredes, P. Ábalos, M. Toro, L. Lapierre",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
2,IM19MInD,Instituto Milenio en Enfermedades infecciosas,01/11/2019,01/11/2019,"M. Santolaya / F. Fredes, C. Cortés, R. Vidal, J. Torres, M. Farfán, R. Soto, M. O'Ryan, A. Gaggero, M. Wolff",Departamento de Pediatría y Cirugía Infantil Oriente,Iniciativa científica Milenio,Institutos Milenios
3,U-REDES-C_2018_09,"¿Identificación y seguimiento molecular de Cryptosporidium spp., Giardia spp., Blastocystis spp. y otros protozoos parásitos para una mejor comprensión de la transmisión de las infecciones que causan en Chile u otros paises latinoamericanos¿. RED de colaboración interfacultades FAMED-FAVET: ProtoPara-Net (Protozoos-Parasitos-Network)",01/07/2018,01/07/2018,"S. Peña, F. Fredes",Departamento de Pediatría y Cirugía Infantil Occidente,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
4,1181455,"Detection and characterization of zoonotic pathogens in Estero Puangue: a study model for clarifying the links between dairy farming, water pollution and public health",01/07/2017,01/07/2017,"P. Retamal / P. Ábalos, F. Fredes, L. Lapierre, M. Toro",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
5,1171002,Biological hazards in coastal environments: a One-Health approach characterizing multi-host pathogens in water,01/09/2016,01/09/2016,"P. Retamal / V. Neira, M. Toro, F. Fredes, P. Ábalos",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
6,PYT-2018-0125,Observatorio de parásitos gastro intestinales y pulmonares para la gestión de la adaptación al cambio climático de la ganadería basada en praderas,01/12/2017,01/12/2021,"F. Fredes / L. Hervé, S. Urcelay",Otras Instituciones,Fundación para la Innovación Agraria-FIA,FIA-proyectos
7,1171181,Impact of flukicide policy on liver fluke prevalence and the status of triclabendazole resistance in dairy herds of the Metropolitan region,01/09/2016,01/09/2016,F. Fredes,Otras Instituciones,FONDECYT,Regular
8,1160545,"Impact of flukicide treatment on liver fluke prevalence in Chilean dairy herds, as determined by bulk tank milk ELISA",01/08/2015,01/08/2015,F. Fredes,UAUT. Dirección de Investigación y Postgrado,FONDECYT,Regular
9,1151492,"Identification and molecular typing of Cryptosporidium and Giardia from Spheniscus spp. penguins and waters inhabited by them along the Chilean coast, as indicators of anthropogenic effects",01/03/2015,01/03/2015,F. Fredes / C. Briceño,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
10,114-193,"Identification and genetic relatedness of Cryptosporidium and Giardia from Spheniscus spp. penguins and waters inhabited by them along the Chilean coast, as indicators of environmental contamination.",01/03/2014,01/03/2014,"F. Fredes / L. Sáez, G. Ramírez",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
11,1110255,Identification and molecular typing of Cryptosporidium and Salmonella strains collected from Magellanic penguins (Spheniscus magellancius): the role of these animals as pathogen reseroirs,01/03/2011,01/03/2014,"F. Fredes / P. Retamal, P. Ábalos",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
12,1110236,"Molecular veterinary epidemiology of Cryptosporidium infections in two milk farms of the Metropolitan Region, Chile.",01/03/2011,01/03/2011,F. Fredes,Programa de Parasitología,FONDECYT,Regular
13,1100173,Characterization of Cryptosporidium spp. and Salmonella spp isolated from penguins living in Antarctica and South America as biomarkers of anthropogenic effect,01/03/2010,01/03/2010,F. Fredes / P. Retamal,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
14,1100147,Identification of Cryptosporidium species infecting children and calves in the De Los Rios (XIV) Region and Metropolitan Region of Chile using a new genus-specific molecular test,01/03/2010,01/03/2010,F. Fredes,Unidad Docente de Parasitología Occidente,FONDECYT,Regular
15,1090134,"Comparación de los agentes parasitarios transmisibles de Pygoscelis papua, P. antartica y P. adeliae de la Antártica y de un pinguino sudamericano Spheniscus magellanicus como indicador de efecto antrópico y/o de cambios climáticos",01/03/2009,01/03/2009,F. Fredes,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
16,1090383,Determinación de especies de Cryptosporidium que infectan a niños y terneros en las regiones De Los Ríos (XIV) y Metropolitana de Chile usando una nueva prueba molecular género-específica.,01/03/2009,01/03/2009,"R. Tassara, F. Fredes",Unidad Docente de Parasitología Occidente,FONDECYT,Regular
17,1080250,"Identificación y caracterización epidemiológica molecular de los agentes parasitarios en tres pinguinos antárticos (Pygoscelis papua, P. antartica, P. adeliae) y en el pinguino sudamericano Spheniscus magallanicus",01/03/2008,01/03/2008,F. Fredes,Departamento de Medicina Preventiva Animal,FONDECYT,Regular
18,037,Determinación de especies de Cryptosporidium que infectan a niños y terneros en las regiones de Los Ríos (XIV) y Metropolitana de Chile usando una nueva prueba molecular género-específica,01/03/2008,01/03/2008,"R. Tassara, F. Fredes",Unidad Docente de Parasitología Occidente,FONDECYT,Regular
19,PID-Alimentos,Programa de investigación Domeyko en Alimentos,01/03/2007,01/03/2010,"J. Romero, A. Maass, P. Oviedo, B. Suárez, R. Vidal, C. Toro, M. O'Ryan, J. Pizarro, F. Fredes, A. López, J. San Martín",Dirección,Fondo Central de Investigación,Programa Domeyko
20,1060565,"Resistencia antihelmíntica en producción bovina: un primer estudio en Chile utilizando técnicas clásicas y moleculares
",01/03/2006,01/03/2006,F. Fredes,Departamento de Ciencias Clínicas,FONDECYT,Regular
21,MULT 06/17-2,"Sensibilidad de la reacción en cadena de la polimerasa (PCR), tinción de Ziehl-Neelsen y crypto-strip en el diagnóstico de laboratorio de la Cryptosporidiosis humana y bovina en Chile",01/12/2006,01/12/2008,F. Fredes,Programa de Parasitología,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
22,ANT-01,"Characterization of the transmissible diseases of the Antarctic penguins and associated ecosystems, for the creation of an epidemiological record that allows the elaboration of vigilance plan...",01/12/2006,01/12/2006,"F. Fredes / L. Saenz, H. Hidalgo",Departamento de Medicina Preventiva Animal,Programa Bicentario de Ciencia y Tecnología,Anillo Antártico
23,ANT-03,"Caracterización del estado sanitario y epidemiológico de las enfermedades transmisibles de Pingüinos pinnípedos antárticos, como posible indicador de la influencia antrópica en el continente, para asi...",01/12/2005,01/12/2005,"F. Fredes / C. Navarro, H. Hidalgo, P. Ábalos, J. Pizarro",Departamento de Medicina Preventiva Animal,Programa Bicentario de Ciencia y Tecnología,Anillo Antártico
24,1050996,"Detección de agentes infecciosos de camélidos sudaméricanos dométicos del altiplano chileno 
",01/06/2005,01/06/2005,"J. Pizarro, P. Ábalos, F. Fredes",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
25,MULT 05/29-2,"Sensibilidad comparativa de la reacción en cadena de la polimerasa (PCR), Tinción de Ziehl-Neelsen y Crypto-strip en el diagnóstico de laboratorio de la Cryptosporidiosis humana y bovina en Chile",01/12/2005,01/12/2005,F. Fredes,Programa de Parasitología,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
26,1020607,Patógenos en aves silvestres asociadas a la avicultura industrial,01/03/2002,01/03/2005,F. Fredes,Departamento de Patología Animal,FONDECYT,Regular
27,SAL-01/12-2,Identificación de proteinas antigénicas de Fasciola hepática y generación de péptidos sintéticos para el diagnóstico serológico en pacientes con fasciolosis,01/03/2001,01/03/2003,"F. Fredes / M. Galindo, L. Gil",Departamento de Medicina Preventiva Animal,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
