,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,613433,Filipinas 2021,01/03/2021,01/03/2022,I. Agüero,Dirección de Pregrado,Fondos de Cultura,Fondo Audiovisual
1,444250,Diez años en la Araucanía,01/12/2017,01/12/2018,I. Agüero,Dirección de Pregrado,Fondos de Cultura,Fondo Audiovisual
2,U-REDES-G_2018-29,Red de Investigación y Acción en Políticas Culturales: Diversidad y Territorios,01/10/2018,01/10/2020,"M. Silva / L. Campos, M. Mellado, I. Agüero, F. Agüero, J. Labrín, M. Facuse, M. Domínguez",Departamento de Investigaciones Mediáticas y de la Comunicación,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
3,446755,Alicia Vega,01/12/2017,01/12/2018,I. Agüero,Dirección de Pregrado,Fondos de Cultura,Fondo Audiovisual
4,URC-017/17,Consolidación de la Red de cine educación cero en conducta,01/08/2017,01/08/2017,I. Agüero,Gabinete Dirección,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
5,INTERD-5-2,Cero en conducta,01/01/2016,01/09/2016,"I. Agüero / E. Águila, L. Miranda, D. Cruz",Dirección de Pregrado,Iniciativa Bicentenario Juan Gómez Millas,Fondo de investigación
6,CREA-1-3,La resurrección de los muertos,01/01/2014,01/07/2015,"E. Matthey / A. Menard, R. Aceituno, M. Facuse, R. Zúñiga, F. Galende, I. Agüero",Departamento de Artes Visuales,Iniciativa Bicentenario Juan Gómez Millas,Fondo de creación artística
7,1240145,La plaza pública de las mañanas: matinales televisivos y sus audiencias en un contexto de democracias fragmentadas,01/07/2023,01/07/2023,"L. Antezana / C. Cabalín, C. Cabalín",Decanato,FONDECYT,Regular
8,1231922,De la Crítica y de la Justificación de la Violencia (Política). Una investigación Conceptual y Empírica a partir del octubre chileno de 2019,01/03/2023,01/03/2027,L. Antezana,Universidad Nacional Andrés Bello,FONDECYT,Regular
9,3230271,Audiencias LGBTQ+ chilenas en la era del streaming: interpretaciones y usos de la televisión internacional,01/03/2023,01/03/2026,L. Antezana,Centro de Estudios de la Comunicación,FONDECYT,Postdoctorado
10,ECOS220009,La ficción se viste de historia. Estrategias seriales de formación ciudadana,01/04/2023,01/04/2026,L. Antezana,Decanato,Cooperación Internacional: Proyectos bilaterales,Proyectos de intercambio CONICYT/ECOS-Francia
11,1200108,Formación de audiencias ciudadanas: Adolescentes y telenovelas en tiempos de intolerancia,01/03/2020,01/03/2024,L. Antezana / C. Cabalín,Departamento de Investigaciones Mediáticas y de la Comunicación,FONDECYT,Regular
12,PLU190001,Consumo informativo juvenil en la era digital. Implicancias para el pluralismo y la democracia,01/12/2019,01/12/2020,"L. Antezana / C. Lagos, C. Cabalín",Departamento de Investigaciones Mediáticas y de la Comunicación,Programa Información Científica,Pluralismo en el sistema informativo nacional
13,SOC180015,Center for Advances Studies on Chilean Television,01/07/2018,01/07/2018,L. Antezana / C. Cabalín,Departamento de Investigaciones Mediáticas y de la Comunicación,Programa de Investigación Asociativa,Concurso Anillos en Ciencias Sociales
14,404434,Radiografía a los referentes audiovisuales de adolescentes chilenos,01/03/2017,01/03/2018,L. Antezana,Departamento de Investigaciones Mediáticas y de la Comunicación,Fondos de Cultura,Fondo Audiovisual
15,PLU170003,Fotoperiodismo y conflictividad social. Dimensiones visuales del pluralismo en la prensa chilena,01/09/2017,01/09/2018,O. Aguilera / L. Antezana,Departamento de Estudios Pedagógicos,Programa Información Científica,Pluralismo en el sistema informativo nacional
16,PLU160014,Pluralismo en la Cobertura de Conflictos Ambientales y Laborales de la Gran Minería del Cobre en la Prensa Chilena,01/12/2016,01/12/2016,"K. Palma / L. Antezana, L. Checa, C. Cabalín",Departamento de Investigaciones Mediáticas y de la Comunicación,Programa Información Científica,Pluralismo en el sistema informativo nacional
17,208859,Formación de telespectadores de ficción televisiva nacional: Caracterización y uso docente,01/01/2016,01/01/2017,L. Antezana / C. Cabalín,Departamento de Investigaciones Mediáticas y de la Comunicación,Fondos de Cultura,Fondo Audiovisual
18,1160050,Imágenes de la Memoria: Lecturas generacionales de series de ficción televisiva sobre el pasado reciente de Chile,01/04/2016,01/04/2020,L. Antezana / C. Cabalín,Departamento de Investigaciones Mediáticas y de la Comunicación,FONDECYT,Regular
19,3160239,"Nuevas materialidades en los Andes chilenos: Naturaleza, conflictos y tecnologías de producción minera a través de los museos",01/06/2015,01/06/2015,K. Palma / L. Antezana,Centro de Estudios de la Comunicación,FONDECYT,Postdoctorado
20,PLU150004,"Cuerpos de Reportajes y Pluralismo en la Prensa Chilena: Contenidos, discursos e imágenes en la construcción de la esfera pública política",01/12/2015,01/12/2017,"C. Cabalín / C. Lagos, L. Checa, L. Antezana",Dirección de Pregrado,Programa Información Científica,Pluralismo en el sistema informativo nacional
