,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Larenas, Juan Pablo; Flores, Enrique; Agüero, Ignacio; Villanueva, Julio; Dallaserra, Matías",Intervenciones quirúrgicas mínimamente invasivas complementarias a la ortodoncia quirúrgicamente asistida: Resumen estructurado de evidencia.,2023,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY,/UCH/VID,http://dx.doi.org/10.4067/S2452-55882023000100089,10.4067/S2452-55882023000100089
1,"Antezana L., Cabalin C., Andrada P.",Citizenship and social representations in Chilean telenovelas. A context for the development of youth audiences,2022,COMUNICACION Y SOCIEDAD,SCOPUS/UCH/VID,http://dx.doi.org/10.32870/cys.v2022.8249,10.32870/cys.v2022.8249
2,"Barrios L.A., Abalos C., Lira C.L., Achurra E.S.C.",Nostalgia by an unfinished idea of Chile. The case study of the series Ramona,2021,SERIES: International Journal of TV Serial Narratives,SCOPUS/UCH/VID,http://dx.doi.org/10.6092/issn.2421-454X/12912,10.6092/issn.2421-454X/12912
3,"Barrios, LA",The Invisibilities of Political Torture. Visual Evidence in US and Chilean Cinema and Television,2021,COMUNICACION Y MEDIOS,SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.5354/0719-1529.2021.64138,10.5354/0719-1529.2021.64138
4,"Antezana Barrios, Lorena; Cabalin, Cristian",Ficción televisiva y construcción intergeneracional de memorias sobre el pasado reciente en Chile,2020,ULTIMA DECADA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-22362020000100184,10.4067/S0718-22362020000100184
5,"Barrios, LA; Sepulveda, JPS; Moreno, RS",Pictures to remember. Generational memories about the recent past in Chile,2020,IC-REVISTA CIENTIFICA DE INFORMACION Y COMUNICACION,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.12795/IC.2020.i01.11,10.12795/IC.2020.i01.11
6,"Cabalin C., Antezana L.",Melodrama and public pedagogy: The construction of memory from television fiction,2020,COMUNICACION Y SOCIEDAD,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.32870/CYS.V2020.7362,10.32870/CYS.V2020.7362
7,"Antezana, L; Cabalin, C",Repression and memory. Political violence and fiction in the context of 40 years of the coup in Chile,2020,COMUNICACION Y MEDIOS,SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.5354/0719-1529.2020.55927,10.5354/0719-1529.2020.55927
8,"Antezana, L; Lira, CL",ABORTION IN PHOTOGRAPHS IN CHILEAN DIGITAL MEDIA: disputed representations,2019,BRAZILIAN JOURNALISM RESEARCH,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.25200/BJR.v15n1.2019.1028,10.25200/BJR.v15n1.2019.1028
9,"Barrios, LA; Rosales, M",Communication and Space,2018,COMUNICACION Y MEDIOS,ESCI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.5354/0719-1529.2018.52092,10.5354/0719-1529.2018.52092
