,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,3210370,"La Teoría Procesal Administrativa en el Sistema de Evaluación de Impacto Ambiental en Chile, a propósito de la captura de los órganos con competencia ambiental",01/08/2020,01/08/2020,J. Aranda / F. Soto,Centro de Derecho  Ambiental,FONDECYT,Postdoctorado
1,3200861,"La Teoría Procesal Administrativa en el Sistema de Evaluación de Impacto Ambiental en Chile, a propósito de la captura de los órganos con competencia ambiental",01/01/2020,01/01/2020,J. Aranda / F. Soto,Departamento de Derecho Público,FONDECYT,Postdoctorado
2,ODA_ALC_20_01,Derecho a la Alimentación en la Constitución: fundamentos y conceptos participativos,01/05/2020,01/05/2021,"L. Rodríguez / M. Carroza, J. Aranda, M. Araya, P. Gálvez",Instituto de Salud Poblacional,Otros,Otros
3,UI- 023/19,"Falibilidad de la captura del Estado, a propósito de la Teoría Procesal Administrativa en el Sistema de Evaluación de Impacto Ambiental en Chile",01/08/2021,01/08/2021,J. Aranda,Centro de Derecho  Ambiental,Fondo Central de Investigación,U-INICIA
4,11231233,Tensiones y desafíos del derecho y la regulación ambiental en el contexto de la transición ecológica,01/03/2023,01/03/2026,E. Costa,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
5,ATE230070,"Guidelines for strengthening the participation of individuals, communities, and local governments in climate governance. A proposal for intra- and intergenerational solidarity",01/06/2023,01/06/2023,"E. Costa / M. Fragkou, P. Moraga, R. Sapiains",Centro de Derecho  Ambiental,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
6,295274,EUInvest,01/01/2011,01/01/2011,V. Durán,Departamento de Clínicas Jurídicas,Unión Europea,FP7-PEOPLE-IRSES
7,1100216,Acuerdos multilaterales medioambientales (AMUMA) y su cumplimiento e implementación. Lecciones de dos décadas de experiencia chilena,01/03/2010,01/03/2010,V. Durán,Centro de Derecho  Ambiental,FONDECYT,Regular
8,1090301,Cumplimiento e implementación de tratados ambientales internacionales: Lecciones de la experiencia Chilena 1990-2008.,01/03/2009,01/03/2009,V. Durán,Universidad Católica de Chile,FONDECYT,Regular
9,BIOD_P1,Domeyko en Biodiversidad: Estado de la gobernalidad en materia de preservación y conservación de la biodiversidad: gestión e institucionalidad medioambiental,01/03/2007,01/03/2010,"V. Durán / R. Figueroa, A. Greibe",Centro de Derecho  Ambiental,Fondo Central de Investigación,Programa Domeyko
10,P3_BIODIV,Domeyko Biodiversidad: Analisis de la eficacia del sistema de evaluación de impacto ambiental como instrumento para la conservación de la biodiversidad y elaboración de una propuesta de rediseño,01/03/2007,01/03/2010,"C. Estades / R. Figueroa, C. de la Maza, V. Durán",Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,Programa Domeyko
11,BIOD_P2,Domeyko en Biodiversidad: Diseño de una metodología multidisciplinaria para el cálculo del valor de los bienes y servicios ecosistémicos provistos por la biodiversidad y propuestas de institucionalidad ambiental,01/03/2007,01/03/2010,V. Durán,Gabinete Departamento de Economía,Fondo Central de Investigación,Programa Domeyko
12,SOC 07/30-2,Institucionalidad ambiental y fiscalización,01/03/2007,01/03/2009,V. Durán,Centro de Derecho  Ambiental,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
13,CE,Domeyko en Biodiversidad: Comité Ejecutivo,01/03/2007,01/03/2010,"V. Durán, E. Poulin, C. Estades, R. Figueroa",Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,Programa Domeyko
14,1050212,Consagración del principio precautorio en el derecho y gestión ambiental en Chile ,01/06/2005,01/06/2005,V. Durán,Centro de Derecho  Ambiental,FONDECYT,Regular
15,1030822,"Perfeccionamiento del tratamiento juridico de las sustancias peligrosas en Chile
",01/03/2003,01/03/2003,V. Durán,Centro de Derecho  Ambiental,FONDECYT,Regular
