,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Bannout, MAB; Rodriguez-Osiac, L; Rojas, DE; Espinoza, PG; Ortega, JA",From the constitution to the table. Conversations on the right to feeding,2022,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/s0717-75182022000400007,10.4067/s0717-75182022000400007
1,"Escobar, MBC; Galvez-Espinoza, P; Rodriguez-Osiac, L; Araya, M; Marin, A; Estay-Castro, P; Rojo-Medina, F; Aranda, J",The right to food: What do the constitutions of America and the Caribbean say?,2022,REVISTA CHILENA DE NUTRICION,SCIELO-Chile/ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75182022000200226,10.4067/S0717-75182022000200226
2,"Galvez, P; Carroza, MB; Bannout, MA; Marin, A; Aranda, J; Estay, P; Rojo, F; Rodriguez-Osiac, L",Right to food and COVID-19: A qualitative study of key actors' perceptions in Chile,2021,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182021000600901,10.4067/S0717-75182021000600901
3,"Ortega, JA",STATE CAPTURE FALLIBILITY IN ENVIRONMENTAL IMPACT ASSESSMENT IN CHILE,2019,Revista Direito GV,SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.1590/2317-6172201932,10.1590/2317-6172201932
4,"COSTA CORDELLA, EZIO; SUSAETA HERRERA, NAIARA; KLENNER FORTTES, MAXIMILIANO; LEDESMA ROMERO, JOSÉ",¿RECEPTIVIDAD DELIBERATIVA? EL DERECHO AL MEDIO AMBIENTE EN LA DISCUSIÓN CONSTITUYENTE DE CHILE 2016-2017,2020,REVISTA DE DERECHO (CONCEPCION),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.29393/rd248-16rdec40016,10.29393/rd248-16rdec40016
5,"SOTO BARRIENTOS, FRANCISCO; COSTA CORDELLA, EZIO",Tensiones y desafíos de la participación ciudadana en materia ambiental-,2019,Revista Derecho del Estado,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18601/01229893.n44.09,10.18601/01229893.n44.09
6,Cordella E.C.,"Liability for environmental damage; Chile-Costa Rica, a comparative analysis",2018,Boletin Mexicano de Derecho Comparado,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.22201/iij.24484873e.2018.152.12915,10.22201/iij.24484873e.2018.152.12915
7,Cordella E.C.,"Public Interest Regulation? the Polluter-Pays Principle in Environmental Impact Assessments: A Case of ""bipolar"" Regulatory Failure",2018,Environmental Policy and Law,SCOPUS/UCH/VID,http://dx.doi.org/10.3233/EPL-170037,10.3233/EPL-170037
8,"Cordella, EC",DIAGNOSIS FOR A CHANGE: CHILEAN WATER REGULATION DILEMMA'S,2016,REVISTA CHILENA DE DERECHO,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-34372016000100014,10.4067/S0718-34372016000100014
9,"Costa Cordella, Ezio",Los Tribunales Administrativos especiales en Chile,2014,REVISTA DE DERECHO (VALDIVIA),SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-09502014000100007,10.4067/S0718-09502014000100007
10,Medina V.D.,Mandatory environmental law,2021,REVISTA DE DERECHO AMBIENTAL SANTIAGO,SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0719-4633.2021.65921,10.5354/0719-4633.2021.65921
11,Medina V.D.,University of Chile is not neutral with respect to environmental democracy and sustainable development,2020,REVISTA DE DERECHO AMBIENTAL SANTIAGO,SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0719-4633.2020.60654,10.5354/0719-4633.2020.60654
12,"Harrington A., Duran V.","Principles of inter-generational equity, public participation and good governance in the inter American Development Bank's oversight mechanism",2017,Sustainable Development Principles in the Decisions of International Courts and Tribunals: 1992-2012,SCOPUS/UCH/VID,,
13,"Ibarra, C; Jimenez, G; O'Ryan, R; Blanco, G; Cordero, L; Insunza, X; Moraga, P; Rojas, M; Sapiains, R",Scientists and climate governance: A view from the South,2022,ENVIRONMENTAL SCIENCE & POLICY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.envsci.2022.09.012,10.1016/j.envsci.2022.09.012
14,"Vega L.C., Corvalán X.I.",Citizen participation in air pollution plans. An assessment without romance,2021,REVISTA DE DERECHO AMBIENTAL SANTIAGO,SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0719-4633.2021.58361,10.5354/0719-4633.2021.58361
15,Vásquez B.L.,Recensiones,2016,REVISTA DE DERECHO (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-09502016000200018,10.4067/S0718-09502016000200018
16,"Moraga Sariego, Pilar",Constitución Ecológica. Aprendizaje del proceso constituyente chileno,2022,REVISTA DE DERECHO AMBIENTAL SANTIAGO,/UCH/VID,http://dx.doi.org/10.5354/0719-4633.2022.69139,10.5354/0719-4633.2022.69139
