,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1170767,Análisis crítico al procedimiento de creación de Planes de Prevención y/o Descontaminación Ambiental: insuficiente participación ciudadana y ausencia de evaluación regulatoria ,01/04/2017,01/04/2020,"L. Cordero / X. Insunza, F. Agüero, F. Soto",Departamento de Derecho Público,FONDECYT,Regular
1,1161443,Procedimiento de creación de normas: planes de prevención y descontaminación ambiental,01/06/2015,01/06/2015,"L. Cordero / F. Soto, F. Agüero",Departamento de Derecho Público,FONDECYT,Regular
2,15150013,"Atmospheric interdisciplinary research centre, Aire Centre",01/01/2015,01/01/2015,"M. Prendez / C. Cerda, F. Agüero, D. Cáceres, M. Acuña, M. Leiva",Departamento de Química Orgánica y Físico Química,FONDAP,Programa FONDAP
3,1241075,Hacia una doctrina de las transiciones legales para abordar las cargas y beneficios derivados de los cambios legales en el Derecho Constitucional chileno,01/07/2023,01/07/2023,J. Valdivia,,FONDECYT,Regular
4,1230649,Hacia una doctrina de las transiciones legales para abordar las cargas y beneficios derivados de los cambios legales en el Derecho Constitucional chileno,01/07/2022,01/07/2022,J. Valdivia,UDP. Facultad de Derecho,FONDECYT,Regular
5,1221645,La responsabilidad por falta de servicio en contextos específicos,01/04/2022,01/04/2025,J. Valdivia,Departamento de Derecho Público,FONDECYT,Regular
6,1211125,Las sentencias de condena en el derecho administrativo chileno,01/08/2020,01/08/2020,J. Valdivia,Departamento de Derecho Público,FONDECYT,Regular
7,1211516,Hacia una dogmática de los mecanismos de transiciones legales en el Derecho Público Económico chileno,01/08/2020,01/08/2020,J. Valdivia,UDP. Universidad Diego Portales,FONDECYT,Regular
8,1201062,Los regalos regulatorios: Concepto y exigencias constitucionales para su otorgamiento,01/08/2019,01/08/2019,J. Valdivia,UDP. Universidad Diego Portales,FONDECYT,Regular
9,1201059,Las sentencias de condena en el derecho administrativo chileno,01/08/2019,01/08/2019,J. Valdivia,Departamento de Derecho Público,FONDECYT,Regular
10,1191406,Las sentencias de condena en el derecho administrativo chileno,01/08/2018,01/08/2018,J. Valdivia,Centro de Regulación y Competencia (REGCOM),FONDECYT,Regular
11,1181619,Las sentencias de condena en el derecho administrativo chileno,01/07/2017,01/07/2017,J. Valdivia,Centro de Regulación y Competencia (REGCOM),FONDECYT,Regular
