,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1230036,"El trabajo sexual como problema de justicia social: análisis desde las nociones de redistribución, reconocimiento y participación",01/03/2023,01/03/2026,P. Aguayo,Departamento de Ciencias del Derecho,FONDECYT,Regular
1,1220443,"Prostitución y trabajo sexual como problemas de justicia social: un análisis desde las nociones de redistribución, reconocimiento y participación",01/08/2021,01/08/2021,P. Aguayo / F. Carbonell,Departamento de Ciencias del Derecho,FONDECYT,Regular
2,11170230,Bases sociales del autorrespeto como métrica de la justicia social: una aproximación desde la teoría de la justicia de John Rawls,01/10/2017,01/10/2020,P. Aguayo,Departamento de Ciencias del Derecho,FONDECYT,Iniciación en Investigación
3,11160022,Bases sociales del autorrespeto como métrica de la justicia social: una aproximación desde la teoría de la justicia de John Rawls,01/06/2016,01/06/2016,P. Aguayo,Departamento de Ciencias del Derecho,FONDECYT,Iniciación en Investigación
4,1161573,"Pluralismo, metafilosofía del derecho y el ocultamiento de lo normativo",01/06/2015,01/06/2015,"M. Orellana / P. Aguayo, C. Peña",Departamento de Ciencias del Derecho,FONDECYT,Regular
5,11230591,La institucionalidad jurídica del Banco Central chileno: un análisis de sus transformaciones desde el derecho (constitucional) y la economía política,01/03/2023,01/03/2026,P. Ahumada,Departamento de Ciencias del Derecho,FONDECYT,Iniciación en Investigación
6,11221075,La institucionalidad jurídica del Banco Central chileno: una aproximación teórica desde el derecho y la economía política,01/05/2021,01/05/2021,P. Ahumada,Departamento de Ciencias del Derecho,FONDECYT,Iniciación en Investigación
7,3190796,El orden constitucional y monetario: Un análisis del caso chileno,01/10/2018,01/10/2018,P. Ahumada / D. Pardow,Departamento de Derecho Económico,FONDECYT,Postdoctorado
8,1180973,"Para ""gozar"" de la libertad: demandas judiciales por libertad de indios, negros y sus descendientes. El caso de la Capitanía General de Chile (1608-1823)",01/07/2017,01/07/2017,C. González / A. Argouse,Departamento de Ciencias Históricas,FONDECYT,Regular
9,11150817,"Materialidad de una cultura jurídica. Circuitos y usos sociales del papel sellado, Chile, 1640-1817",01/11/2015,01/11/2018,A. Argouse,Centro de Estudios Culturales Latinoamericanos,FONDECYT,Iniciación en Investigación
10,3130658,"Voluntad y promesa en las prácticas de intercambio. Santiago de Chile, segunda mitad del siglo XVII",01/10/2012,01/10/2015,A. Argouse / J. Martínez,Centro de Estudios Culturales Latinoamericanos,FONDECYT,Postdoctorado
11,1240496,El Poder Constituyente como Magnitud Política,01/07/2023,01/07/2023,F. Atria,Departamento de Ciencias del Derecho,FONDECYT,Regular
12,1190014,Posesión y propiedad: la emergencia de la normatividad desde la facticidad,01/04/2019,01/04/2023,F. Atria,Departamento de Ciencias del Derecho,FONDECYT,Regular
13,SOC180024,Representation and Political Representation,01/07/2018,01/07/2018,F. Atria,UAI. Facultad de Derecho,Programa de Investigación Asociativa,Concurso Anillos en Ciencias Sociales
14,1180630,"La detentación material como una solución a la encrucijada de la teoría de la posesión inscrita, por una parte, y el régimen de acciones por la otra",01/07/2017,01/07/2017,F. Atria,Otras Instituciones,FONDECYT,Regular
15,1181587,La evolución del concepto de propeidad desde 1964,01/07/2017,01/07/2017,F. Atria,Departamento de Ciencias del Derecho,FONDECYT,Regular
16,1170727,"Evolución de la propiedad en el derecho chileno, 1964-1973",01/09/2016,01/09/2016,F. Atria / M. Salah,Departamento de Ciencias del Derecho,FONDECYT,Regular
17,1011066,"Estudio crítico y comparado del Sistema de Justicia Constitucional
",01/03/2001,01/03/2001,"F. Atria, A. Jana",Decanato,FONDECYT,Regular
18,1101043,Estética de lo fantástico y quiebres espitémicos en narrativa chilena y argentina,01/03/2010,01/03/2013,"A. Bobenrieth, C. Oyarzún",U. Católica de Valparaiso,FONDECYT,Regular
19,1191194,Universalidad y singularidad en el mundo virreinal. elementos para una filosofía del derecho indiano,01/04/2019,01/04/2023,B. Bravo,Universidad de los Andes,FONDECYT,Regular
20,1161160,"El juez en materia penal. Del arbitrio judicial al legalismo moderado, desde la codoficación austríaca de Zeiller de 1803 a las reglas de procedimiento y prueba del estatuto de Roma de 1998",01/06/2015,01/06/2015,B. Bravo,Departamento de Ciencias del Derecho,FONDECYT,Regular
21,1150561,El modelo indiano de racionalidad jurídica y política,01/03/2015,01/03/2019,B. Bravo,Universidad de los Andes,FONDECYT,Regular
22,13220021,Desafíos a la normatividad jurídica en la emergencia de un dispositivo transhumanista,01/09/2022,01/09/2022,R. Camargo,Departamento de Ciencias del Derecho,Fondecyt_Anid,Proyectos de Exploración
23,1211788,"Port Cities and territories in global supply chain capitalism: Crisis, challenges and possible futures",01/08/2020,01/08/2020,R. Camargo,Universidad Austral De Chile,FONDECYT,Regular
24,1211763,Un análisis genealógico de la recepción de las neurociencias en el derecho penal chileno,01/03/2021,01/03/2024,R. Camargo / R. Lorca,Departamento de Ciencias del Derecho,FONDECYT,Regular
25,1170940,"Biopolítica molecular: dimensiones políticas, jurídicas y éticas de los ¿marcadores biológicos¿ ",01/04/2017,01/04/2020,R. Camargo,Departamento de Ciencias del Derecho,FONDECYT,Regular
26,1140901,"Hacia una genealogía del poder farmacológico
",01/03/2014,01/03/2017,R. Camargo,Departamento de Ciencias del Derecho,FONDECYT,Regular
27,3120086,"Liderazgos y organizaciones políticas indígenas y su influencia en los procesos de empoderamiento y autonomía decisional de los pueblos indígenas en las regiones de Arica - Parinacota y Tarapacá, Chile.",01/03/2012,01/03/2012,M. Castro,Departamento de Ciencias del Derecho,FONDECYT,Postdoctorado
28,3110093,Estrategias etnopolíticas del pueblo aymara en el norte de Chile: empoderamiento delmovimiento indígena tras la aprobación del Convenio 169 de la Organización Internacional del Trabajo (OIT) y la Declaraci´n de Derechos de los Pueblos Indígenas.,01/03/2011,01/03/2011,M. Castro,Departamento de Ciencias del Derecho,FONDECYT,Postdoctorado
29,1080177,Cambios en el derecho ancestral del agua y los efectos en la gestión comunal del recurso,01/03/2008,01/03/2008,M. Castro,Departamento de Ciencias del Derecho,FONDECYT,Regular
30,IT1_BIOD_01,Domeyko en Biodiversidad: Desarrollo de una propuesta de manejo de las cuencas altiplánicas para la conservación de la biodiversidad,01/03/2007,01/03/2010,"R. Figueroa, I. Vila, M. Castro, E. Poulin, M. Méndez",Departamento de Ingeniería Civil,Fondo Central de Investigación,Programa Domeyko
31,1950345,"Vegas, bofedales y pastoreo en el área andina de la II región",01/03/1995,01/03/1997,M. Castro,Departamento de Antropología,FONDECYT,Regular
32,S1640-8312,,31/12/1983,31/12/1985,M. Castro,,CONCURSOS ESPECIFICOS DE INVESTIGACION,DTI
33,11240873,Sobre la interpretación de textos jurídicos. Desafíos para los debates actuales,01/05/2023,01/05/2023,M. Chahuán,Departamento de Ciencias del Derecho,FONDECYT,Iniciación en Investigación
