,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1970192,La protección de la libertad de las personas en el derecho penal Chileno: balance critico y perspectivas,01/03/1997,01/03/1999,A. Bascuñán,Departamento de Ciencias Penales,FONDECYT,Regular
1,1240436,Comisiones de libertad condicional: entre la reinserción social y las demandas de seguridad ciudadana,01/07/2023,01/07/2023,"Ã. Castro / L. Contreras, G. Espinoza",Departamento de Ciencias Penales,FONDECYT,Regular
2,1210463,Hacia una superación de las limitaciones del Derecho penal chileno para hacer responsables como autores a los órganos superiores de las empresas,01/03/2021,01/03/2024,L. Contreras / Ã. Castro,Departamento de Ciencias Penales,FONDECYT,Regular
3,ID21I10255,Prototipo de gestión integrada para una reinserción social eficaz,01/09/2021,01/09/2023,"G. Sanhueza / Ã. Castro, R. Weber, M. Urquieta, T. Matus",Departamento de Trabajo Social,FONDEF,IDEA
4,1201366,Evaluación político criminal de la legislación penal chilena desde la Reforma Procesal Penal,01/08/2019,01/08/2019,"C. González, Ã. Castro",Universidad Austral De Chile,FONDECYT,Regular
5,11190355,El principio de Especialidad en la ejecución de la sanción de régimen cerrado de adolescentes. Entre el discurso y la realidad,01/10/2019,01/10/2022,Ã. Castro,Departamento de Ciencias Penales,FONDECYT,Iniciación en Investigación
6,11180209,El principio de especialidad en la ejecución de la sanción de régimen cerrado de adolescentes. Entre el discurso y la realidad,01/05/2018,01/05/2018,Ã. Castro,Centro de Estudios de la Justicia,FONDECYT,Iniciación en Investigación
7,UI_2018_14,Inspecciones carcelarias en Chile. Rol de la Fiscalía Judicial de la Corte Suprema a la luz del modelo de inspectoría de prisiones inglés,01/07/2018,01/07/2018,Ã. Castro,Centro de Estudios de la Justicia,Fondo Central de Investigación,U-INICIA
8,11170404,Las comisiones interinstitucionales de supervisión de centros privativos de libertad de adolescentes como mecanismo de protección de derechos,01/06/2017,01/06/2017,Ã. Castro,Centro de Estudios de la Justicia,FONDECYT,Iniciación en Investigación
9,11160068,Mecanismos de protección de derechos para los privados de libertad diseñados para monitorear las condiciones estructurales del sistema penitenciario chileno y comparado,01/06/2016,01/06/2016,Ã. Castro,Centro de Estudios de la Justicia,FONDECYT,Iniciación en Investigación
10,11150448,"Ejecución de la sanción privativa de libertad. Análisis normativo a la luz del derecho internacional y derecho alemán
",01/06/2015,01/06/2015,Ã. Castro,Decanato,FONDECYT,Iniciación en Investigación
11,1240436,Comisiones de libertad condicional: entre la reinserción social y las demandas de seguridad ciudadana,01/07/2023,01/07/2023,"Ã. Castro / L. Contreras, G. Espinoza",Departamento de Ciencias Penales,FONDECYT,Regular
12,1210463,Hacia una superación de las limitaciones del Derecho penal chileno para hacer responsables como autores a los órganos superiores de las empresas,01/03/2021,01/03/2024,L. Contreras / Ã. Castro,Departamento de Ciencias Penales,FONDECYT,Regular
13,11160021 ,La determinación del deber de cuidado en los delitos culposos de resultado,01/10/2016,01/10/2019,L. Contreras,Departamento de Ciencias Penales,FONDECYT,Iniciación en Investigación
14,1211319,La tipificación chilena del delito de tortura (Ley Nº 20.968 de 22 de noviembre de 2016). Algunas cuestiones problemáticas,01/08/2020,01/08/2020,C. Cárdenas,Departamento de Ciencias Penales,FONDECYT,Regular
15,1200364,Cuestiones relativas al tipo penal de tortura en el derecho chileno,01/08/2019,01/08/2019,C. Cárdenas,Departamento de Ciencias Penales,FONDECYT,Regular
16,1191236,Cuestiones relativas al tipo penal de tortura en el derecho chileno,01/08/2018,01/08/2018,C. Cárdenas,Departamento de Ciencias Penales,FONDECYT,Regular
17,1161654,¿Responsabilidad de proteger para terceros ante catástrofes humanitarias? Implicancias de invocarla para la jurisdicción penal internacional y para el derecho que regula las operaciones de paz,01/06/2015,01/06/2015,C. Cárdenas / X. Fuentes,Gabinete Centro DDHH,FONDECYT,Regular
