,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Bascuñán Rodríguez, Antonio",La formación de lex tertia: una defensa diferenciada,2019,POLITICA CRIMINAL,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-33992019000100173,10.4067/S0718-33992019000100173
1,"Bascunan, A",Recent case law about the right to die,2016,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872016000400009,10.4067/S0034-98872016000400009
2,Díaz G.B.,El Quebrantamiento de condena en la Ley de Responsabilidad Penal del Adolescente,2022,POLITICA CRIMINAL,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-33992022000100086,10.4067/S0718-33992022000100086
3,Diaz G.B.,La ley de responsabilidad penal del adolescente como sistema de justicia: Análisis y propuestas,2011,POLITICA CRIMINAL,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-33992011000100006,10.4067/S0718-33992011000100006
4,"Contreras Chaimovich, Lautaro; Castro Morales, Álvaro",Indirect Perpetration through Organized Power Structures and Co-Perpetration in the Corporate Sphere: A Solution to the Limitations of Chilean Law to Punish the Management Bodies of Companies as Authors?,2022,DERECHO PUCP,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18800/derechopucp.202202.011,10.18800/derechopucp.202202.011
5,"Castro Morales, Álvaro",The right to a specialized execution: Normative and jurisprudential analysis of the closed regime sanction in the Chilean youh criminal law,2022,POLITICA CRIMINAL,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-33992022000200506 ,10.4067/S0718-33992022000200506 
6,"Castro-Morales Á., Cortés-Olmedo J., Purán-Rosas V., Sanhueza G.E.",Chile,2022,The Impact of Covid-19 on Prison Conditions and Penal Policy,SCOPUS/UCH/VID,,
7,"Morales, AC",Special treatment in the execution of the penalty of deprivation of liberty for juveniles in the field of international human rights law and dogmatic,2021,DERECHO PUCP,SCOPUS/ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18800/DERECHOPUCP.202101.008,10.18800/DERECHOPUCP.202101.008
8,"Morales Á.C., Sanhueza G.E., Purán V., Cortes J.",Judicial prosecutor: Possibilities and limitations in its role as prison inspector,2020,POLITICA CRIMINAL,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-33992020000200871,10.4067/S0718-33992020000200871
9,"Morales, AC",Adult Prison Law in Germany: Analysis of State Laws in the Light of the Federal Law of 1976 and German Federal Constitutional Court's (BVerfG) Case Law,2019,DERECHO PUCP,SCOPUS/ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18800/derechopucp.201901.010,10.18800/derechopucp.201901.010
10,"Salinero Echeverría, Sebastián; Morales Peillard, Ana María; Castro Morales, Álvaro","Análisis comparado y crítico de las alternativas a las penas privativas de libertad. La experiencia española, inglesa y alemana",2017,POLITICA CRIMINAL,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-33992017000200786,10.4067/S0718-33992017000200786
11,"Singh J.C., Álvarez D.P.",Nature and sense of impeachment: A bidimensional approach,2022,IUS ET PRAXIS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-00122022000200182,10.4067/S0718-00122022000200182
12,"Contreras Chaimovich, Lautaro; Castro Morales, Álvaro",Indirect Perpetration through Organized Power Structures and Co-Perpetration in the Corporate Sphere: A Solution to the Limitations of Chilean Law to Punish the Management Bodies of Companies as Authors?,2022,DERECHO PUCP,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18800/derechopucp.202202.011,10.18800/derechopucp.202202.011
13,Chaimovich L.C.,Principle of legality in criminal law and crimes of negligent homicide and injuries,2021,POLITICA CRIMINAL,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-33992021000100164,10.4067/S0718-33992021000100164
14,"Contreras Chaimovich, Lautaro",La atribución de responsabilidad individual por el delito ambiental del art. 291 del Código Penal cometido en el seno de organizaciones empresariales,2020,REVISTA DE DERECHO (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-09502020000200319,10.4067/S0718-09502020000200319
15,"Contreras Chaimovich, Lautaro",La autorización administrativa como pauta para determinar la conducta típica en los delitos culposos de homicidio y lesiones: una cuestión de orden primario de comportamiento ejemplificada a través del otorgamiento de registros sanitarios,2019,POLITICA CRIMINAL,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-33992019000200411,10.4067/S0718-33992019000200411
16,Contreras C.L.,La prohibición de colocar en el mercado productos que sean peligrosos en caso de utilización conforme a su finalidad o racionalmente previsible,2019,IUS ET PRAXIS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-00122019000200019,10.4067/S0718-00122019000200019
17,"Chaimovich, LCC",The principle of reliance as a criterion for delimiting the criminal responsibility of physicians,2019,ACTA BIOETHICA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S1726-569X2019000100035,10.4067/S1726-569X2019000100035
18,"Contreras Chaimovich, Lautaro",Reglas extrajurídicas y creaciones de riesgos toleradas o desaprobadas en los delitos culposos de homicidio y lesiones,2018,POLITICA CRIMINAL,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-33992018000100387,10.4067/S0718-33992018000100387
19,"Contreras Chaimovich, Lautaro",La posición de garante del fabricante en el Derecho penal alemán,2017,POLITICA CRIMINAL,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-33992017000100001,10.4067/S0718-33992017000100001
20,"Contreras Chaimovich, Lautaro","La responsabilidad penal del fabricante por la infracción de sus deberes de vigilancia, advertencia y retirada",2015,POLITICA CRIMINAL,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-33992015000100009,10.4067/S0718-33992015000100009
21,"Aravena, CC",Why Punish Perpetrators of Mass Atrocities?,2021,JOURNAL OF INTERNATIONAL CRIMINAL JUSTICE,ISI/UCH/VID,http://dx.doi.org/10.1093/jicj/mqab002,10.1093/jicj/mqab002
22,"Cárdenas Aravena, Claudia",El ataque contra una población civil en la práctica de la Corte Penal Internacional,2021,REVISTA DE DERECHO (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-09502021000100297,10.4067/S0718-09502021000100297
23,"Cárdenas Aravena, Claudia Marcela",¿Qué actos pueden constituir un ataque contra una población civil en la tipificación de crímenes de lesa humanidad de la ley nº 20.357?,2020,REVISTA DE DERECHO (VALPARAISO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-68512020000200131,10.4067/S0718-68512020000200131
24,"Cárdenas Aravena, Claudia","Los crímenes de lesa humanidad en el derecho chileno y en el derecho internacional: Sus requisitos comunes, además de referencias a los actos inhumanos en particular",2014,REVISTA DE DERECHO (VALDIVIA),SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-09502014000200008,10.4067/S0718-09502014000200008
25,Cárdenas Avavena Claudia,La aplicabilidad del derecho internacional por tribunales chilenos para interpretar la Ley N° 20.357,2013,REVISTA DE DERECHO (COQUIMBO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-97532013000200005,10.4067/S0718-97532013000200005
