,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Sferrazza Taibi, Pietro; Bustos Bustos, Francisco",La constitucionalizacio´n del derecho de toda persona a no ser sometida a desaparición forzada,2022,ESTUDIOS CONSTITUCIONALES,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-52002022000300157,10.4067/S0718-52002022000300157
1,"Cruzat B.R., Bustos F.B.",Forced displacement as a result of Climate Change:New challenges for International Refugee Law,2020,REVISTA DE DERECHO AMBIENTAL SANTIAGO,SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0719-4633.2020.54250,10.5354/0719-4633.2020.54250
2,"Carvacho P., Arriagada I., Cofré L.",Access to justice: A conceptual review of its components,2022,ONATI SOCIO-LEGAL SERIES,SCOPUS/UCH/VID,http://dx.doi.org/10.35295/OSLS.IISL/0000-0000-0000-1220,10.35295/OSLS.IISL/0000-0000-0000-1220
3,"Cofre, L",Building participatory institutions in Latin America: reform coalitions and institutional change,2021,DEMOCRATIZATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/13510347.2020.1845655,10.1080/13510347.2020.1845655
4,"Sapiains, R; Azocar, G; Moraga, P; Valenzuela, C; Aldunce, P; Cornejo, C; Rojas, M; Pulgar, A; Medina, L; Bozkurt, D",Are Citizens Ready for Active Climate Engagement or Stuck in a Game of Blame? Local Perceptions of Climate Action and Citizen Participation in Chilean Patagonia,2022,SUSTAINABILITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/su141912034,10.3390/su141912034
5,"CORNEJO MARTÍNEZ, CAMILO; LINAZASORO ESPINOZA, IZASKUN",ANÁLISIS DE LA CAUSALIDAD EN LAS SENTENCIAS DE RESPONSABILIDAD POR DAÑO AMBIENTAL ANTE LOS TRIBUNALES AMBIENTALES,2022,REVISTA DE DERECHO (CONCEPCION),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.29393/rd251-7accc10007,10.29393/rd251-7accc10007
6,"Sariego, PM; Martinez, CC","Chile Judgment of the Supreme Court in the case ""Gallardo with Anglo American Sur S. A."", Rol N degrees 72.198-2020, of 18 January 2021: Recognition of the Human Right to Water",2021,ACTUALIDAD JURIDICA AMBIENTAL,ESCI/UCH/VID,,
7,Martínez C.C.,Plastic waste reduction in Chile: Elements to deepen our regulation,2020,REVISTA DE DERECHO AMBIENTAL SANTIAGO,SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0719-4633.2020.54188,10.5354/0719-4633.2020.54188
8,"Arancibia Obrador, María; Cornejo Aguilera, Pablo",El Derecho de familia en Chile: Evolución y nuevos desafíos,2014,IUS ET PRAXIS,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-00122014000100011 ,10.4067/S0718-00122014000100011 
9,"Aguilera, PC",INCENTIVES FOR THE CONSERVATION AND LIABILITY RULES: THE LIABILITY OF THE BUILDING'S OWNER FOR THE DAMAGES CAUSED BY ITS COLLAPSE.,2012,REVISTA CHILENA DE DERECHO,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-34372012000100003,10.4067/S0718-34372012000100003
10,"Beltran, SC",OAS Model Law and UNCITRAL Model Law: a Chilean view,2022,UNIFORM LAW REVIEW,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/ulr/unac022,10.1093/ulr/unac022
11,"Domínguez Valverde, Cecilia",Chilean migration law under international migration law: do the minimum human rights give in to the immigration control sovereign prerogatives?,2016,REVISTA CHILENA DE DERECHO,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-34372016000100009,10.4067/S0718-34372016000100009
12,"Soto Barrientos, Francisco; Ejsmentewicz Cáceres, Daniela; Riveros Wittwer, Francisca",El tratamiento constitucional de los desastres socio-naturales: antecedentes y desafíos ante el debate constituyente en Chile,2022,ESTUDIOS CONSTITUCIONALES,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-52002022000100081,10.4067/S0718-52002022000100081
13,"Easton, GV; Contardo, JI; Tello, SP; Caceres, DE; Yanez, CJ","Misleading urbanization? The San Ramon fault as a new seismic risk scenario and the sustainability of Santiago, Chile",2018,REVISTA DE URBANISMO,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0717-5051.2018.48216,10.5354/0717-5051.2018.48216
14,Lama Gálvez B.,NON-EXISTENCE and NULLITY in CHILEAN LAW,2021,Actualidad Juridica Iberoamericana,SCOPUS/UCH/VID,,
15,"Galvez, TL",OLDERS WORKERS AND ACTIVE WORKING AGING,2020,REVISTA BOLIVIANA DE DERECHO,ESCI/UCH/VID,,
16,Molina C.L.,THE AUTONOMY OF THE WILL IN THE FIELD OF FAMILY LAW,2022,Actualidad Juridica Iberoamericana,SCOPUS/UCH/VID,,
17,Lepin Molina C.,Legal effects of non-marital unions in chilean law,2019,Actualidad Juridica Iberoamericana,SCOPUS/UCH/VID,,
18,"Molina, CL",Evolution of women's civil rights under Chilean law (1855-2015),2016,REVISTA BOLIVIANA DE DERECHO,SCIELO-otros paises /ESCI/UCH/VID,,
19,"Lepin Molina, Cristián",LOS NUEVOS PRINCIPIOS DEL DERECHO DE FAMILIA,2014,REVISTA CHILENA DE DERECHO PRIVADO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-80722014000200001 ,10.4067/S0718-80722014000200001 
20,Molina C.L.,The principle of protection of the weaker spouse in modern family law,2013,REVISTA CHILENA DE DERECHO,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-34372013000200007,10.4067/S0718-34372013000200007
