,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1211250,Hacía una teoría general de la affectio societatis en el contrato de sociedad,01/08/2020,01/08/2020,"I. Araya, M. Gomez de la Torre",Otras Instituciones,FONDECYT,Regular
1,1212048,La integración normativa de la cláusula general de competencia desleal,01/08/2020,01/08/2020,I. Araya,Universidad de los Andes,FONDECYT,Regular
2,1211347,Estudio crítico de la sucesión de empresas en el sistema laboral chileno. Una cuestión necesaria en tiempos de crisis,01/03/2021,01/03/2024,I. Araya,Universidad de los Andes,FONDECYT,Regular
3,1201126,Los derechos fundamentales de los trabajadores frente a la sucesión de empresas,01/07/2019,01/07/2019,I. Araya,Universidad de los Andes,FONDECYT,Regular
4,1201422,"Hacia una teoría general de la ""Afectio Societatis"" en el contrato de sociedad",01/08/2019,01/08/2019,"M. Gomez de la Torre, I. Araya",Otras Instituciones,FONDECYT,Regular
5,1191144,Los derechos fundamentales de los trabajadores frente a la sucesión de empresas,01/08/2018,01/08/2018,I. Araya,Universidad de los Andes,FONDECYT,Regular
6,1190509,Hacia una teoría general de la affectio societatis en el contrato de sociedad,01/08/2018,01/08/2018,"M. Gomez de la Torre, I. Araya",Otras Instituciones,FONDECYT,Regular
7,1240234,"La interpretación de las reglas relativas a la insolvencia transfronteriza a la luz de los principios del ""universalismo modificado""",01/07/2023,01/07/2023,G. Caballero,,FONDECYT,Regular
8,1231746,Vínculos constituyentes. Lineamientos para pensar la vida en común en medio de la tensión política instituciones y los movimientos sociales,01/08/2022,01/08/2022,G. Caballero,UACH Inst. de Cs. Sociales,FONDECYT,Regular
9,1220200,Una propuesta de filosofía política desde Ferdinand Tönnies. Lineamientos para pensar la vida en común en medio de la tensión política del derecho y los movimientos sociales,01/08/2021,01/08/2021,G. Caballero,Departamento de Ciencias del Derecho,FONDECYT,Regular
10,1211703,Una propuesta de filosofía política desde Ferdinand Tönnies. Lineamientos para pensar la vida en común en medio de la tensión política del derecho y los movimientos sociales,01/08/2020,01/08/2020,G. Caballero,Departamento de Ciencias del Derecho,FONDECYT,Regular
11,1200781,La liquidación de una sociedad de responsabilidad limitada como un problema de tipicidad societaria,01/03/2020,01/03/2023,G. Caballero,Departamento de Derecho Comercial,FONDECYT,Regular
12,1201972,"Las ""acciones reivindicatorias especiales"" y el régimen de sus prestaciones accesorias",01/08/2019,01/08/2019,G. Caballero,Universidad Católica de Chile,FONDECYT,Regular
13,1190924,La liquidación de una sociedad de responsabilidad limitada como un problema de tipicidad societaria,01/08/2018,01/08/2018,G. Caballero,Departamento de Derecho Comercial,FONDECYT,Regular
14,1181091,Los imprecisos efectos de la disolución societaria,01/07/2017,01/07/2017,G. Caballero,Departamento de Derecho Comercial,FONDECYT,Regular
15,1170230,La disolución societaria,01/09/2016,01/09/2016,G. Caballero,Departamento de Derecho Comercial,FONDECYT,Regular
16,ANSOC-01,"Tratamiento de datos y transparencia de la información pública. Modelos para el desarrollo del gobierno electrónico en Chile
",01/03/2007,01/03/2007,A. Prado / L. Donoso,Departamento de Derecho Comercial,Programa Bicentario de Ciencia y Tecnología,Anillos en Ciencias Sociales
17,SOC 05/14-1,"El Mercado de datos personales patrimoniales en Chile. Análisis empírico y normativo
",01/07/2005,01/07/2006,A. Prado,Departamento de Derecho Comercial,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
18,ID21I10145,Plataforma informática basada en inteligencia artificial de apoyo al desarrollo de procesos deliberativos para el Congreso Nacional,01/04/2021,01/04/2021,"F. Soto / D. Álvarez, J. Velásquez",Departamento de Derecho Público,FONDEF,IDEA
19,SOC-13/04,Limitaciones y excepciones al derecho de autor en el entorno digital,01/03/2004,01/03/2004,"A. Cerda / R. Moya, D. Álvarez",Centro de Estudios en Derecho Informatico,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
