,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Balmaceda-Hoyos, Gustavo; Araya - Paredes, Ignacio",Engaño en la estafa: a place in the scenario,2009,Estudios Socio-Juridicos,SCIELO-otros paises /UCH/VID,,
1,Caballero Germain G.,Self-executable remedies of the Convention on International Interests in Mobile Equipment in the light of Chilean constitutional court case law on due process guarantees,2022,UNIFORM LAW REVIEW,SCOPUS/UCH/VID,http://dx.doi.org/10.1093/ulr/unac011,10.1093/ulr/unac011
2,"Germain, GC",SUB-PARTICIPATION: AN UNCORPORATED PARTNERSHIP CASE IN THE CIVIL CODE,2022,REVISTA CHILENA DE DERECHO,ISI/SCIELO-Chile/UCH/VID,,
3,"Germain, GC; Bellolio, FC; Masle, JL; Oyarzun, TV",Medición remota de la velocidad lectora en estudiantes de derecho: Una contribución a la racionalización de la carga académica,2021,Revista Pedagogia Universitaria y Didactica del Derecho,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5354/0719-5885.2021.64735,10.5354/0719-5885.2021.64735
4,"Germain G.C., Donoso D.I.",The unpublished manuscripts by José Gabriel ocampo on the title ¿on partnership¿ in the civil code project of 1853,2021,REVISTA DE ESTUDIOS HISTORICO-JURIDICOS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-54552021000100803,10.4067/S0716-54552021000100803
5,"Caballero-Germain, Guillermo; Goldenberg-Serrano, Juan Luis",LOS EFECTOS DE LA EXTINCIÓN DE LOS SALDOS INSOLUTOS EN EL CONCURSO SOBRE LAS GARANTÍAS OTORGADAS POR TERCEROS,2021,REVISTA CHILENA DE DERECHO PRIVADO,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-80722021000100041,10.4067/S0718-80722021000100041
6,"Germain, GC; Pardow, D",Less is More: Analysis of The Practices on the Incorporation and Corporate Governance of Limited Liability Companies in Chile,2020,REVISTA DE DERECHO PRIVADO,ESCI/SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18601/01234366.n39.12,10.18601/01234366.n39.12
7,"Caballero Germain, Guillermo; Espada Mallorquín, Susana",El concurso post mortem de la herencia,2020,REVISTA DE DERECHO (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-09502020000100097,10.4067/S0718-09502020000100097
8,"Caballero Germain, Guillermo",Sobreendeudamiento y exoneración legal de los saldos insolutos en el procedimiento concursal del consumidor,2018,IUS ET PRAXIS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-00122018000300133,10.4067/S0718-00122018000300133
9,"Germain, GC; Salazar, JL",Appraisal Right as a Tool for Corporate Governance: Critical Review of the Chilean Case,2018,REVISTA DE DERECHO PRIVADO,SCOPUS/ESCI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18601/01234366.n35.08,10.18601/01234366.n35.08
10,"Caballero Germain, Guillermo",Derecho Mercantil,2017,REVISTA CHILENA DE DERECHO PRIVADO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-80722017000200347,10.4067/S0718-80722017000200347
11,"Caballero Germain, Guillermo",Derecho Mercantil,2016,REVISTA CHILENA DE DERECHO PRIVADO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-80722016000200012,10.4067/S0718-80722016000200012
12,"Caballero Germain, Guillermo","COMENTARIO. EFECTOS DE UNA DIVISIÓN Y UNA TRANSFORMACIÓN SOCIETARIAS SOBRE EL DOMINIO DE UNOS BIENES RAÍCES. SENTENCIA CORTE SUPREMA, 6 DE ENERO DE 2016, ROL 24930-2014, CITA WESTLAW CHILE CL/JUR/187/2016; SENTENCIA CORTE DE APELACIONES DE SAN MIGUEL, DE 10 DE JULIO DE 2014, ROL 430-2011 Y SENTENCIA TERCER JUZGADO DE LETRAS DE SAN MIGUEL, DE 31 DE ENERO DE 2010, ROL C-1878-2005",2016,REVISTA CHILENA DE DERECHO PRIVADO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-80722016000100013 ,10.4067/S0718-80722016000100013 
13,"Prado Puga, Arturo",Assignment and transfer of litigious rights. Foundations of its regulation and distinction with related similar figures,2022,REVISTA DE DERECHO (COQUIMBO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.22199/issn.0718-9753-4418,10.22199/issn.0718-9753-4418
14,"Prado Puga, Arturo",Algunos aspectos de la cláusula penal en el derecho chileno,2019,REVISTA DE DERECHO (COQUIMBO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.22199/issn.0718-9753-2019-0016,10.22199/issn.0718-9753-2019-0016
15,"Prado Puga, Arturo",Alcance jurídico de la factura como título de circulación mercantil,2016,REVISTA DE DERECHO (VALPARAISO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-68512016000100005,10.4067/S0718-68512016000100005
16,"Puga, AP",THE GENERAL CONSTRUCTION CONTRACT AND SPECIALLY THE EPC RULES AND REGULATIONS AND MAIN CHARACTERISTICS,2014,REVISTA CHILENA DE DERECHO,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0718-34372014000200017,10.4067/S0718-34372014000200017
17,"Valenzuela, DA; Miralles, DZ",A digital constitution for Chile,2022,REVISTA CHILENA DE DERECHO Y TECNOLOGIA,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.5354/0719-2584.2022.67657,10.5354/0719-2584.2022.67657
18,"Valenzuela, DA",Digital Constitution: Document for the constituent debate in Chile,2021,REVISTA CHILENA DE DERECHO Y TECNOLOGIA,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.5354/0719-2584.2021.64228,10.5354/0719-2584.2021.64228
19,"Alvarez-Valenzuela, D; Angulo, AH",Legal protection for the search and notification of cybersecurity vulnerabilities in Chile,2020,REVISTA CHILENA DE DERECHO Y TECNOLOGIA,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.5354/0719-2584.2020.60658,10.5354/0719-2584.2020.60658
20,"Valenzuela, DA",Personal data protection in pandemic contexts and the constitucionalization of the right to information self-determination,2020,REVISTA CHILENA DE DERECHO Y TECNOLOGIA,SCIELO-Chile/ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0719-2584.2018.57777,10.5354/0719-2584.2018.57777
21,"Valenzuela, DA",International peace and security in cyberspace,2019,REVISTA CHILENA DE DERECHO Y TECNOLOGIA,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.5354/0719-2584.2019.55827,10.5354/0719-2584.2019.55827
