,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,Chiorrini A.A.,"El derecho del trabajo en Chile. Su formación histórica y el control de la autonomía colectiva, de Irene Rojas Miño",2018,IUS ET PRAXIS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-00122018000100825,10.4067/S0718-00122018000100825
1,"Cerón Reyes, Roberto","Circulación de ideas jurídicas y génesis del derecho social en Chile (1890-1914): Anton Menger (Austria, 1841-1906), Adolfo Posada (España, 1860-1944) y Valentín Letelier (Chile, 1852-1919)",2022,REVISTA DE ESTUDIOS HISTORICO-JURIDICOS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-54552022000100433,10.4067/S0716-54552022000100433
2,"Reyes R.C., Penailillo V.B.",Disciplining lay judges: Manual or Instruction for the Sub-Delegates and Inspectors in Chile,2022,REVISTA DE HUMANIDADES,SCOPUS/UCH/VID,http://dx.doi.org/10.53382/ISSN.2452-445X.614,10.53382/ISSN.2452-445X.614
3,"Cacciavillani, Pamela A; Cerón Reyes, Roberto A",Para una relectura de la registración de la propiedad a comienzos del siglo XX. Los aportes de Ernesto Quesada (Argentina) y las memorias de los futuros licenciados en Derecho (Chile),2022,Autoctonía,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.23854/autoc.v6i1.245 ,10.23854/autoc.v6i1.245 
4,"Reyes R.C., Zúñiga N.G.","The local and illiterate justice of decimononic Chile (1817-1875): The case of the ""manual or instruction for the sub-delegates and inspectors in Chile""",2020,REVISTA DE ESTUDIOS HISTORICO-JURIDICOS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-54552020000100477,10.4067/S0716-54552020000100477
5,"Reyes, RC",Chilean labor law. Its historical formation and the control of collective autonomy,2018,REVISTA CHILENA DE DERECHO,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-34372018000200549,10.4067/S0718-34372018000200549
6,"Cerón-Reyes, Roberto",Reseña,2017,REVISTA DE ESTUDIOS HISTORICO-JURIDICOS,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-54552017000100428,10.4067/S0716-54552017000100428
7,"Cerón Reyes, Roberto",CORTE SUPREMA. ROL N° 9.858-2013: RECURSO DE UNIFICACIÓN DE JURISPRUDENCIA (ARTÍCULOS 183-B y 183-E DEL CÓDIGO DEL TRABAJO),2015,REVISTA DE DERECHO (COQUIMBO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-97532015000100015 ,10.4067/S0718-97532015000100015 
8,"Cerón Reyes, Roberto",Primera defensa del indígena americano,2014,Revista de historia del derecho,SCIELO-otros paises /UCH/VID,,
9,"FERNÁNDEZ TOLEDO, RAÚL",EL DEBER DE OBEDIENCIA DEL TRABAJADOR DEPENDIENTE: PRESUPUESTOS DE LA OBEDIENCIA DEBIDA,2021,REVISTA DE DERECHO (CONCEPCION),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.29393/rd250-9dorf10009,10.29393/rd250-9dorf10009
10,"FERNÁNDEZ TOLEDO, RAÚL","CONFIGURACIÓN DEL PODER DE DIRECCIÓN DEL EMPLEADOR: DENOMINACIÓN, NATURALEZA JURÍDICA, FUNDAMENTO Y CONTENIDO",2019,REVISTA DE DERECHO (CONCEPCION),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-591X2019000100051,10.4067/S0718-591X2019000100051
11,"Fernández Toledo, Raúl",LA ADMISIÓN TÁCITA DE LOS HECHOS POR NO CONTESTACIÓN DE LA DEMANDA EN EL PROCESO LABORAL,2017,REVISTA CHILENA DE DERECHO PRIVADO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0718-80722017000100091,10.4067/s0718-80722017000100091
12,"Fernández Toledo, Raúl",El poder disciplinario del empleador: Configuración jurídica de la sanción laboral que puede imponer al trabajador dependiente,2015,REVISTA DE DERECHO (VALPARAISO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-68512015000100013,10.4067/S0718-68512015000100013
13,"Fernández Toledo, Raúl",Poder disciplinario del empleador: Configuración jurídica de la falta laboral cometida por el trabajador dependiente,2015,IUS ET PRAXIS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-00122015000200008,10.4067/S0718-00122015000200008
14,"Fernández Toledo, Raúl",Problemas derivados de la constitución de sindicatos con fines ilícitos: cuatro cuestiones discutidas,2015,IUS ET PRAXIS,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-00122015000100011,10.4067/S0718-00122015000100011
15,"Palavecino Cáceres, Claudio",EL NUEVO ILÍCITO DE ACOSO SEXUAL EN EL DERECHO DEL TRABAJO CHILENO,2006,REVISTA DE DERECHO (VALDIVIA),SCIELO-Chile/SCOPUS/UCH/VID,,
