,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1171573,"Climate change, structural change and economic growth in a natural resource dependent economy: The case of Chile",01/09/2016,01/09/2016,R. López / S. Accorsi,Unidad de Economía Sustentable y Cambio Climático,FONDECYT,Regular
1,1170767,Análisis crítico al procedimiento de creación de Planes de Prevención y/o Descontaminación Ambiental: insuficiente participación ciudadana y ausencia de evaluación regulatoria ,01/04/2017,01/04/2020,"L. Cordero / X. Insunza, F. Agüero, F. Soto",Departamento de Derecho Público,FONDECYT,Regular
2,1161443,Procedimiento de creación de normas: planes de prevención y descontaminación ambiental,01/06/2015,01/06/2015,"L. Cordero / F. Soto, F. Agüero",Departamento de Derecho Público,FONDECYT,Regular
3,15150013,"Atmospheric interdisciplinary research centre, Aire Centre",01/01/2015,01/01/2015,"M. Prendez / C. Cerda, F. Agüero, D. Cáceres, M. Acuña, M. Leiva",Departamento de Química Orgánica y Físico Química,FONDAP,Programa FONDAP
4,3210370,"La Teoría Procesal Administrativa en el Sistema de Evaluación de Impacto Ambiental en Chile, a propósito de la captura de los órganos con competencia ambiental",01/08/2020,01/08/2020,J. Aranda / F. Soto,Centro de Derecho  Ambiental,FONDECYT,Postdoctorado
5,3200861,"La Teoría Procesal Administrativa en el Sistema de Evaluación de Impacto Ambiental en Chile, a propósito de la captura de los órganos con competencia ambiental",01/01/2020,01/01/2020,J. Aranda / F. Soto,Departamento de Derecho Público,FONDECYT,Postdoctorado
6,ODA_ALC_20_01,Derecho a la Alimentación en la Constitución: fundamentos y conceptos participativos,01/05/2020,01/05/2021,"L. Rodríguez / M. Carroza, J. Aranda, M. Araya, P. Gálvez",Instituto de Salud Poblacional,Otros,Otros
7,UI- 023/19,"Falibilidad de la captura del Estado, a propósito de la Teoría Procesal Administrativa en el Sistema de Evaluación de Impacto Ambiental en Chile",01/08/2021,01/08/2021,J. Aranda,Centro de Derecho  Ambiental,Fondo Central de Investigación,U-INICIA
8,11230841,The private enforcement of statutes in Chile,01/03/2023,01/03/2026,A. Barroilhet,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
9,11220898,The private enforcement of statutes in Chile,01/05/2021,01/05/2021,A. Barroilhet,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
10,11200959,THE PRIVATE ENFORCEMENT OF STATUTES IN CHILE,01/05/2020,01/05/2020,A. Barroilhet,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
11,11190529,El origen político de la regulación legislativa de los procedimientos judiciales,01/04/2019,01/04/2019,A. Barroilhet,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
12,IM19CORSLab,"Instituto Milenio¿Comportamiento, Organizaciones y Responsabilidad Social: Lab de Diseño Conductual",01/11/2019,01/11/2019,"A. Barroilhet, F. Carbonell",PUC. Escuela de Psicología,Iniciativa científica Milenio,Institutos Milenios
13,11180581,La Litigación Privada como forma de implementación de Políticas Públicas,01/05/2018,01/05/2018,A. Barroilhet,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
14,11170070,La Litigación Privada como forma de implementación de Políticas Públicas,01/06/2017,01/06/2017,A. Barroilhet,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
15,11231233,Tensiones y desafíos del derecho y la regulación ambiental en el contexto de la transición ecológica,01/03/2023,01/03/2026,E. Costa,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
16,ATE230070,"Guidelines for strengthening the participation of individuals, communities, and local governments in climate governance. A proposal for intra- and intergenerational solidarity",01/06/2023,01/06/2023,"E. Costa / M. Fragkou, P. Moraga, R. Sapiains",Centro de Derecho  Ambiental,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
17,295274,EUInvest,01/01/2011,01/01/2011,V. Durán,Departamento de Clínicas Jurídicas,Unión Europea,FP7-PEOPLE-IRSES
18,1100216,Acuerdos multilaterales medioambientales (AMUMA) y su cumplimiento e implementación. Lecciones de dos décadas de experiencia chilena,01/03/2010,01/03/2010,V. Durán,Centro de Derecho  Ambiental,FONDECYT,Regular
19,1090301,Cumplimiento e implementación de tratados ambientales internacionales: Lecciones de la experiencia Chilena 1990-2008.,01/03/2009,01/03/2009,V. Durán,Universidad Católica de Chile,FONDECYT,Regular
20,BIOD_P1,Domeyko en Biodiversidad: Estado de la gobernalidad en materia de preservación y conservación de la biodiversidad: gestión e institucionalidad medioambiental,01/03/2007,01/03/2010,"V. Durán / R. Figueroa, A. Greibe",Centro de Derecho  Ambiental,Fondo Central de Investigación,Programa Domeyko
21,P3_BIODIV,Domeyko Biodiversidad: Analisis de la eficacia del sistema de evaluación de impacto ambiental como instrumento para la conservación de la biodiversidad y elaboración de una propuesta de rediseño,01/03/2007,01/03/2010,"C. Estades / R. Figueroa, C. de la Maza, V. Durán",Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,Programa Domeyko
22,BIOD_P2,Domeyko en Biodiversidad: Diseño de una metodología multidisciplinaria para el cálculo del valor de los bienes y servicios ecosistémicos provistos por la biodiversidad y propuestas de institucionalidad ambiental,01/03/2007,01/03/2010,V. Durán,Gabinete Departamento de Economía,Fondo Central de Investigación,Programa Domeyko
23,SOC 07/30-2,Institucionalidad ambiental y fiscalización,01/03/2007,01/03/2009,V. Durán,Centro de Derecho  Ambiental,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
24,CE,Domeyko en Biodiversidad: Comité Ejecutivo,01/03/2007,01/03/2010,"V. Durán, E. Poulin, C. Estades, R. Figueroa",Departamento de Gestión Forestal y su Medio Ambiente,Fondo Central de Investigación,Programa Domeyko
25,1050212,Consagración del principio precautorio en el derecho y gestión ambiental en Chile ,01/06/2005,01/06/2005,V. Durán,Centro de Derecho  Ambiental,FONDECYT,Regular
26,1030822,"Perfeccionamiento del tratamiento juridico de las sustancias peligrosas en Chile
",01/03/2003,01/03/2003,V. Durán,Centro de Derecho  Ambiental,FONDECYT,Regular
27,DARWIN-01,,31/12/2001,31/12/2002,V. Durán,,Gobierno Británico,Iniciativa Darwin
28,S00/11-2,La regulación jurídica de la contaminación electromagnética en Chile,01/03/2000,01/03/2001,V. Durán,Centro de Derecho  Ambiental,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
29,11241263,"Tensiones y desafíos de la regulación subregional destinada a contar con un flujo regular de personas en América del Sur, propuestas para Chile",01/05/2023,01/05/2023,J. Gallegos,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
30,11231012,"La Alianza del Pacífico, como herramienta para el bienestar, regulación del flujos de personas y ciudadanía",01/04/2022,01/04/2022,J. Gallegos,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
31,1221908,"La Alianza del Pacífico, como herramienta para el bienestar, regulación del flujos de personas y ciudadanía",01/08/2021,01/08/2021,J. Gallegos / R. Lourenco,Departamento de Derecho Económico,FONDECYT,Regular
32,1211207,Consideraciones jurídico-económicas determinantes del Ilicito administrativo y penal de la colusión: una contribución dogmática y práctica,01/08/2020,01/08/2020,J. Grunberg,UAND. Facultad de Derecho y Ciencias de la Información,FONDECYT,Regular
33,1201524,El injusto penal del delito de colusión: un intento de materialización,01/08/2019,01/08/2019,J. Grunberg,Universidad de los Andes,FONDECYT,Regular
34,1190663,El injusto penal del nuevo delito de Colusión (art. 62 DL. 211): un análisis de la relación normativa entre la regulación administrativa y penal,01/08/2018,01/08/2018,J. Grunberg,Universidad de los Andes,FONDECYT,Regular
35,ATE230071,DESIERTA - Democracia y Resiliencia en Territorios desérticos desde la acción climática Feminista,01/06/2023,01/06/2023,"M. Fragkou / A. Ocampo, P. Smith, X. Insunza",Departamento de Geografía,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
36,1221791,"¿Develando el Territorio Informal (TI): características, dimensiones y sujetos que lo identifican""",01/08/2021,01/08/2021,"Y. Contreras / B. Bustos, X. Insunza",Departamento de Geografía,FONDECYT,Regular
37,1211806,La trayectoria migratoria como develadora de la precariedad inmigrante: La estación agrícola,01/08/2020,01/08/2020,"Y. Contreras / B. Bustos, X. Insunza",Departamento de Geografía,FONDECYT,Regular
38,1191090,Las categorías tradicionales del derecho frente al fenómeno del cambio climático,01/08/2018,01/08/2018,P. Moraga / X. Insunza,Centro de Derecho  Ambiental,FONDECYT,Regular
39,1181529,Las categorías tradicionales del derecho frente al fenómeno del cambio climático,01/07/2017,01/07/2017,P. Moraga / X. Insunza,Centro de Derecho  Ambiental,FONDECYT,Regular
40,1170767,Análisis crítico al procedimiento de creación de Planes de Prevención y/o Descontaminación Ambiental: insuficiente participación ciudadana y ausencia de evaluación regulatoria ,01/04/2017,01/04/2020,"L. Cordero / X. Insunza, F. Agüero, F. Soto",Departamento de Derecho Público,FONDECYT,Regular
41,1171387,Las categorías tradicionales del derecho en la judicialización del cambio climático,01/09/2016,01/09/2016,P. Moraga / X. Insunza,Centro de Derecho  Ambiental,FONDECYT,Regular
42,ATE230070,"Guidelines for strengthening the participation of individuals, communities, and local governments in climate governance. A proposal for intra- and intergenerational solidarity",01/06/2023,01/06/2023,"E. Costa / M. Fragkou, P. Moraga, R. Sapiains",Centro de Derecho  Ambiental,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
43,1221378,Reconceptualización del litigio climático desde el sur global. El caso chileno,01/04/2022,01/04/2026,"P. Moraga / S. Millaleo, L. Ferrada",Departamento de Derecho Económico,FONDECYT,Regular
44,1522A0001,Center for Climate and Resilience Research (CR)2,01/09/2022,01/09/2023,"R. Garreaud / P. Moraga, A. Urquiza",Departamento de Geofísica,FONDAP,Concurso Apoyo a Centros de Excelencia FONDAP
45,1211622,El actual contenido de la reparación por daño ambiental frente a los desafíos del cambio climático en Chile,01/08/2020,01/08/2020,P. Moraga,Centro de Derecho  Ambiental,FONDECYT,Regular
46,1200831,El desarrollo jurisprudencial latino-americano en materia de cambio climático. La construcción de nuevos estándares de protección del medio ambiente,01/08/2019,01/08/2019,P. Moraga,Centro de Derecho  Ambiental,FONDECYT,Regular
47,1201038,Derecho de Aguas y cambio climático: el desafío de construir un modelo adaptativo de regulación y gestión hídrica en Chile,01/08/2019,01/08/2019,P. Moraga,Universidad Católica de Chile,FONDECYT,Regular
48,1191090,Las categorías tradicionales del derecho frente al fenómeno del cambio climático,01/08/2018,01/08/2018,P. Moraga / X. Insunza,Centro de Derecho  Ambiental,FONDECYT,Regular
49,IM19IMTE,Instituto Milenio para la Transformación Energética,01/11/2019,01/11/2019,"M. Orchard / F. Gracia, W. Calderón, P. Moraga, M. Lienqueo, S. Cespedes, M. Olivares, R. Palma",Departamento de Ingeniería Eléctrica,Iniciativa científica Milenio,Institutos Milenios
50,1181859,"Reconfiguring hydrosocial territories, disclosing socially constructed scarcities; an analysis of State responses to permanent and temporal water deficits in Chile",01/03/2018,01/03/2021,"M. Fragkou / R. Fuster, P. Moraga, A. Urquiza, B. Bustos",Departamento de Geografía,FONDECYT,Regular
51,1181529,Las categorías tradicionales del derecho frente al fenómeno del cambio climático,01/07/2017,01/07/2017,P. Moraga / X. Insunza,Centro de Derecho  Ambiental,FONDECYT,Regular
52,REDES170092,El aporte de las ciencias jurídicas en la resolución de la crisis climática del territorio marino,01/12/2017,01/12/2017,P. Moraga,Centro Sismológico Nacional,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
53,1171387,Las categorías tradicionales del derecho en la judicialización del cambio climático,01/09/2016,01/09/2016,P. Moraga / X. Insunza,Centro de Derecho  Ambiental,FONDECYT,Regular
54,1150915,Propuestas Para La Superación De La Judicialización Y Conflictividad En Los Proyectos De Energías Renovables No Convencionales,01/03/2015,01/03/2015,P. Moraga,Centro de Derecho  Ambiental,FONDECYT,Regular
55,692743,VALEUR,01/01/2015,01/01/2015,P. Moraga,Escuela de Postgrado,Unión Europea,FP7-SMSF Research Project
56,ICH-007/2014,El cambio climático como fuente de modificaciones normativas en materia de aguas. El régimen jurídico de las sequías en Chile,01/10/2014,01/10/2014,P. Moraga,Centro de Derecho  Ambiental,Programa de Capital Humano Avanzado,Inserción de Capital Humano en la Academia
57,CONRED-2012-470,Non-regulated issues in the environmental impacts assessment of electric supply projects: driving towards a more sustainable industry,07/09/2012,,P. Moraga,Centro de Derecho  Ambiental,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
58,REDES130066,"Centre for climate and resilience research (CR2) (Chile)/ Centre D'etudes et de recherches internationales et communautaires aix marseille université (CERIC) (Francia, Suiza, Alemania y Canada",01/10/2013,01/04/2015,P. Moraga,Centro de Derecho  Ambiental,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
59,CSSOC-2012-463,Aspectos no normados en la evaluación ambiental de  los proyectos del sector eléctrico: ¿Cómo contribuir a una mayor sustentabilidad?,01/09/2012,01/09/2012,P. Moraga,Centro de Derecho  Ambiental,Fondo Central de Investigación,"U-APOYA: CS SOCIALES, HUMANIDADES, ARTES Y EDUCACIÓN"
60,15110009,Centro de Ciencia del Clima y la Resiliencia,01/11/2012,01/11/2022,"R. Garreaud / R. Rondanelli, M. Galleguillos, P. Aldunce, P. Moreno, P. Moraga, M. Rojas, A. Osses, A. Uriarte, L. Gallardo",Departamento de Geofísica,FONDAP,Programa FONDAP
61,11100288,Instrumentos para la implementación de una política energética sustentable,01/10/2010,01/10/2012,P. Moraga,Centro de Derecho  Ambiental,FONDECYT,Iniciación en Investigación
62,11080046,Bases para la definición de una política energética sustentable.,01/10/2008,01/10/2008,P. Moraga,Centro de Derecho  Ambiental,FONDECYT,Iniciación en Investigación
63,1221060,Mecanismos de control judicial especializado en el ámbito de la regulación económica: entre la legalidad y las políticas públicas,01/04/2022,01/07/2023,D. Pardow,Departamento de Derecho Económico,FONDECYT,Regular
64,1210513,"Nuevos mecanismos de control en el ámbito de la regulación económica: finalidad, organización y funcionamiento de los tribunales administrativos especializados",01/08/2020,01/08/2020,D. Pardow,Departamento de Derecho Económico,FONDECYT,Regular
65,1200541,"Nuevos mecanismos de control en el ámbito de la regulación económica: finalidad, organización y funcionamiento de los tribunales administrativos especializados",01/08/2019,01/08/2019,D. Pardow,Departamento de Derecho Económico,FONDECYT,Regular
66,3190796,El orden constitucional y monetario: Un análisis del caso chileno,01/10/2018,01/10/2018,P. Ahumada / D. Pardow,Departamento de Derecho Económico,FONDECYT,Postdoctorado
67,IM19IMADEM,Instituto Milenio de Adaptación Institucional y Desempeño Democrático,01/11/2019,01/11/2019,"D. Pardow, M. Reyes, R. Lorca, F. Soto",Universidad Católica de Chile,Iniciativa científica Milenio,Institutos Milenios
68,1190826,La función de los tribunales administrativos especializados (TAE) en la regulación económica: Un enfoque interdisciplinario a 15 años de su primera implementación,01/07/2018,01/07/2018,D. Pardow,Departamento de Derecho Económico,FONDECYT,Regular
69,11150181,Autonomía institucional y función regulatoria: Construyendo coherencia normativa en la periferia del Derecho Administrativo,01/11/2015,01/11/2018,D. Pardow,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
70,11240007,Criptoactivos al asedio. Los activos digitales y su efecto en la capacidad de control monetario de los Bancos Centrales y la consecución de objetivos macroeconómicos,01/05/2023,01/05/2023,R. Plaza,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
71,11230221,Criptoactivos al asedio. Estudio sobre el efecto de los activos digitales en la capacidad de control monetario de los Bancos Centrales y la consecución de objetivos macroeconómicos,01/04/2022,01/04/2022,R. Plaza,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
72,11220181,Incentivos Jurídico-Económicos a la minería y procesamiento local de tierras raras,01/05/2021,01/05/2021,R. Plaza,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
73,11201001,Pobreza y desigualdad en Chile más allá de la crisis. Exploración de un mecanismo jurídico-económico de mercado que asegure el acceso igualitario al financiamiento de emprendimientos de personas y grupos vulnerables,01/05/2020,01/05/2020,R. Plaza,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
74,1190022,Biodiversity protection in Chile. Assessment of efectiveness according to International Environmental Law,01/08/2018,01/08/2018,R. Plaza,Departamento de Derecho Económico,FONDECYT,Regular
75,11190002,Biodiversity protection in Chile. Assessment of effectiveness according to International Environmental Law,01/04/2019,01/04/2019,R. Plaza,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
76,11180034,El nuevo Derecho Eléctrico Chileno. Estudio crítico de su cambio estructural tras la Ley Nº 20.936,01/05/2018,01/05/2018,R. Plaza,Departamento de Derecho Económico,FONDECYT,Iniciación en Investigación
77,11170026,Integración de tecnologías de vanguardia en energías renovables. Marco regulatorio prospectivo de cogeneración eléctrica mediante energía osmótica,01/06/2017,01/06/2017,R. Plaza,Centro de Derecho  Ambiental,FONDECYT,Iniciación en Investigación
78,UI_013_15,Los derechos a consulta y participación del Convenio 169 OIT y su recepción jurisprudencial en el uso de recursos naturales y tierras indígenas,01/04/2015,01/04/2017,R. Plaza,Escuela de Postgrado,Fondo Central de Investigación,U-INICIA
79,11150064,High-time for NCRES co-working. A comparative critical study on international and domestic regulatory instruments to further energy mix diversification and large-scale desalination through symbiotic use of selected non-conventional renewable energies,01/06/2015,01/06/2015,R. Plaza,Escuela de Postgrado,FONDECYT,Iniciación en Investigación
80,11140673,High-time for cleaning up the north. A comparative critical study on international and domestic regulatory instruments to diversify the energy matrix through large-scale symbiotic use of non-conventional renewable energies in northern Chile,01/12/2014,01/12/2014,R. Plaza,Centro de Derecho  Ambiental,FONDECYT,Iniciación en Investigación
81,15110009,Centro de Ciencia del Clima y la Resiliencia,01/11/2012,01/11/2022,"R. Garreaud / R. Rondanelli, M. Galleguillos, P. Aldunce, P. Moreno, P. Moraga, M. Rojas, A. Osses, A. Uriarte, L. Gallardo",Departamento de Geofísica,FONDAP,Programa FONDAP
