,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Zerene, GS; Lopez, RE; Accorsi, S; Figueroa, E","The wealth given to the great copper mining industry in Chile: new estimates, 2005-2014",2018,CEPAL REVIEW,SCOPUS/ISI/UCH/VID,,
1,Agüero F.,Chilean antitrust policy: Some lessons behind its success,2016,Law and Contemporary Problems,SCOPUS/UCH/VID,,
2,"Aguero Vargas, Francisco; Montt Oyarzún, José Santiago",Chile The Competition Law System and the Country's Norms1,2013,"The Design of Competition Law Institutions: Global Norms, Local Choices",SCOPUS/UCH/VID,http://dx.doi.org/10.1093/acprof:oso/9780199670048.003.0004,10.1093/acprof:oso/9780199670048.003.0004
3,"Bannout, MAB; Rodriguez-Osiac, L; Rojas, DE; Espinoza, PG; Ortega, JA",From the constitution to the table. Conversations on the right to feeding,2022,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/s0717-75182022000400007,10.4067/s0717-75182022000400007
4,"Escobar, MBC; Galvez-Espinoza, P; Rodriguez-Osiac, L; Araya, M; Marin, A; Estay-Castro, P; Rojo-Medina, F; Aranda, J",The right to food: What do the constitutions of America and the Caribbean say?,2022,REVISTA CHILENA DE NUTRICION,SCIELO-Chile/ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75182022000200226,10.4067/S0717-75182022000200226
5,"Galvez, P; Carroza, MB; Bannout, MA; Marin, A; Aranda, J; Estay, P; Rojo, F; Rodriguez-Osiac, L",Right to food and COVID-19: A qualitative study of key actors' perceptions in Chile,2021,REVISTA CHILENA DE NUTRICION,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0717-75182021000600901,10.4067/S0717-75182021000600901
6,"Ortega, JA",STATE CAPTURE FALLIBILITY IN ENVIRONMENTAL IMPACT ASSESSMENT IN CHILE,2019,Revista Direito GV,SCIELO-otros paises /ESCI/UCH/VID,http://dx.doi.org/10.1590/2317-6172201932,10.1590/2317-6172201932
7,"Barroilhet, A; Ortiz, R; Quiroga, BF; Silva, M",Exploring Conflict of Interest in University Accreditation in Chile,2022,HIGHER EDUCATION POLICY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1057/s41307-020-00217-7,10.1057/s41307-020-00217-7
8,"Diez, AB",Structural Problems of the Accreditation of Higher Education in Chile: 2006-2012,2019,REVISTA DE PEDAGOGIA UNIVERSITARIA Y DIDACTICA DEL DERECHO,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0719-5885.2019.53745,10.5354/0719-5885.2019.53745
9,"Diez, AB","Cryptocurrencies, economic and legal aspects",2019,REVISTA CHILENA DE DERECHO Y TECNOLOGIA,SCIELO-Chile/ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.5354/0719-2584.2019.51584,10.5354/0719-2584.2019.51584
10,"Barroilhet, A.",The regime politics origins of class action regulation,2018,Theoretical Inquiries in Law,SCOPUS/UCH/VID,http://dx.doi.org/10.1515/til-2018-0012,10.1515/til-2018-0012
