,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1190563,"La detentación material como una solución a la encrucijada a que da lugar la teoría de la posesión inscrita con relación a la denominada <<posesión material>>, respecto del régimen de acciones y la prescripción adquisitiva",01/08/2018,01/08/2018,L. Albornoz,Otras Instituciones,FONDECYT,Regular
1,3190265,La educación inclusiva como reto de la sociedad actual: Los casos de Chile y España,01/10/2018,01/10/2018,L. Albornoz,Departamento de Derecho Privado,FONDECYT,Postdoctorado
2,3180003,El nuevo procedimiento de interdicción que se avecina en Chile implementando el artículo 12 de la Convención de la ONU sobre los Derechos de las Personas con Discapacidad,01/07/2017,01/07/2017,L. Albornoz,Departamento de Derecho Privado,FONDECYT,Postdoctorado
3,SOC180020,"Women in Chilean labor markets. Gender Equality, Decent Work and Economic Growth - La mujer en los mercados laborales de Chile. Igualdad de Género, Trabajo Decente y Crecimiento Económico",01/07/2018,01/07/2018,L. Albornoz,UAH. Depto. de Economía y Administración,Programa de Investigación Asociativa,Concurso Anillos en Ciencias Sociales
4,1180025,Igualdad jurídica entre mujeres y hombres: Contradicciones entre la letra y la praxis de la ley,01/07/2017,01/07/2017,L. Albornoz,Departamento de Derecho Privado,FONDECYT,Regular
5,1170104,Igualdad jurídica entre mujeres y hombres: Contradicciones entre la letra y la praxis de la ley¿ ,01/08/2016,01/08/2016,L. Albornoz,Departamento de Derecho Privado,FONDECYT,Regular
6,1210127,Interpretación de contratos. Exploración de un modelo,01/03/2021,01/03/2024,"C. Banfi, J. Velásquez",UAH. Depto. de Economía y Administración,FONDECYT,Regular
7,1200413,Interpretación de contratos. Exploración de un modelo,01/08/2019,01/08/2019,"J. Velásquez, C. Banfi",UAH. Depto. de Economía y Administración,FONDECYT,Regular
8,1200176,Responsabilidad civil extracontractual: análisis crítico del razonamiento y comportamiento de la Corte Suprema desde una perspectiva civil y procesal,01/03/2020,01/03/2023,C. Banfi / F. Carbonell,Departamento de Derecho Privado,FONDECYT,Regular
9,3200871,Riesgo y responsabilidad civil extracontractual: hacia una delimitación de categorías de conductas peligrosas y sus respuestas en derecho privado,01/01/2020,01/01/2020,C. Banfi,Departamento de Derecho Privado,FONDECYT,Postdoctorado
10,3190499,Riesgo y responsabilidad civil: hacia una identificación de categorías peligrosas,01/10/2018,01/10/2018,C. Banfi,Departamento de Derecho Privado,FONDECYT,Postdoctorado
11,1170094,Hacia una construcción dogmática del derecho privado que responda a la concepción moderna del riesgo,01/04/2017,01/04/2020,C. Banfi / M. Salah,Departamento de Derecho Privado,FONDECYT,Regular
12,1150976,Importancia del dolo en la responsabilidad civil extracontractual chilena a la luz de los sistemas francés e inglés,01/03/2015,01/03/2017,C. Banfi,Departamento de Derecho Privado,FONDECYT,Regular
13,1130409,"La responsabilidad ética y jurídica por los efectos malos no intentados o daños colaterales de la acción intencional. Análisis interdisciplinario desde la filosofía analítica de la acción, la dogmática penal y la dogmática civil",01/03/2013,01/03/2017,C. Banfi,Universidad Católica de Chile,FONDECYT,Regular
14,11121336,Revisión crítica de la responsabilidad civil por daños entre competidores por conductas anticompetitivas en Chile,01/10/2012,01/10/2014,C. Banfi,Departamento de Derecho Privado,FONDECYT,Iniciación en Investigación
15,11110025,Responsabilidad civil por daños entre competidores derivados de conductas anticompetitivas en Chile: revisión crítica desde el sistema anglo-americano,01/10/2011,01/10/2013,C. Banfi,Escuela de Derecho,FONDECYT,Iniciación en Investigación
16,UCH0603,"Consolidación del Programa de Doctorado en Derecho de la Universidad de Chile, Sentando las Bases de una Red Académica",01/07/2007,01/07/2011,P. Ruiz-Tagle / E. Barros,Escuela de Postgrado,MECESUP,MECESUP
17,11241216,El problema de la indeterminación del contenido contractual. Criterios para precisar el significado de conceptos indeterminados,01/05/2023,01/05/2023,M. Bustos,Departamento de Derecho Privado,FONDECYT,Iniciación en Investigación
18,11231044,Criterios interpretativos para determinar el significado de conceptos indeterminados en la regla contractual,01/05/2022,01/05/2022,M. Bustos,Departamento de Derecho Privado,FONDECYT,Iniciación en Investigación
19,3220683,Criterios interpretativos para determinar el significado de normas contractuales indeterminadas,01/10/2021,01/10/2021,M. Bustos / F. Carbonell,Departamento de Derecho Privado,FONDECYT,Postdoctorado
20,11201117,La teoría de la pérdida de la chance en el derecho chileno de daños,01/10/2020,01/10/2023,H. Cardenas,Departamento de Derecho Privado,FONDECYT,Iniciación en Investigación
21,11190951,La pérdida de la chance en el derecho chileno,01/04/2019,01/04/2019,H. Cardenas,Departamento de Derecho Privado,FONDECYT,Iniciación en Investigación
22,11181274,La responsabilidad médica como zona fronteriza: Hacia una teoría del concurso de normas,01/05/2018,01/05/2018,H. Cardenas,Departamento de Derecho Privado,FONDECYT,Iniciación en Investigación
23,1171778,"Concurrencia de estatutos de responsabilidad en el ámbito médico: problemas de calificación, solidaridad y prueba",01/09/2016,01/09/2016,H. Cardenas / J. Valenzuela,Departamento de Derecho Privado,FONDECYT,Regular
24,11170995,Concurrencia de estatutos de responsabilidad civil en el ámbito médico: Hacia un derecho de opción del paciente/Acreedor,01/06/2017,01/06/2017,H. Cardenas,Departamento de Derecho Privado,FONDECYT,Iniciación en Investigación
25,1211250,Hacía una teoría general de la affectio societatis en el contrato de sociedad,01/08/2020,01/08/2020,"I. Araya, M. Gomez de la Torre",Otras Instituciones,FONDECYT,Regular
26,1201422,"Hacia una teoría general de la ""Afectio Societatis"" en el contrato de sociedad",01/08/2019,01/08/2019,"M. Gomez de la Torre, I. Araya",Otras Instituciones,FONDECYT,Regular
27,1190542,Naturaleza jurídica del contrato de maternidad gestacional subrogada,01/08/2018,01/08/2018,M. Gomez de la Torre,Departamento de Derecho Privado,FONDECYT,Regular
28,1190509,Hacia una teoría general de la affectio societatis en el contrato de sociedad,01/08/2018,01/08/2018,"M. Gomez de la Torre, I. Araya",Otras Instituciones,FONDECYT,Regular
29,1180159,En torno al sistema de licitación del SENAME y los derechos de los menores: una posible alternativa,01/07/2017,01/07/2017,M. Gomez de la Torre,Otras Instituciones,FONDECYT,Regular
30,1160883,"Hacia la construcción del interés superior del niño, niña y adolescentes en el derecho chileno. Análisis de la jurisprudencia nacional y comparada",01/06/2015,01/06/2015,C. Lepín / M. Gomez de la Torre,Escuela de Derecho,FONDECYT,Regular
31,1151247,"Hacia la determinación del interés superior del niño, niña y adolescente en el Derecho civil chileno",01/03/2015,01/03/2015,C. Lepín / M. Gomez de la Torre,Escuela de Postgrado,FONDECYT,Regular
32,1050348,"Pluralismo, igualdad jurídica y diversidad valorativa",01/03/2005,01/03/2008,M. Orellana / M. Gomez de la Torre,Departamento de Ciencias del Derecho,FONDECYT,Regular
33,1230156,Daños punitivos en el derecho del consumo chileno,01/03/2023,01/03/2026,G. Hernández,Departamento de Derecho Privado,FONDECYT,Regular
34,1220450,Control de forma y fondo de contratos entre consumidores y proveedores de productos o servicios financieros en Chile. Examen dogmático y propuesta de criterios de aplicación para proteger adecuadamente a los consumidores,01/08/2021,01/08/2021,G. Hernández,Departamento de Derecho Privado,FONDECYT,Regular
35,1181777,Derecho a la vida familiar del niño privado de cuidados parentales: hacia el fortalecimiento de las modalidades alternativas de cuidado,01/07/2017,01/07/2017,F. Lathrop / G. Hernández,Departamento de Derecho Privado,FONDECYT,Regular
36,11180826,La obligación precontractual de los proveedores de productos o servicios financieros de informar al consumidor en el derecho chileno. Insuficiencia de la normativa que la regula. Bases y criterios para perfeccionarla,01/11/2018,01/11/2020,G. Hernández,Departamento de Derecho Privado,FONDECYT,Iniciación en Investigación
37,1170213,La obligación precontractual de la entidad bancaria y de inversión de informar al consumidor en el derecho chileno ,01/08/2016,01/08/2016,"G. Hernández / F. Lathrop, M. Tapia",Departamento de Derecho Privado,FONDECYT,Regular
38,1170561,Derecho a la vida familiar del niño privado de cuidados parentales: hacia el fortalecimiento de las modalidades alternativas de cuidado,01/09/2016,01/09/2016,F. Lathrop / G. Hernández,Departamento de Derecho Privado,FONDECYT,Regular
39,11170099,La obligación precontractual de los proveedores de servicios y productos financieros de informar al consumidor en el derecho chileno ,01/06/2017,01/06/2017,G. Hernández,Departamento de Derecho Privado,FONDECYT,Iniciación en Investigación
40,1011066,"Estudio crítico y comparado del Sistema de Justicia Constitucional
",01/03/2001,01/03/2001,"F. Atria, A. Jana",Decanato,FONDECYT,Regular
41,1240278,El nuevo régimen legal de Garantías y Protección Integral de Derechos de la Niñez y Adolescencia. Un estudio dogmático a partir de su impacto en el Derecho de la Persona y de Familia,01/07/2023,01/07/2023,F. Lathrop,Departamento de Derecho Privado,FONDECYT,Regular
