,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Albornoz Pollmann, Laura; Barcia Lehmann, Rodrigo","EL NEOFEMINISMO, O LOS NUEVOS FEMINISMOS",2022,Revista de ciencias sociales (Valparaíso),/UCH/VID,http://dx.doi.org/10.22370/rcs.2022.81.3566,10.22370/rcs.2022.81.3566
1,"del Rio, CB; Bellolio, FC",Litigation for damages and contribution of the chilean courts to the ethical-environmental challenges posed by climate change,2023,ACTA BIOETHICA,/UCH/VID,http://dx.doi.org/10.4067/S1726-569X2023000100017 ,10.4067/S1726-569X2023000100017 
2,"Del Rio, CB",RISKS ON THE APPLICATION OF THE PRECAUTIONARY PRINCIPLE IN TORT AND ENVIRONMENTAL LIABILITY,2019,REVISTA CHILENA DE DERECHO,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-34372019000300643,10.4067/S0718-34372019000300643
3,"del Rio, CB",On tort liability for climate change in Chile,2019,ACTA BIOETHICA,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S1726-569X2019000200153,10.4067/S1726-569X2019000200153
4,"Banfi del Río, Cristián",Por una responsabilidad civil de los Medios de comunicación coherente con el riesgo de divulgación de noticias falsas sobre personas públicas,2018,IUS ET PRAXIS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-00122018000300255,10.4067/S0718-00122018000300255
5,"Banfi del Río, Cristián",RELEVANCIA DEL DOLO EN LA RESPONSABILIDAD EXTRACONTRACTUAL CHILENA: UNA RELECTURA DESDE EL DERECHO INGLÉS,2017,REVISTA DE DERECHO (COQUIMBO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-97532017000200069,10.4067/S0718-97532017000200069
6,del Río C.B.,On the punitive function of tort liability in France: Some implications for the understanding of Chilean tort law,2017,REVISTA DE DERECHO (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-09502017000100005,10.4067/S0718-09502017000100005
7,"Banfi del Río, Cristián",Restricción de la responsabilidad por cuasidelito civil a los daños directos previsibles por el autor al tiempo del hecho: Posibles implicancias para el dolo y la culpa lata,2016,IUS ET PRAXIS,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-00122016000100015,10.4067/S0718-00122016000100015
8,"Banfi del Río, Cristian",Daños por ilícitos anticompetitivos entre Tabacaleras,2014,REVISTA DE DERECHO (VALDIVIA),SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-09502014000200006,10.4067/S0718-09502014000200006
9,"del Rio, CB",REMEDIES FOR BREACH OF CONTRACT. A COMPARATIVE ANALYSIS OF THE PROTECTION OF PERFORMANCE,2014,REVISTA CHILENA DE DERECHO,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-34372014000200015,10.4067/S0718-34372014000200015
